NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,28100.0,30050.0,-1950.0,-0.06489185,28000.0,28100.0,28000.0,502.0,14076000.0,0.0,0.0,502.0,14076000.0,-100.0,0.0,0.0,100.0,-2810000.0,0.0,0.0,2810000.0
28/08/2026,30050.0,30050.0,0.0,0.0,30050.0,30050.0,30050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,30050.0,31800.0,-1750.0,-0.05503145,30050.0,30050.0,30050.0,120.0,3644000.0,0.0,0.0,120.0,3644000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,31800.0,31800.0,0.0,0.0,31800.0,31800.0,31800.0,1100.0,34980000.0,0.0,0.0,1100.0,34980000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,31800.0,34050.0,-2250.0,-0.0660793,31800.0,31800.0,31800.0,131.0,4162700.0,0.0,0.0,131.0,4162700.0,-31.0,31.0,0.0,0.0,-982699.0,982700.0,0.0,0.0
24/08/2026,34050.0,36600.0,-2550.0,-0.06967213,34050.0,34050.0,34050.0,200.0,6810000.0,0.0,0.0,200.0,6810000.0,100.0,-100.0,0.0,0.0,3405000.0,-3405000.0,0.0,0.0
21/08/2026,36600.0,34250.0,2350.0,0.06861314,31900.0,36600.0,31900.0,1597.0,56184300.0,0.0,0.0,1597.0,56184300.0,99.0,-99.0,0.0,0.0,4298100.0,-4298100.0,0.0,0.0
20/08/2026,34250.0,36800.0,-2550.0,-0.06929348,39350.0,39350.0,34250.0,1200.0,41860000.0,0.0,0.0,1200.0,41860000.0,900.0,-900.0,0.0,0.0,30575000.0,-30575000.0,0.0,0.0
19/08/2026,36800.0,35250.0,1550.0,0.04397163,37500.0,37500.0,32800.0,900.0,30390000.0,0.0,0.0,900.0,30390000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,35250.0,37850.0,-2600.0,-0.06869221,40450.0,40450.0,35250.0,320.0,11800000.0,0.0,0.0,320.0,11800000.0,214.0,-214.0,0.0,0.0,7543500.0,-7543500.0,0.0,0.0
