NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
10/09/2026,18450.27,19600.0,-150.0,-0.00765306,18592.56,18592.56,18307.98,285410.0,5542705200.0,0.0,0.0,285410.0,5542705200.0,82500.0,0.0,0.0,-82500.0,1601890000.0,0.0,0.0,-1601890000.0
09/09/2026,18592.56,19900.0,-300.0,-0.01507538,18924.57,19066.86,18497.7,494151.0,9737697000.0,0.0,0.0,494151.0,9737697000.0,2800.0,0.0,0.0,-2800.0,55415000.0,0.0,0.0,-55415000.0
08/09/2026,18877.14,20100.0,-200.0,-0.00995025,19256.58,19256.58,18877.14,276961.0,5555814350.0,0.0,0.0,276961.0,5555814350.0,33800.0,0.0,0.0,-33800.0,678980000.0,0.0,0.0,-678980000.0
07/09/2026,19066.86,19850.0,250.0,0.01259446,18972.0,19541.16,18877.14,621499.0,12593126150.0,0.0,0.0,621499.0,12593126150.0,-88300.0,0.0,0.0,88300.0,-1784780000.0,0.0,0.0,1784780000.0
04/09/2026,18829.71,19900.0,-50.0,-0.00251256,18829.71,19114.29,18782.28,188468.0,3754334600.0,0.0,0.0,188468.0,3754334600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,18877.14,19700.0,200.0,0.01015228,18687.42,19019.43,18592.56,484337.0,9617699550.0,0.0,0.0,484337.0,9617699550.0,-52100.0,0.0,0.0,52100.0,-1032240000.0,0.0,0.0,1032240000.0
28/08/2026,18687.42,19750.0,-50.0,-0.00253165,18734.85,18877.14,18687.42,281167.0,5557041400.0,0.0,0.0,281167.0,5557041400.0,35794.0,-25294.0,0.0,-10500.0,707020850.0,-498970850.0,0.0,-208050000.0
27/08/2026,18734.85,19850.0,-100.0,-0.00503778,19066.86,19114.29,18687.42,275610.0,5464443350.0,0.0,0.0,275610.0,5464443350.0,-35860.0,78660.0,0.0,-42800.0,-709418650.0,1560413650.0,0.0,-850995000.0
26/08/2026,18829.71,19700.0,150.0,0.00761421,18592.56,19398.87,18592.56,587043.0,11791780000.0,0.0,0.0,587043.0,11791780000.0,-67679.0,152979.0,0.0,-85300.0,-1350452900.0,3065907900.0,0.0,-1715455000.0
25/08/2026,18687.42,19550.0,150.0,0.00767263,18972.0,19304.01,18639.99,667290.0,13301580550.0,0.0,0.0,667290.0,13301580550.0,7075.0,9125.0,0.0,-16200.0,142818750.0,182866250.0,0.0,-325685000.0
