NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,24550.0,24700.0,-150.0,-0.00607287,24250.0,24700.0,24000.0,68354.0,1661888500.0,0.0,0.0,68354.0,1661888500.0,4100.0,0.0,0.0,-4100.0,99795000.0,0.0,0.0,-99795000.0
03/09/2026,24700.0,24900.0,-200.0,-0.00803213,24900.0,24900.0,24350.0,128238.0,3147870450.0,0.0,0.0,128238.0,3147870450.0,-12466.0,0.0,0.0,12466.0,-303887750.0,0.0,0.0,303887750.0
28/08/2026,24900.0,24800.0,100.0,0.00403226,24800.0,24900.0,24450.0,141022.0,3492387500.0,0.0,0.0,141022.0,3492387500.0,-16091.0,-20284.0,0.0,36375.0,-406487250.0,-500909000.0,0.0,907396250.0
27/08/2026,24800.0,24800.0,0.0,0.0,24850.0,25300.0,24500.0,101461.0,2514714150.0,0.0,0.0,101461.0,2514714150.0,37778.0,-31678.0,0.0,-6100.0,939098201.0,-788098200.0,0.0,-151000000.0
26/08/2026,24800.0,24850.0,-50.0,-0.00201207,24850.0,24900.0,24450.0,109520.0,2705783200.0,0.0,0.0,109520.0,2705783200.0,28600.0,-17100.0,5000.0,-11500.0,707034500.0,-423224500.0,124000000.0,-283810000.0
25/08/2026,24850.0,24500.0,350.0,0.01428571,24300.0,24950.0,24000.0,657265.0,16209115000.0,0.0,0.0,657265.0,16209115000.0,161412.0,-262712.0,-25000.0,101300.0,4003897050.0,-6500487050.0,-621250000.0,2496590000.0
24/08/2026,24500.0,24300.0,200.0,0.00823045,24600.0,24800.0,23700.0,365032.0,8924676500.0,0.0,0.0,365032.0,8924676500.0,144449.0,-101569.0,0.0,-42880.0,3548430600.0,-2503534600.0,0.0,-1044896000.0
21/08/2026,24300.0,23500.0,800.0,0.03404255,23100.0,24300.0,23000.0,183865.0,4375273400.0,0.0,0.0,183865.0,4375273400.0,-17469.0,31069.0,0.0,-13600.0,-427640750.0,749195750.0,0.0,-321555000.0
20/08/2026,23500.0,23700.0,-200.0,-0.00843882,23650.0,23750.0,23500.0,56724.0,1337253700.0,0.0,0.0,56724.0,1337253700.0,-8715.0,14815.0,0.0,-6100.0,-205312500.0,349202500.0,0.0,-143890000.0
19/08/2026,23700.0,23900.0,-200.0,-0.0083682,24050.0,24200.0,23700.0,86131.0,2050328400.0,0.0,0.0,86131.0,2050328400.0,13590.0,-16190.0,0.0,2600.0,323870500.0,-385975500.0,0.0,62105000.0
