NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,33400.0,34100.0,-700.0,-0.02052786,33350.0,33650.0,32700.0,27702266.0,921659324900.0,1130000.0,36354500000.0,28832266.0,958013824900.0,-3970505.0,-2265387.0,-2329300.0,6235892.0,-132619067151.0,-75445163850.0,-77178115000.0,208064231000.0
27/08/2026,34100.0,33450.0,650.0,0.01943199,33500.0,35200.0,33450.0,32648328.0,1112983447950.0,0.0,0.0,32648328.0,1112983447950.0,-10831771.0,-2198628.0,400.0,13030399.0,-369657328500.0,-74669303150.0,-47395000.0,444326631650.0
26/08/2026,33450.0,31300.0,2150.0,0.0686901,31250.0,33450.0,31000.0,39198902.0,1273278508800.0,16679000.0,516119500000.0,55877902.0,1789398008800.0,-7858784.0,3854484.0,3353700.0,4004300.0,-261102549449.0,125062704450.0,107984135000.0,136039845000.0
25/08/2026,31300.0,31450.0,-150.0,-0.00476948,31450.0,31900.0,31200.0,14744960.0,464482703650.0,5222000.0,164707380000.0,19966960.0,629190083650.0,2408776.0,738584.0,-472300.0,-3147360.0,75791830351.0,23319462650.0,-14799255000.0,-99111293000.0
24/08/2026,31450.0,31650.0,-200.0,-0.00631912,31650.0,31900.0,31450.0,10099509.0,319380143050.0,7441000.0,235631950000.0,17540509.0,555012093050.0,-1067193.0,316965.0,517800.0,750228.0,-33897909050.0,10198479449.0,16490535000.0,23699429600.0
21/08/2026,31650.0,31000.0,650.0,0.02096774,30800.0,31700.0,30750.0,9781322.0,306208267850.0,4649000.0,147275700000.0,14430322.0,453483967850.0,1619916.0,-1613991.0,-250700.0,-5925.0,50432051450.0,-50301710150.0,-7431415000.0,-130341300.0
20/08/2026,31000.0,31000.0,0.0,0.0,31200.0,31300.0,30850.0,6422567.0,199100612000.0,3051000.0,91530000000.0,9473567.0,290630612000.0,94667.0,-370021.0,-424400.0,275354.0,2826280801.0,-11378326100.0,-13053880000.0,8552045300.0
19/08/2026,31000.0,30850.0,150.0,0.00486224,30650.0,31100.0,30650.0,8387207.0,258947909300.0,3805000.0,117582750000.0,12192207.0,376530659300.0,-1293518.0,821146.0,54307.0,472372.0,-39960188900.0,25425117250.0,1672841000.0,14535071650.0
18/08/2026,30850.0,31800.0,-950.0,-0.02987421,31850.0,31850.0,30600.0,14761858.0,459397544550.0,20000.0,660000000.0,14781858.0,460057544550.0,1706576.0,-2010476.0,-1995800.0,303900.0,53473096200.0,-62776401200.0,-61940440000.0,9303305000.0
17/08/2026,31800.0,32000.0,-200.0,-0.00625,31850.0,32050.0,31600.0,10973974.0,348944915450.0,30000.0,894000000.0,11003974.0,349838915450.0,-2770078.0,896493.0,409700.0,1873585.0,-88028337751.0,28522368250.0,13026825000.0,59505969500.0
