NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,12181.94,13750.0,-350.0,-0.02545455,12454.67,12454.67,12136.485,7443491.0,100523557900.0,0.0,0.0,7443491.0,100523557900.0,-1281395.0,889775.0,153400.0,391620.0,-17310096150.0,12084216150.0,2055560000.0,5225880000.0
27/08/2026,13750.0,13550.0,200.0,0.01476015,13550.0,13850.0,13300.0,8497505.0,115558767500.0,0.0,0.0,8497505.0,115558767500.0,-1640732.0,804932.0,0.0,835800.0,-22562726100.0,10885161100.0,0.0,11677565000.0
26/08/2026,13550.0,13200.0,350.0,0.02651515,13200.0,13550.0,12950.0,9589609.0,127641012850.0,0.0,0.0,9589609.0,127641012850.0,-2277676.0,817776.0,0.0,1459900.0,-30478484101.0,11158614100.0,0.0,19319870000.0
25/08/2026,13200.0,13250.0,-50.0,-0.00377358,13300.0,13300.0,12850.0,7136670.0,93700667650.0,0.0,0.0,7136670.0,93700667650.0,-216858.0,-997642.0,-30000.0,1214500.0,-2967338650.0,-13035516351.0,-396000000.0,16002855000.0
24/08/2026,13250.0,12400.0,850.0,0.06854839,12600.0,13250.0,12400.0,15308996.0,198717125500.0,0.0,0.0,15308996.0,198717125500.0,-3916752.0,596252.0,-100000.0,3320500.0,-50826700600.0,7991280600.0,-1310000000.0,42835420000.0
21/08/2026,12400.0,11600.0,800.0,0.06896552,11550.0,12400.0,11550.0,9143560.0,111381995450.0,0.0,0.0,9143560.0,111381995450.0,-2337339.0,-555161.0,0.0,2892500.0,-28568834100.0,-6830940900.0,0.0,35399775000.0
20/08/2026,11600.0,11600.0,0.0,0.0,11700.0,11800.0,11500.0,3073089.0,35718867100.0,22000.0,237600000.0,3095089.0,35956467100.0,-203209.0,532309.0,0.0,-329100.0,-2387053300.0,6185258300.0,0.0,-3798205000.0
19/08/2026,11600.0,11800.0,-200.0,-0.01694915,11900.0,12000.0,11600.0,4542560.0,53250959250.0,50000.0,600000000.0,4592560.0,53850959250.0,457238.0,-375838.0,0.0,-81400.0,5386255950.0,-4425000950.0,0.0,-961255000.0
18/08/2026,11800.0,12200.0,-400.0,-0.03278689,12100.0,12300.0,11800.0,2959665.0,35552219800.0,0.0,0.0,2959665.0,35552219800.0,335837.0,-301137.0,20000.0,-34700.0,3976411850.0,-3557896850.0,241000000.0,-418515000.0
17/08/2026,12200.0,11950.0,250.0,0.0209205,11900.0,12300.0,11750.0,4301198.0,51810687600.0,0.0,0.0,4301198.0,51810687600.0,569111.0,-74611.0,600.0,-494500.0,6720876850.0,-852456850.0,7140000.0,-5868420000.0
14/08/2026,11950.0,11800.0,150.0,0.01271186,11800.0,12500.0,11550.0,7131615.0,85223562400.0,0.0,0.0,7131615.0,85223562400.0,1038185.0,-596285.0,0.0,-441900.0,12239894700.0,-6853969700.0,0.0,-5385925000.0
13/08/2026,11800.0,12200.0,-400.0,-0.03278689,12300.0,12400.0,11800.0,5555131.0,67029353550.0,0.0,0.0,5555131.0,67029353550.0,552406.0,24894.0,0.0,-577300.0,6613603750.0,357126250.0,0.0,-6970730000.0
12/08/2026,12200.0,12250.0,-50.0,-0.00408163,12300.0,12400.0,12100.0,4022593.0,49247751200.0,0.0,0.0,4022593.0,49247751200.0,838096.0,-17496.0,1000.0,-820600.0,10317005350.0,-246275350.0,12350000.0,-10070730000.0
11/08/2026,12250.0,12300.0,-50.0,-0.00406504,12350.0,12400.0,12100.0,4013324.0,49123917400.0,0.0,0.0,4013324.0,49123917400.0,714584.0,-397384.0,30000.0,-317200.0,8715139849.0,-4821599850.0,367500000.0,-3893540000.0
10/08/2026,12300.0,11800.0,500.0,0.04237288,11950.0,12350.0,11950.0,4156413.0,50689988200.0,0.0,0.0,4156413.0,50689988200.0,-1050390.0,524190.0,20000.0,526200.0,-12823445350.0,6397985350.0,246000000.0,6425460000.0
07/08/2026,11800.0,12100.0,-300.0,-0.02479339,11950.0,12100.0,11800.0,5250858.0,62485885550.0,0.0,0.0,5250858.0,62485885550.0,1934476.0,-438776.0,1200.0,-1495700.0,23033022701.0,-5215262700.0,14275000.0,-17817760000.0
06/08/2026,12100.0,12250.0,-150.0,-0.0122449,12250.0,12250.0,11900.0,3607123.0,43400078600.0,0.0,0.0,3607123.0,43400078600.0,356334.0,-353766.0,0.0,-2568.0,4293556450.0,-4257841850.0,0.0,-35714600.0
05/08/2026,12250.0,12300.0,-50.0,-0.00406504,12400.0,12600.0,12100.0,6928451.0,85319170050.0,130000.0,1599000000.0,7058451.0,86918170050.0,-1548697.0,1866697.0,0.0,-318000.0,-19030810349.0,23007990350.0,0.0,-3977180000.0
