NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,9400.0,9750.0,-350.0,-0.03589744,9600.0,9600.0,9400.0,25787.0,244632390.0,0.0,0.0,25787.0,244632390.0,0.0,0.0,0.0,-19300.0,0.0,0.0,0.0,-182987000.0
28/08/2026,9750.0,9350.0,400.0,0.04278075,9110.0,9790.0,9110.0,54710.0,524497460.0,0.0,0.0,54710.0,524497460.0,13489.0,-13489.0,0.0,0.0,130896459.0,-130896460.0,0.0,0.0
27/08/2026,9350.0,9790.0,-440.0,-0.04494382,9780.0,9790.0,9350.0,34713.0,330239000.0,0.0,0.0,34713.0,330239000.0,-1501.0,1501.0,0.0,0.0,-13499500.0,13499500.0,0.0,0.0
26/08/2026,9790.0,9800.0,-10.0,-0.00102041,9890.0,9900.0,9320.0,26153.0,254040350.0,0.0,0.0,26153.0,254040350.0,900.0,1800.0,0.0,-2700.0,9731000.0,16702000.0,0.0,-26433000.0
25/08/2026,9800.0,9990.0,-190.0,-0.01901902,9620.0,9800.0,9550.0,12107.0,116752200.0,0.0,0.0,12107.0,116752200.0,-2793.0,2793.0,0.0,0.0,-26909800.0,26909800.0,0.0,0.0
24/08/2026,9990.0,10000.0,-10.0,-0.001,10100.0,10100.0,9800.0,10960.0,108789200.0,382000.0,3629000000.0,392960.0,3737789200.0,2500.0,-2500.0,0.0,0.0,24245000.0,-24245000.0,0.0,0.0
21/08/2026,10000.0,9720.0,280.0,0.02880658,9970.0,10100.0,9970.0,193920.0,1943797740.0,0.0,0.0,193920.0,1943797740.0,-11922.0,10922.0,0.0,1000.0,-120977130.0,110967130.0,0.0,10010000.0
20/08/2026,9720.0,9380.0,340.0,0.03624733,9200.0,9750.0,9200.0,53091.0,510011390.0,0.0,0.0,53091.0,510011390.0,12993.0,-14693.0,0.0,1700.0,124328810.0,-140403810.0,0.0,16075000.0
19/08/2026,9380.0,9600.0,-220.0,-0.02291667,9600.0,9600.0,9380.0,1758.0,16588600.0,0.0,0.0,1758.0,16588600.0,-100.0,100.0,0.0,0.0,-938000.0,938000.0,0.0,0.0
18/08/2026,9600.0,9800.0,-200.0,-0.02040816,9790.0,9790.0,9600.0,5000.0,48139000.0,0.0,0.0,5000.0,48139000.0,-100.0,100.0,0.0,0.0,-960000.0,960000.0,0.0,0.0
17/08/2026,9800.0,9570.0,230.0,0.02403344,9570.0,9800.0,9510.0,11801.0,112792500.0,0.0,0.0,11801.0,112792500.0,9800.0,-9800.0,0.0,0.0,93600000.0,-93600000.0,0.0,0.0
14/08/2026,9570.0,9700.0,-130.0,-0.01340206,9620.0,9620.0,9570.0,5573.0,53472850.0,800000.0,8000000000.0,805573.0,8053472850.0,2553.0,-2353.0,-200.0,-200.0,24479201.0,-22565200.0,-1914000.0,-1914000.0
13/08/2026,9700.0,9790.0,-90.0,-0.00919305,9730.0,9730.0,9700.0,5400.0,52443000.0,0.0,0.0,5400.0,52443000.0,-200.0,200.0,0.0,0.0,-1943000.0,1943000.0,0.0,0.0
12/08/2026,9790.0,9800.0,-10.0,-0.00102041,9800.0,9800.0,9600.0,12928.0,125578500.0,0.0,0.0,12928.0,125578500.0,-397.0,397.0,0.0,0.0,-3851400.0,3851400.0,0.0,0.0
11/08/2026,9800.0,9700.0,100.0,0.01030928,9700.0,9800.0,9700.0,8100.0,79185000.0,0.0,0.0,8100.0,79185000.0,100.0,0.0,0.0,-100.0,976000.0,3000.0,0.0,-979000.0
10/08/2026,9700.0,9900.0,-200.0,-0.02020202,9900.0,9900.0,9700.0,9320.0,90489320.0,0.0,0.0,9320.0,90489320.0,-628.0,728.0,0.0,-100.0,-6027510.0,7006510.0,0.0,-979000.0
07/08/2026,9900.0,9750.0,150.0,0.01538462,9750.0,9910.0,9750.0,2782.0,27136800.0,0.0,0.0,2782.0,27136800.0,-1210.0,1210.0,0.0,0.0,-11781500.0,11781500.0,0.0,0.0
06/08/2026,9750.0,9940.0,-190.0,-0.01911469,9700.0,9820.0,9700.0,7377.0,71719900.0,0.0,0.0,7377.0,71719900.0,-1157.0,1057.0,0.0,100.0,-11300900.0,10321900.0,0.0,979000.0
05/08/2026,9940.0,9990.0,-50.0,-0.00500501,9990.0,9990.0,9890.0,8205.0,81713550.0,0.0,0.0,8205.0,81713550.0,1700.0,-600.0,0.0,-1100.0,16873000.0,-5994000.0,0.0,-10879000.0
04/08/2026,9990.0,9810.0,180.0,0.01834862,10100.0,10100.0,9700.0,7306.0,71428360.0,0.0,0.0,7306.0,71428360.0,-1001.0,2101.0,0.0,-1100.0,-9684810.0,20493810.0,0.0,-10809000.0
