NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,17000.0,17000.0,0.0,0.0,17000.0,17050.0,16800.0,474797.0,8031275450.0,0.0,0.0,474797.0,8031275450.0,-1000.0,0.0,0.0,1000.0,-15650000.0,0.0,0.0,15650000.0
03/09/2026,17000.0,17300.0,-300.0,-0.01734104,17250.0,17300.0,16850.0,938118.0,15971797250.0,0.0,0.0,938118.0,15971797250.0,15600.0,0.0,0.0,-15600.0,265910000.0,0.0,0.0,-265910000.0
28/08/2026,17300.0,17300.0,0.0,0.0,17300.0,17500.0,17100.0,983154.0,17023550600.0,0.0,0.0,983154.0,17023550600.0,74228.0,-65928.0,0.0,-8300.0,1283502250.0,-1139612250.0,0.0,-143890000.0
27/08/2026,17300.0,17700.0,-400.0,-0.02259887,17650.0,17800.0,17200.0,1224436.0,21335988100.0,0.0,0.0,1224436.0,21335988100.0,165542.0,-110742.0,0.0,-54800.0,2875754050.0,-1921929050.0,0.0,-953825000.0
26/08/2026,17700.0,17700.0,0.0,0.0,17800.0,17900.0,17400.0,870630.0,15345081700.0,1688053.0,29878538100.0,2558683.0,45223619800.0,40563.0,-12463.0,0.0,-28100.0,724361500.0,-223281500.0,0.0,-501080000.0
25/08/2026,17700.0,16550.0,1150.0,0.0694864,16500.0,17700.0,16500.0,3729092.0,65498590550.0,0.0,0.0,3729092.0,65498590550.0,9655.0,-28555.0,0.0,18900.0,186677500.0,-513342500.0,0.0,326665000.0
24/08/2026,16550.0,16500.0,50.0,0.0030303,16500.0,16550.0,16350.0,793116.0,13059237800.0,0.0,0.0,793116.0,13059237800.0,-18072.0,-44028.0,0.0,62100.0,-294732400.0,-725687600.0,0.0,1020420000.0
21/08/2026,16500.0,16450.0,50.0,0.00303951,16450.0,16550.0,16200.0,800437.0,13123932150.0,2007601.0,33125416500.0,2808038.0,46249348650.0,-22117.0,-9913.0,0.0,32030.0,-354968850.0,-171283650.0,0.0,526252500.0
20/08/2026,16450.0,16500.0,-50.0,-0.0030303,16450.0,16550.0,16300.0,146659.0,2409784550.0,0.0,0.0,146659.0,2409784550.0,8430.0,-9630.0,0.0,1200.0,137819601.0,-157379600.0,0.0,19560000.0
19/08/2026,16500.0,16300.0,200.0,0.01226994,16200.0,16550.0,16000.0,1225656.0,19975609800.0,0.0,0.0,1225656.0,19975609800.0,258393.0,-226093.0,0.0,-32300.0,4167306150.0,-3646646150.0,0.0,-520660000.0
18/08/2026,16300.0,16500.0,-200.0,-0.01212121,16250.0,16400.0,16200.0,511899.0,8333485800.0,0.0,0.0,511899.0,8333485800.0,41955.0,-4955.0,0.0,-37000.0,684017250.0,-82057250.0,0.0,-601960000.0
