NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,11250.0,11250.0,0.0,0.0,11200.0,11300.0,11100.0,332121.0,3719995600.0,0.0,0.0,332121.0,3719995600.0,4200.0,-5500.0,0.0,1300.0,47364500.0,-61509500.0,0.0,14145000.0
27/08/2026,11250.0,11250.0,0.0,0.0,11250.0,11500.0,11050.0,345819.0,3893126500.0,0.0,0.0,345819.0,3893126500.0,-29869.0,61669.0,0.0,-31800.0,-357756250.0,713446250.0,0.0,-355690000.0
26/08/2026,11250.0,11300.0,-50.0,-0.00442478,11300.0,11300.0,11050.0,380986.0,4265234800.0,0.0,0.0,380986.0,4265234800.0,148333.0,-154933.0,0.0,6600.0,1653310500.0,-1727645500.0,0.0,74335000.0
25/08/2026,11300.0,11600.0,-300.0,-0.02586207,11500.0,11600.0,11000.0,925208.0,10462441700.0,0.0,0.0,925208.0,10462441700.0,-67357.0,69257.0,0.0,-1900.0,-760487651.0,783552650.0,0.0,-23065000.0
24/08/2026,11600.0,11800.0,-200.0,-0.01694915,11800.0,12150.0,11500.0,839100.0,9877787800.0,0.0,0.0,839100.0,9877787800.0,173589.0,-166289.0,0.0,-7300.0,2020318950.0,-1938478950.0,0.0,-81840000.0
21/08/2026,11800.0,11200.0,600.0,0.05357143,11350.0,11900.0,11200.0,846718.0,9855159800.0,0.0,0.0,846718.0,9855159800.0,-81236.0,84736.0,0.0,-3500.0,-928436900.0,972176900.0,0.0,-43740000.0
20/08/2026,11200.0,10600.0,600.0,0.05660377,10600.0,11200.0,10600.0,692502.0,7458802450.0,1025000.0,11582500000.0,1717502.0,19041302450.0,-239146.0,197646.0,0.0,41500.0,-2553768350.0,2105343350.0,0.0,448425000.0
19/08/2026,10600.0,10550.0,50.0,0.00473934,10550.0,10650.0,10550.0,260600.0,2757890000.0,1597800.0,17975250000.0,1858400.0,20733140000.0,87400.0,-99500.0,0.0,12100.0,921755000.0,-1049750000.0,0.0,127995000.0
18/08/2026,10550.0,10700.0,-150.0,-0.01401869,10700.0,10700.0,10500.0,137632.0,1463672280.0,2240000.0,23621000000.0,2377632.0,25084672280.0,6630.0,970.0,0.0,-7600.0,70325380.0,10614620.0,0.0,-80940000.0
17/08/2026,10700.0,10400.0,300.0,0.02884615,10400.0,10750.0,10400.0,253708.0,2693950200.0,1840000.0,18400000000.0,2093708.0,21093950200.0,26100.0,9700.0,0.0,-35800.0,282535000.0,101090000.0,0.0,-383625000.0
