NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,2170.0,2120.0,50.0,0.02358491,2120.0,2190.0,2120.0,1158.0,2525820.0,0.0,0.0,1158.0,2525820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,2120.0,2120.0,0.0,0.0,2120.0,2120.0,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,2120.0,2260.0,-140.0,-0.0619469,2180.0,2180.0,2110.0,1704.0,3623860.0,0.0,0.0,1704.0,3623860.0,300.0,-300.0,0.0,0.0,648000.0,-648000.0,0.0,0.0
26/08/2026,2260.0,2160.0,100.0,0.0462963,2110.0,2260.0,2110.0,200.0,437000.0,0.0,0.0,200.0,437000.0,-100.0,100.0,0.0,0.0,-226000.0,226000.0,0.0,0.0
25/08/2026,2160.0,2160.0,0.0,0.0,2160.0,2160.0,2160.0,1063.0,2296080.0,0.0,0.0,1063.0,2296080.0,900.0,-900.0,0.0,0.0,1944001.0,-1944000.0,0.0,0.0
24/08/2026,2160.0,2100.0,60.0,0.02857143,1990.0,2170.0,1990.0,1121.0,2412090.0,0.0,0.0,1121.0,2412090.0,-99.0,99.0,0.0,0.0,-197910.0,197910.0,0.0,0.0
21/08/2026,2100.0,2100.0,0.0,0.0,2100.0,2100.0,2100.0,500.0,1050000.0,0.0,0.0,500.0,1050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,2100.0,2100.0,0.0,0.0,2100.0,2100.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,2100.0,2100.0,0.0,0.0,2100.0,2100.0,2100.0,211.0,443000.0,0.0,0.0,211.0,443000.0,200.0,-200.0,0.0,0.0,420000.0,-420000.0,0.0,0.0
18/08/2026,2100.0,2100.0,0.0,0.0,2100.0,2100.0,2100.0,416.0,873690.0,0.0,0.0,416.0,873690.0,400.0,-400.0,0.0,0.0,840000.0,-840000.0,0.0,0.0
17/08/2026,2100.0,2100.0,0.0,0.0,2100.0,2100.0,2100.0,310.0,649800.0,0.0,0.0,310.0,649800.0,310.0,-300.0,0.0,-10.0,649800.0,-630000.0,0.0,-19800.0
14/08/2026,2100.0,2100.0,0.0,0.0,2100.0,2100.0,2100.0,600.0,1260000.0,0.0,0.0,600.0,1260000.0,-300.0,300.0,0.0,0.0,-630000.0,630000.0,0.0,0.0
