NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,17700.0,17750.0,-50.0,-0.0028169,17750.0,17750.0,17700.0,561.0,9944700.0,0.0,0.0,561.0,9944700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,17750.0,17650.0,100.0,0.00566572,17700.0,17750.0,17700.0,1213.0,21519450.0,0.0,0.0,1213.0,21519450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,17650.0,17650.0,0.0,0.0,17650.0,17650.0,17650.0,505.0,8913250.0,0.0,0.0,505.0,8913250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,17650.0,17650.0,0.0,0.0,17650.0,17650.0,17650.0,16.0,282400.0,0.0,0.0,16.0,282400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,17650.0,17650.0,0.0,0.0,17650.0,17650.0,17650.0,4.0,70600.0,0.0,0.0,4.0,70600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,17650.0,17650.0,0.0,0.0,17700.0,17700.0,17650.0,800.0,14140000.0,0.0,0.0,800.0,14140000.0,-500.0,500.0,0.0,0.0,-8840000.0,8840000.0,0.0,0.0
24/08/2026,17650.0,17650.0,0.0,0.0,17650.0,17650.0,17650.0,308.0,5436100.0,0.0,0.0,308.0,5436100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,17650.0,17750.0,-100.0,-0.0056338,17750.0,17750.0,17600.0,2027.0,35745100.0,0.0,0.0,2027.0,35745100.0,-1700.0,1700.0,0.0,0.0,-29970001.0,29970000.0,0.0,0.0
20/08/2026,17750.0,17650.0,100.0,0.00566572,17650.0,17750.0,17650.0,1714.0,30278900.0,0.0,0.0,1714.0,30278900.0,-1176.0,1176.0,0.0,0.0,-20758200.0,20758200.0,0.0,0.0
19/08/2026,17650.0,17850.0,-200.0,-0.01120448,17650.0,17650.0,17650.0,202.0,3565050.0,0.0,0.0,202.0,3565050.0,-198.0,198.0,0.0,0.0,-3494950.0,3494950.0,0.0,0.0
