NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,39400.0,40800.0,-1400.0,-0.03431373,40300.0,40450.0,39400.0,3726711.0,148223022450.0,0.0,0.0,3726711.0,148223022450.0,1965901.0,0.0,-14800.0,-1951101.0,78227758550.0,0.0,-580125000.0,-77647633550.0
28/08/2026,40800.0,40800.0,0.0,0.0,40800.0,41450.0,40450.0,1651863.0,67533636750.0,0.0,0.0,1651863.0,67533636750.0,211201.0,101682.0,-68600.0,-312883.0,8642487700.0,4135508600.0,-2802110000.0,-12777996300.0
27/08/2026,40800.0,41750.0,-950.0,-0.02275449,41650.0,42050.0,40800.0,2055604.0,84742060100.0,0.0,0.0,2055604.0,84742060100.0,960142.0,71509.0,-74400.0,-1031651.0,39531798750.0,2923425500.0,-3069930000.0,-42455224250.0
26/08/2026,41750.0,40300.0,1450.0,0.03598015,40400.0,42500.0,40100.0,3636831.0,150418005800.0,0.0,0.0,3636831.0,150418005800.0,328688.0,473712.0,50500.0,-802400.0,13830982000.0,19546273000.0,2097335000.0,-33377255000.0
25/08/2026,40300.0,40800.0,-500.0,-0.0122549,40800.0,41050.0,40100.0,2032721.0,82281799200.0,0.0,0.0,2032721.0,82281799200.0,345991.0,237709.0,-57600.0,-583700.0,14019973150.0,9629871850.0,-2326440000.0,-23649845000.0
24/08/2026,40800.0,41000.0,-200.0,-0.00487805,41400.0,41550.0,40750.0,1806945.0,74203684950.0,400000.0,16500000000.0,2206945.0,90703684950.0,243987.0,80183.0,-44600.0,-324170.0,10075630950.0,3243307550.0,-1829475000.0,-13318938500.0
21/08/2026,41000.0,39500.0,1500.0,0.03797468,39300.0,41300.0,39300.0,3653329.0,148761896100.0,0.0,0.0,3653329.0,148761896100.0,231663.0,39037.0,29100.0,-270700.0,9137171450.0,1582386950.0,1219195000.0,-10719558400.0
20/08/2026,39500.0,39450.0,50.0,0.00126743,39900.0,40000.0,39500.0,645910.0,25646183700.0,0.0,0.0,645910.0,25646183700.0,85030.0,60770.0,94100.0,-145800.0,3374591549.0,2411513450.0,3745950000.0,-5786105000.0
19/08/2026,39450.0,39800.0,-350.0,-0.00879397,39750.0,39850.0,39200.0,705407.0,27833145250.0,0.0,0.0,705407.0,27833145250.0,281882.0,25218.0,33500.0,-307100.0,11123825450.0,984429550.0,1321600000.0,-12108255000.0
18/08/2026,39800.0,39200.0,600.0,0.01530612,39400.0,40200.0,39250.0,1353086.0,53763206900.0,370000.0,14763000000.0,1723086.0,68526206900.0,-200566.0,57866.0,-44800.0,142700.0,-7998956400.0,2298056400.0,-1771895000.0,5700900000.0
17/08/2026,39200.0,39150.0,50.0,0.00127714,39150.0,39500.0,38800.0,952401.0,37254633150.0,0.0,0.0,952401.0,37254633150.0,54489.0,154171.0,63000.0,-208660.0,2099791649.0,6060463750.0,2457365000.0,-8160255400.0
14/08/2026,39150.0,40000.0,-850.0,-0.02125,39800.0,40000.0,39000.0,1587871.0,62647420650.0,370000.0,14837000000.0,1957871.0,77484420650.0,113969.0,175731.0,-41900.0,-289700.0,4512613350.0,6914746650.0,-1643810000.0,-11427360000.0
13/08/2026,40000.0,40500.0,-500.0,-0.01234568,40800.0,40800.0,40000.0,1892476.0,76553020050.0,0.0,0.0,1892476.0,76553020050.0,-45445.0,-176135.0,-32000.0,221580.0,-1874627549.0,-7167472450.0,-1295620000.0,9042100000.0
12/08/2026,40500.0,40800.0,-300.0,-0.00735294,40800.0,41000.0,40300.0,1391352.0,56751284450.0,370048.0,14542920000.0,1761400.0,71294204450.0,-204097.0,497494.0,76700.0,-293397.0,-8351889450.0,20323003950.0,3128735000.0,-11971114500.0
11/08/2026,40800.0,40000.0,800.0,0.02,40050.0,40900.0,39900.0,2642805.0,107445135650.0,158000.0,6434076000.0,2800805.0,113879211650.0,-54120.0,796220.0,12000.0,-742100.0,-2225381350.0,32386251350.0,483570000.0,-30160870000.0
10/08/2026,40000.0,39300.0,700.0,0.0178117,39600.0,40350.0,39400.0,1758631.0,70250030600.0,370000.0,14615000000.0,2128631.0,84865030600.0,620967.0,204874.0,38900.0,-825841.0,24796254800.0,8166852000.0,1554040000.0,-32963106800.0
07/08/2026,39300.0,39400.0,-100.0,-0.00253807,39400.0,40000.0,39250.0,1349797.0,53219663750.0,1000000.0,38500000000.0,2349797.0,91719663750.0,443269.0,265831.0,1000.0,-709100.0,17459435300.0,10474924700.0,39360000.0,-27934360000.0
06/08/2026,39400.0,39600.0,-200.0,-0.00505051,39600.0,39900.0,39250.0,1091811.0,43117291550.0,0.0,0.0,1091811.0,43117291550.0,75853.0,195160.0,-2500.0,-271013.0,3014894050.0,7698676950.0,-97700000.0,-10713571000.0
05/08/2026,39600.0,40650.0,-1050.0,-0.02583026,40950.0,40950.0,39600.0,2465950.0,99073619500.0,770000.0,31133000000.0,3235950.0,130206619500.0,1307072.0,352528.0,-27600.0,-1659600.0,52525132950.0,14127037050.0,-1100550000.0,-66652170000.0
04/08/2026,40650.0,40900.0,-250.0,-0.00611247,41000.0,41000.0,39800.0,1254877.0,50554981650.0,533500.0,21894903400.0,1788377.0,72449885050.0,406693.0,121747.0,-6200.0,-528440.0,16340712050.0,4924882750.0,-250775000.0,-21265594800.0
03/08/2026,40900.0,41000.0,-100.0,-0.00243902,40600.0,41400.0,40600.0,2216172.0,90745896500.0,370000.0,15207000000.0,2586172.0,105952896500.0,922446.0,308661.0,30500.0,-1231107.0,37790191800.0,12639430200.0,1248215000.0,-50429622000.0
31/07/2026,41000.0,40600.0,400.0,0.00985222,40950.0,41000.0,40200.0,2279510.0,92991411650.0,20000.0,756000000.0,2299510.0,93747411650.0,-666312.0,882512.0,457100.0,-216200.0,-27224241500.0,36099846500.0,18735630000.0,-8875605000.0
30/07/2026,40600.0,38650.0,1950.0,0.05045278,38550.0,41000.0,38550.0,1925807.0,77650636400.0,0.0,0.0,1925807.0,77650636400.0,-424670.0,62936.0,5000.0,361734.0,-17108660550.0,2631212150.0,202700000.0,14477448400.0
29/07/2026,38650.0,38100.0,550.0,0.0144357,38250.0,38700.0,38000.0,694554.0,26605166600.0,0.0,0.0,694554.0,26605166600.0,88991.0,222709.0,11000.0,-311700.0,3390051000.0,8531439000.0,421000000.0,-11921490000.0
28/07/2026,38100.0,37500.0,600.0,0.016,37200.0,38900.0,36500.0,1909088.0,72282235550.0,0.0,0.0,1909088.0,72282235550.0,356064.0,244536.0,8500.0,-600600.0,13427436699.0,9231753300.0,319895000.0,-22659190000.0
27/07/2026,37500.0,39200.0,-1700.0,-0.04336735,39500.0,39950.0,37500.0,1030670.0,39987089000.0,0.0,0.0,1030670.0,39987089000.0,42128.0,167472.0,0.0,-209600.0,1562354700.0,6682060300.0,0.0,-8244415000.0
24/07/2026,39200.0,41100.0,-1900.0,-0.04622871,40050.0,40550.0,39200.0,1011647.0,40234344750.0,0.0,0.0,1011647.0,40234344750.0,276256.0,-48056.0,0.0,-228200.0,11033042550.0,-1929476500.0,0.0,-9103566050.0
23/07/2026,41100.0,40550.0,550.0,0.0135635,40600.0,41450.0,39350.0,1757119.0,70884187050.0,0.0,0.0,1757119.0,70884187050.0,98048.0,-38580.0,0.0,-59468.0,4008159949.0,-1489770400.0,0.0,-2518389550.0
22/07/2026,40550.0,41400.0,-850.0,-0.0205314,41400.0,41700.0,40400.0,1499772.0,61332712050.0,0.0,0.0,1499772.0,61332712050.0,-287295.0,-103505.0,0.0,390800.0,-11758981951.0,-4198018050.0,0.0,15957000000.0
21/07/2026,41400.0,41800.0,-400.0,-0.00956938,41100.0,41950.0,40800.0,1346463.0,55590323750.0,0.0,0.0,1346463.0,55590323750.0,190216.0,-143216.0,0.0,-47000.0,7785966100.0,-5923461100.0,0.0,-1862505000.0
20/07/2026,41800.0,43100.0,-1300.0,-0.03016241,43000.0,43100.0,40850.0,1810596.0,75383458050.0,0.0,0.0,1810596.0,75383458050.0,44618.0,-12298.0,0.0,-32320.0,1888660050.0,-592659050.0,0.0,-1296001000.0
17/07/2026,43100.0,43500.0,-400.0,-0.0091954,43450.0,43500.0,42800.0,961010.0,41437684000.0,0.0,0.0,961010.0,41437684000.0,-121123.0,109723.0,-2680.0,11400.0,-5224312601.0,4732417600.0,-115106000.0,491895000.0
