NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,7200.0,7270.0,-70.0,-0.00962861,7280.0,7280.0,7150.0,31877.0,229389010.0,0.0,0.0,31877.0,229389010.0,6100.0,-6100.0,0.0,0.0,43822000.0,-43822000.0,0.0,0.0
27/08/2026,7270.0,7300.0,-30.0,-0.00410959,7300.0,7300.0,6850.0,48610.0,348342920.0,0.0,0.0,48610.0,348342920.0,1206.0,-1906.0,0.0,700.0,9250800.0,-14360800.0,0.0,5110000.0
26/08/2026,7300.0,7270.0,30.0,0.00412655,7270.0,7390.0,7250.0,81300.0,592978000.0,0.0,0.0,81300.0,592978000.0,-9400.0,4900.0,0.0,4500.0,-67679000.0,34964000.0,0.0,32715000.0
25/08/2026,7270.0,7250.0,20.0,0.00275862,7250.0,7360.0,7220.0,51510.0,373483790.0,0.0,0.0,51510.0,373483790.0,791.0,-1491.0,0.0,700.0,5731580.0,-10806580.0,0.0,5075000.0
24/08/2026,7250.0,7300.0,-50.0,-0.00684932,7300.0,7310.0,7220.0,93947.0,681109630.0,0.0,0.0,93947.0,681109630.0,-10430.0,1930.0,0.0,8500.0,-75325700.0,13955700.0,0.0,61370000.0
21/08/2026,7300.0,7280.0,20.0,0.00274725,7280.0,7320.0,7040.0,167799.0,1217386410.0,0.0,0.0,167799.0,1217386410.0,38900.0,-38900.0,0.0,0.0,284339001.0,-284339000.0,0.0,0.0
20/08/2026,7280.0,7350.0,-70.0,-0.00952381,7300.0,7370.0,7250.0,49690.0,361009100.0,1000000.0,7000000000.0,1049690.0,7361009100.0,-7070.0,7070.0,0.0,0.0,-51368000.0,51368000.0,0.0,0.0
19/08/2026,7350.0,7490.0,-140.0,-0.01869159,7580.0,7580.0,7250.0,50202.0,367574980.0,0.0,0.0,50202.0,367574980.0,-5800.0,5800.0,0.0,0.0,-42528000.0,42528000.0,0.0,0.0
18/08/2026,7490.0,7480.0,10.0,0.0013369,7490.0,7560.0,7370.0,45003.0,337119460.0,0.0,0.0,45003.0,337119460.0,-3900.0,3900.0,0.0,0.0,-29267000.0,29267000.0,0.0,0.0
17/08/2026,7480.0,7480.0,0.0,0.0,7250.0,7900.0,7250.0,52805.0,393590580.0,0.0,0.0,52805.0,393590580.0,5100.0,-5100.0,0.0,0.0,38205000.0,-38205000.0,0.0,0.0
14/08/2026,7480.0,7590.0,-110.0,-0.01449275,7590.0,7600.0,7450.0,60515.0,454542230.0,0.0,0.0,60515.0,454542230.0,7398.0,-6598.0,0.0,-800.0,55612900.0,-49612900.0,0.0,-6000000.0
13/08/2026,7590.0,7600.0,-10.0,-0.00131579,7610.0,7800.0,7520.0,195314.0,1492187600.0,0.0,0.0,195314.0,1492187600.0,75595.0,-75595.0,0.0,0.0,576634150.0,-576634150.0,0.0,0.0
12/08/2026,7600.0,7600.0,0.0,0.0,7640.0,7650.0,7570.0,142255.0,1083792550.0,160000.0,1152000000.0,302255.0,2235792550.0,59790.0,-59790.0,0.0,0.0,456687800.0,-456687800.0,0.0,0.0
11/08/2026,7600.0,7740.0,-140.0,-0.01808786,7740.0,7740.0,7520.0,119050.0,911403700.0,0.0,0.0,119050.0,911403700.0,17599.0,-17599.0,0.0,0.0,136323420.0,-136323420.0,0.0,0.0
10/08/2026,7740.0,7250.0,490.0,0.06758621,7360.0,7740.0,7300.0,259655.0,1946638210.0,0.0,0.0,259655.0,1946638210.0,-11634.0,11934.0,0.0,-300.0,-82294579.0,84726580.0,0.0,-2432000.0
07/08/2026,7250.0,7130.0,120.0,0.01683029,7140.0,7550.0,7140.0,62540.0,454367200.0,280000.0,1960000000.0,342540.0,2414367200.0,-1920.0,1920.0,0.0,0.0,-13835800.0,13835800.0,0.0,0.0
06/08/2026,7130.0,7120.0,10.0,0.00140449,7120.0,7170.0,7070.0,168633.0,1195997960.0,337400.0,2260580000.0,506033.0,3456577960.0,-126831.0,127531.0,0.0,-700.0,-898602720.0,903586720.0,0.0,-4984000.0
05/08/2026,7120.0,7220.0,-100.0,-0.01385042,7220.0,7220.0,7000.0,67987.0,486840180.0,432600.0,3028200000.0,500587.0,3515040180.0,12817.0,-8017.0,0.0,-4800.0,92023380.0,-57551380.0,0.0,-34472000.0
04/08/2026,7220.0,7180.0,40.0,0.00557103,7180.0,7250.0,7150.0,283150.0,2039151500.0,0.0,0.0,283150.0,2039151500.0,56455.0,-49355.0,0.0,-7100.0,405397350.0,-354075350.0,0.0,-51322000.0
03/08/2026,7180.0,7070.0,110.0,0.0155587,7070.0,7200.0,7020.0,145999.0,1036758800.0,0.0,0.0,145999.0,1036758800.0,-26876.0,25076.0,0.0,1800.0,-191218130.0,178438130.0,0.0,12780000.0
31/07/2026,7070.0,7010.0,60.0,0.0085592,7040.0,7100.0,6900.0,523100.0,3631651020.0,0.0,0.0,523100.0,3631651020.0,34500.0,-34500.0,0.0,0.0,239431000.0,-239431000.0,0.0,0.0
30/07/2026,7010.0,6930.0,80.0,0.01154401,7100.0,7100.0,6900.0,140424.0,988968260.0,0.0,0.0,140424.0,988968260.0,33690.0,-33690.0,0.0,0.0,239177000.0,-239177000.0,0.0,0.0
29/07/2026,6930.0,7000.0,-70.0,-0.01,7000.0,7120.0,6900.0,191000.0,1337046000.0,0.0,0.0,191000.0,1337046000.0,-49000.0,37400.0,0.0,11600.0,-342910000.0,261416000.0,0.0,81494000.0
28/07/2026,7000.0,6870.0,130.0,0.01892285,6850.0,7000.0,6700.0,285404.0,1945979660.0,0.0,0.0,285404.0,1945979660.0,5764.0,-5764.0,0.0,0.0,43095780.0,-43095780.0,0.0,0.0
27/07/2026,6870.0,7130.0,-260.0,-0.03646564,7130.0,7130.0,6860.0,90162.0,624594560.0,110000.0,730400000.0,200162.0,1354994560.0,-13149.0,17149.0,0.0,-4000.0,-90273000.0,118256000.0,0.0,-27983000.0
24/07/2026,7130.0,7170.0,-40.0,-0.0055788,7190.0,7190.0,7000.0,138549.0,986471510.0,0.0,0.0,138549.0,986471510.0,-6470.0,7470.0,0.0,-1000.0,-47068900.0,54218900.0,0.0,-7150000.0
23/07/2026,7170.0,7110.0,60.0,0.00843882,7110.0,7250.0,6950.0,183455.0,1300608570.0,52000.0,344240000.0,235455.0,1644848570.0,5477.0,-5477.0,0.0,0.0,38945870.0,-38945870.0,0.0,0.0
22/07/2026,7110.0,7100.0,10.0,0.00140845,7100.0,7180.0,6690.0,228787.0,1591268760.0,309000.0,2042490000.0,537787.0,3633758760.0,79130.0,-23430.0,0.0,-55700.0,544990260.0,-157905260.0,0.0,-387085000.0
21/07/2026,7100.0,7080.0,20.0,0.00282486,7090.0,7190.0,7080.0,787605.0,5600444060.0,165000.0,1087350000.0,952605.0,6687794060.0,-23510.0,44710.0,-6000.0,-21200.0,-169434401.0,320073400.0,-42840000.0,-150639000.0
20/07/2026,7080.0,7300.0,-220.0,-0.03013699,7500.0,7500.0,7000.0,444984.0,3228843660.0,74000.0,518000000.0,518984.0,3746843660.0,-27632.0,27632.0,0.0,0.0,-204055600.0,204055600.0,0.0,0.0
17/07/2026,7300.0,7590.0,-290.0,-0.03820817,7600.0,7900.0,7060.0,991094.0,7327976660.0,0.0,0.0,991094.0,7327976660.0,424090.0,-424090.0,0.0,0.0,3087483840.0,-3087483840.0,0.0,0.0
16/07/2026,7590.0,7550.0,40.0,0.00529801,7530.0,7590.0,7100.0,309967.0,2252365780.0,0.0,0.0,309967.0,2252365780.0,-35610.0,33610.0,0.0,2000.0,-259587060.0,245048060.0,0.0,14539000.0
15/07/2026,7550.0,7790.0,-240.0,-0.03080873,7280.0,8000.0,7280.0,1212794.0,8872601860.0,0.0,0.0,1212794.0,8872601860.0,-305720.0,302520.0,0.0,3200.0,-2234798000.0,2210578000.0,0.0,24220000.0
14/07/2026,7790.0,8370.0,-580.0,-0.0692951,7790.0,7790.0,7790.0,402454.0,3135128400.0,0.0,0.0,402454.0,3135128400.0,57990.0,-57990.0,0.0,0.0,451735300.0,-451735301.0,0.0,0.0
13/07/2026,8370.0,9000.0,-630.0,-0.07,9100.0,9100.0,8370.0,704951.0,6002603170.0,2500000.0,20925000000.0,3204951.0,26927603170.0,19200.0,-18400.0,0.0,-800.0,152985939.0,-145787940.0,0.0,-7198000.0
10/07/2026,9000.0,9090.0,-90.0,-0.00990099,9000.0,9080.0,8930.0,24805.0,222866000.0,0.0,0.0,24805.0,222866000.0,9505.0,-8105.0,0.0,-1400.0,85653000.0,-73058000.0,0.0,-12595000.0
09/07/2026,9090.0,9120.0,-30.0,-0.00328947,9120.0,9120.0,8980.0,58438.0,526675960.0,0.0,0.0,58438.0,526675960.0,-18398.0,19098.0,0.0,-700.0,-165777959.0,172151960.0,0.0,-6374000.0
08/07/2026,9120.0,9170.0,-50.0,-0.00545256,9190.0,9190.0,9050.0,31655.0,288074850.0,0.0,0.0,31655.0,288074850.0,1799.0,-1599.0,0.0,-200.0,16167800.0,-14336800.0,0.0,-1831000.0
07/07/2026,9170.0,9200.0,-30.0,-0.00326087,9190.0,9200.0,8990.0,106322.0,965585610.0,0.0,0.0,106322.0,965585610.0,790.0,210.0,0.0,-1000.0,7743440.0,1269560.0,0.0,-9013000.0
06/07/2026,9200.0,9200.0,0.0,0.0,9130.0,9200.0,9100.0,14517.0,132811700.0,0.0,0.0,14517.0,132811700.0,5140.0,-3840.0,0.0,-1300.0,46991200.0,-35161200.0,0.0,-11830000.0
03/07/2026,9200.0,9280.0,-80.0,-0.00862069,9350.0,9350.0,9110.0,70211.0,645265080.0,0.0,0.0,70211.0,645265080.0,22711.0,-22311.0,0.0,-400.0,209811080.0,-206113080.0,0.0,-3698000.0
02/07/2026,9280.0,9150.0,130.0,0.01420765,9300.0,9300.0,9150.0,18601.0,171885150.0,0.0,0.0,18601.0,171885150.0,4901.0,-4601.0,0.0,-300.0,45411150.0,-42628150.0,0.0,-2783000.0
01/07/2026,9150.0,9460.0,-310.0,-0.03276956,9460.0,9460.0,8800.0,114753.0,1045664990.0,0.0,0.0,114753.0,1045664990.0,59214.0,-56714.0,0.0,-2500.0,536924500.0,-513684500.0,0.0,-23240000.0
30/06/2026,9460.0,9310.0,150.0,0.01611171,9310.0,9460.0,9310.0,23332.0,218533800.0,0.0,0.0,23332.0,218533800.0,-4793.0,4893.0,0.0,-100.0,-44936450.0,45881450.0,0.0,-945000.0
29/06/2026,9310.0,9550.0,-239.0,-0.0250288,9250.0,9530.0,9250.0,92959.0,866073450.0,0.0,0.0,92959.0,866073450.0,23707.0,-16407.0,0.0,-7300.0,220855630.0,-151763630.0,0.0,-69092000.0
26/06/2026,9549.945,10450.0,-100.0,-0.00956938,9642.215,9688.35,9549.945,66703.0,694161500.0,0.0,0.0,66703.0,694161500.0,-15102.0,16302.0,0.0,-1200.0,-156901000.0,169441000.0,0.0,-12540000.0
25/06/2026,9642.215,10500.0,-50.0,-0.0047619,9549.945,9688.35,9549.945,40551.0,422635300.0,0.0,0.0,40551.0,422635300.0,-14450.0,14450.0,0.0,0.0,-150894800.0,150894800.0,0.0,0.0
24/06/2026,9688.35,10350.0,150.0,0.01449275,9549.945,9688.35,9365.405,133600.0,1377470000.0,0.0,0.0,133600.0,1377470000.0,36600.0,-37200.0,0.0,600.0,380080000.0,-385595000.0,0.0,5515000.0
