NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,3240.0,3290.0,-50.0,-0.01519757,3300.0,3300.0,3230.0,36865.0,119613500.0,0.0,0.0,36865.0,119613500.0,900.0,0.0,0.0,-900.0,2919000.0,0.0,0.0,-2919000.0
28/08/2026,3290.0,3300.0,-10.0,-0.0030303,3200.0,3320.0,3200.0,43405.0,140883500.0,0.0,0.0,43405.0,140883500.0,-300.0,-200.0,0.0,500.0,-563000.0,-1062000.0,0.0,1625000.0
27/08/2026,3300.0,3300.0,0.0,0.0,3350.0,3350.0,3220.0,14800.0,48324000.0,0.0,0.0,14800.0,48324000.0,1600.0,-1600.0,0.0,0.0,5298000.0,-5248000.0,0.0,-50000.0
26/08/2026,3300.0,3330.0,-30.0,-0.00900901,3330.0,3330.0,3200.0,36803.0,119193600.0,0.0,0.0,36803.0,119193600.0,853.0,-1353.0,0.0,500.0,2897100.0,-4557100.0,0.0,1660000.0
25/08/2026,3330.0,3360.0,-30.0,-0.00892857,3360.0,3360.0,3260.0,41181.0,136127760.0,0.0,0.0,41181.0,136127760.0,6798.0,-7798.0,0.0,1000.0,22569300.0,-25849300.0,0.0,3280000.0
24/08/2026,3360.0,3340.0,20.0,0.00598802,3230.0,3390.0,3230.0,33720.0,113579800.0,0.0,0.0,33720.0,113579800.0,5080.0,-5080.0,0.0,0.0,17212200.0,-17212200.0,0.0,0.0
21/08/2026,3340.0,3340.0,0.0,0.0,3440.0,3440.0,3300.0,79791.0,264980940.0,0.0,0.0,79791.0,264980940.0,13313.0,-17513.0,0.0,4200.0,44137421.0,-57997420.0,0.0,13860000.0
20/08/2026,3340.0,3390.0,-50.0,-0.01474926,3360.0,3370.0,3300.0,58150.0,194719500.0,0.0,0.0,58150.0,194719500.0,-14250.0,14250.0,0.0,0.0,-47797500.0,47797500.0,0.0,0.0
19/08/2026,3390.0,3390.0,0.0,0.0,3430.0,3430.0,3160.0,12600.0,41338400.0,0.0,0.0,12600.0,41338400.0,2000.0,-2000.0,0.0,0.0,6965000.0,-6965000.0,0.0,0.0
18/08/2026,3390.0,3400.0,-10.0,-0.00294118,3430.0,3430.0,3370.0,6000.0,20371000.0,0.0,0.0,6000.0,20371000.0,3100.0,500.0,0.0,-3600.0,10545000.0,1695000.0,0.0,-12240000.0
17/08/2026,3400.0,3410.0,-10.0,-0.00293255,3390.0,3400.0,3310.0,21501.0,72203410.0,0.0,0.0,21501.0,72203410.0,5500.0,-4600.0,0.0,-900.0,18622000.0,-15564000.0,0.0,-3058000.0
14/08/2026,3410.0,3350.0,60.0,0.01791045,3440.0,3440.0,3340.0,50513.0,169714940.0,0.0,0.0,50513.0,169714940.0,1760.0,-1760.0,0.0,0.0,5933400.0,-5933400.0,0.0,0.0
