NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,59300.0,58600.0,700.0,0.01194539,59600.0,59600.0,59300.0,206.0,12258000.0,0.0,0.0,206.0,12258000.0,-104.0,104.0,0.0,0.0,-6210800.0,6210800.0,0.0,0.0
27/08/2026,58600.0,58600.0,0.0,0.0,58600.0,58600.0,58600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,58600.0,58400.0,200.0,0.00342466,58600.0,58600.0,58600.0,2108.0,123524800.0,0.0,0.0,2108.0,123524800.0,-1692.0,1692.0,0.0,0.0,-99155200.0,99155200.0,0.0,0.0
25/08/2026,58400.0,58300.0,100.0,0.00171527,58300.0,58400.0,58300.0,2312.0,134990800.0,0.0,0.0,2312.0,134990800.0,312.0,-312.0,0.0,0.0,18190801.0,-18190800.0,0.0,0.0
24/08/2026,58300.0,57700.0,600.0,0.01039861,59800.0,60000.0,58300.0,10100.0,602630000.0,27700.0,1634300000.0,37800.0,2236930000.0,-8200.0,8200.0,0.0,0.0,-491340000.0,491340000.0,0.0,0.0
21/08/2026,57700.0,57100.0,600.0,0.01050788,59000.0,59000.0,57700.0,5102.0,298368000.0,0.0,0.0,5102.0,298368000.0,-3298.0,3398.0,0.0,-100.0,-194142000.0,200042000.0,0.0,-5900000.0
20/08/2026,57100.0,55600.0,1500.0,0.02697842,56700.0,57100.0,56700.0,1301.0,74209400.0,0.0,0.0,1301.0,74209400.0,200.0,-200.0,0.0,0.0,11340001.0,-11340000.0,0.0,0.0
19/08/2026,55600.0,57400.0,-1800.0,-0.03135889,60900.0,60900.0,55600.0,9330.0,546026400.0,2600000.0,151575000000.0,2609330.0,152121026400.0,-4216.0,5716.0,0.0,-1500.0,-253534400.0,344504400.0,0.0,-90970000.0
18/08/2026,57400.0,58800.0,-1400.0,-0.02380952,58800.0,60900.0,57300.0,41102.0,2385807800.0,500000.0,30000000000.0,541102.0,32385807800.0,-3700.0,28700.0,0.0,-25000.0,-222320000.0,1668290000.0,0.0,-1445970000.0
17/08/2026,58800.0,59000.0,-200.0,-0.00338983,57000.0,59400.0,57000.0,2301.0,135009000.0,2600000.0,152100000000.0,2602301.0,152235009000.0,-1799.0,1899.0,0.0,-100.0,-106011000.0,111721000.0,0.0,-5710000.0
14/08/2026,59000.0,59000.0,0.0,0.0,59100.0,59700.0,59000.0,5600.0,331320000.0,0.0,0.0,5600.0,331320000.0,-800.0,800.0,0.0,0.0,-47190000.0,47190000.0,0.0,0.0
13/08/2026,59000.0,58100.0,900.0,0.01549053,59500.0,59500.0,59000.0,2100.0,124450000.0,0.0,0.0,2100.0,124450000.0,-900.0,900.0,0.0,0.0,-53100000.0,53100000.0,0.0,0.0
12/08/2026,58100.0,62000.0,-3900.0,-0.06290323,60000.0,61000.0,58100.0,35100.0,2096270000.0,0.0,0.0,35100.0,2096270000.0,28200.0,-3800.0,0.0,-24400.0,1694920000.0,-230010000.0,0.0,-1464910000.0
11/08/2026,62000.0,62000.0,0.0,0.0,60000.0,62000.0,59000.0,101900.0,6152540000.0,2881500.0,167107200000.0,2983400.0,173259740000.0,75300.0,-95300.0,0.0,20000.0,4546020000.0,-5750020000.0,0.0,1204000000.0
10/08/2026,62000.0,60300.0,1700.0,0.02819237,60000.0,62000.0,59000.0,224550.0,13775853400.0,0.0,0.0,224550.0,13775853400.0,201601.0,-202601.0,0.0,1000.0,12413626000.0,-12472626000.0,0.0,59000000.0
07/08/2026,60300.0,60300.0,0.0,0.0,60300.0,60300.0,60300.0,1405.0,84713500.0,0.0,0.0,1405.0,84713500.0,1305.0,-1305.0,0.0,0.0,78683500.0,-78683500.0,0.0,0.0
06/08/2026,60300.0,60300.0,0.0,0.0,60300.0,60300.0,59900.0,17208.0,1037462400.0,0.0,0.0,17208.0,1037462400.0,4692.0,-4692.0,0.0,0.0,282917600.0,-282917600.0,0.0,0.0
05/08/2026,60300.0,59300.0,1000.0,0.01686341,58200.0,60300.0,58200.0,33925.0,2040975600.0,25000.0,1475000000.0,58925.0,3515975600.0,21709.0,-21909.0,0.0,200.0,1306378800.0,-1318378800.0,0.0,12000000.0
04/08/2026,59300.0,59500.0,-200.0,-0.00336134,59200.0,59700.0,59200.0,502.0,29788600.0,0.0,0.0,502.0,29788600.0,2.0,-2.0,0.0,0.0,88600.0,-88600.0,0.0,0.0
03/08/2026,59500.0,59200.0,300.0,0.00506757,59200.0,59500.0,59200.0,1310.0,77886100.0,0.0,0.0,1310.0,77886100.0,1100.0,-1100.0,0.0,0.0,65390000.0,-65390000.0,0.0,0.0
31/07/2026,59200.0,59100.0,100.0,0.00169205,59100.0,59200.0,59100.0,1653.0,97846000.0,0.0,0.0,1653.0,97846000.0,1549.0,-1549.0,0.0,0.0,91696000.0,-91696000.0,0.0,0.0
30/07/2026,59100.0,59000.0,100.0,0.00169492,60900.0,60900.0,59000.0,48922.0,2915979100.0,0.0,0.0,48922.0,2915979100.0,11895.0,-14295.0,0.0,2400.0,721044400.0,-862644400.0,0.0,141600000.0
29/07/2026,59000.0,59000.0,0.0,0.0,60900.0,60900.0,59000.0,308.0,18452000.0,0.0,0.0,308.0,18452000.0,-198.0,198.0,0.0,0.0,-11872000.0,11872000.0,0.0,0.0
28/07/2026,59000.0,59000.0,0.0,0.0,59000.0,59000.0,59000.0,47371.0,2794652000.0,0.0,0.0,47371.0,2794652000.0,46497.0,-46297.0,0.0,-200.0,2743323000.0,-2731523000.0,0.0,-11800000.0
27/07/2026,59000.0,58500.0,500.0,0.00854701,58000.0,59900.0,58000.0,3218.0,188915700.0,0.0,0.0,3218.0,188915700.0,118.0,-118.0,0.0,0.0,6275700.0,-6275700.0,0.0,0.0
24/07/2026,58500.0,59700.0,-1200.0,-0.0201005,59000.0,59000.0,58000.0,5662.0,329169000.0,0.0,0.0,5662.0,329169000.0,4256.0,-4356.0,0.0,100.0,246869000.0,-252719000.0,0.0,5850000.0
23/07/2026,59700.0,60000.0,-300.0,-0.005,60000.0,60000.0,58100.0,1566.0,93070000.0,0.0,0.0,1566.0,93070000.0,100.0,-100.0,0.0,0.0,5650000.0,-5650000.0,0.0,0.0
22/07/2026,60000.0,57900.0,2100.0,0.03626943,60000.0,60000.0,60000.0,2000.0,120000000.0,0.0,0.0,2000.0,120000000.0,1000.0,-1000.0,0.0,0.0,60000000.0,-60000000.0,0.0,0.0
21/07/2026,57900.0,61000.0,-3100.0,-0.05081967,62000.0,62000.0,57900.0,3597.0,212417000.0,0.0,0.0,3597.0,212417000.0,2251.0,-2051.0,0.0,-200.0,132324200.0,-120004200.0,0.0,-12320000.0
20/07/2026,61000.0,61000.0,0.0,0.0,60000.0,61000.0,58100.0,18173.0,1103311400.0,0.0,0.0,18173.0,1103311400.0,15865.0,-15665.0,0.0,-200.0,962723401.0,-950523400.0,0.0,-12200000.0
17/07/2026,61000.0,58300.0,2700.0,0.04631218,61300.0,62200.0,58000.0,44756.0,2730550000.0,0.0,0.0,44756.0,2730550000.0,24544.0,-24544.0,0.0,0.0,1501780000.0,-1501780000.0,0.0,0.0
16/07/2026,58300.0,58000.0,300.0,0.00517241,61400.0,61500.0,58100.0,642210.0,39300421000.0,0.0,0.0,642210.0,39300421000.0,156800.0,-154600.0,0.0,-2200.0,9626550000.0,-9498670000.0,0.0,-127880000.0
15/07/2026,58000.0,61200.0,-3229.0,-0.05273645,57900.0,62500.0,57900.0,203394.0,12508674000.0,0.0,0.0,203394.0,12508674000.0,146092.0,-145892.0,0.0,-200.0,9030948000.0,-9018648000.0,0.0,-12300000.0
