NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
16/09/2026,31773.045,33900.0,1050.0,0.03097345,30818.49,31773.045,30727.58,182406.0,6186177100.0,0.0,0.0,182406.0,6186177100.0,-9900.0,0.0,0.0,9900.0,-334720000.0,0.0,0.0,334720000.0
15/09/2026,30818.49,33900.0,0.0,0.0,30818.49,31409.405,30273.03,330101.0,11163648600.0,0.0,0.0,330101.0,11163648600.0,-7000.0,0.0,0.0,7000.0,-237165000.0,0.0,0.0,237165000.0
14/09/2026,30818.49,33800.0,100.0,0.00295858,30727.58,30818.49,28818.47,218930.0,7325505000.0,0.0,0.0,218930.0,7325505000.0,-14528.0,0.0,0.0,14528.0,-488727400.0,0.0,0.0,488727400.0
11/09/2026,30727.58,33150.0,650.0,0.01960784,30091.21,30727.58,29545.75,123503.0,4060263500.0,0.0,0.0,123503.0,4060263500.0,-2400.0,0.0,0.0,2400.0,-78150000.0,0.0,0.0,78150000.0
10/09/2026,30136.665,32900.0,250.0,0.00759878,29909.39,30136.665,29909.39,250500.0,8241845000.0,0.0,0.0,250500.0,8241845000.0,-8500.0,0.0,0.0,8500.0,-280020000.0,0.0,0.0,280020000.0
09/09/2026,29909.39,33000.0,-100.0,-0.0030303,30000.3,30000.3,29909.39,248879.0,8188499500.0,0.0,0.0,248879.0,8188499500.0,-2200.0,0.0,0.0,2200.0,-72450000.0,0.0,0.0,72450000.0
08/09/2026,30000.3,34600.0,-1600.0,-0.04624277,29318.475,31454.86,29318.475,279900.0,9241900000.0,0.0,0.0,279900.0,9241900000.0,-8400.0,0.0,0.0,8400.0,-276600000.0,0.0,0.0,276600000.0
07/09/2026,31454.86,33050.0,1550.0,0.04689864,28954.835,31454.86,28954.835,273255.0,8963941650.0,0.0,0.0,273255.0,8963941650.0,-3800.0,0.0,0.0,3800.0,-124690000.0,0.0,0.0,124690000.0
04/09/2026,30045.755,32400.0,650.0,0.02006173,30136.665,30182.12,30000.3,341404.0,11266998600.0,0.0,0.0,341404.0,11266998600.0,-10600.0,0.0,0.0,10600.0,-350095000.0,0.0,0.0,350095000.0
03/09/2026,29454.84,31500.0,900.0,0.02857143,29909.39,29909.39,28636.65,264501.0,8483291950.0,0.0,0.0,264501.0,8483291950.0,-21600.0,0.0,0.0,21600.0,-691765000.0,0.0,0.0,691765000.0
28/08/2026,28636.65,31250.0,250.0,0.008,29818.48,29818.48,27909.37,257500.0,7954820000.0,0.0,0.0,257500.0,7954820000.0,-2200.0,-7900.0,0.0,10100.0,-71255000.0,-245485000.0,0.0,316740000.0
27/08/2026,28409.375,31200.0,50.0,0.00160256,28363.92,28818.47,27727.55,301689.0,9321452000.0,0.0,0.0,301689.0,9321452000.0,-2336.0,-17764.0,0.0,20100.0,-89998000.0,-531682000.0,0.0,621680000.0
26/08/2026,28363.92,31200.0,0.0,0.0,28363.92,29091.2,27545.73,325659.0,9985505050.0,0.0,0.0,325659.0,9985505050.0,-700.0,-11400.0,0.0,12100.0,-43185000.0,-328545000.0,0.0,371730000.0
25/08/2026,28363.92,31150.0,50.0,0.00160514,28318.465,28818.47,27545.73,282300.0,8645870000.0,0.0,0.0,282300.0,8645870000.0,5000.0,-9100.0,0.0,4100.0,151455000.0,-279050000.0,0.0,127595000.0
24/08/2026,28318.465,30950.0,200.0,0.00646204,28136.645,28545.74,27818.46,291920.0,9000224000.0,0.0,0.0,291920.0,9000224000.0,-200.0,-35100.0,0.0,35300.0,-14130000.0,-1074450000.0,0.0,1088580000.0
21/08/2026,28136.645,30950.0,0.0,0.0,27909.37,28636.65,27545.73,293593.0,8991989050.0,0.0,0.0,293593.0,8991989050.0,-3000.0,-43300.0,0.0,46300.0,-109990000.0,-1303290000.0,0.0,1413280000.0
