NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,47500.0,47500.0,0.0,0.0,47500.0,47500.0,47500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,47500.0,47500.0,0.0,0.0,47500.0,47500.0,47500.0,501.0,23800800.0,0.0,0.0,501.0,23800800.0,100.0,0.0,0.0,-100.0,4750000.0,0.0,0.0,-4750000.0
28/08/2026,47500.0,47500.0,0.0,0.0,47500.0,47500.0,47500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,47500.0,47500.0,0.0,0.0,47500.0,47500.0,47500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,47500.0,47300.0,200.0,0.00422833,47500.0,47500.0,47500.0,100.0,4750000.0,0.0,0.0,100.0,4750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,47300.0,47300.0,0.0,0.0,47300.0,47300.0,47300.0,3.0,141900.0,0.0,0.0,3.0,141900.0,3.0,-3.0,0.0,0.0,141900.0,-141900.0,0.0,0.0
24/08/2026,47300.0,47100.0,200.0,0.00424628,47300.0,47300.0,47300.0,100.0,4730000.0,0.0,0.0,100.0,4730000.0,100.0,-100.0,0.0,0.0,4730000.0,-4730000.0,0.0,0.0
21/08/2026,47100.0,45100.0,2000.0,0.0443459,47000.0,47100.0,47000.0,2210.0,103922500.0,0.0,0.0,2210.0,103922500.0,-1706.0,-294.0,0.0,2000.0,-80179500.0,-13840500.0,0.0,94020000.0
20/08/2026,45100.0,45100.0,0.0,0.0,45100.0,45100.0,45100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,45100.0,45100.0,0.0,0.0,45100.0,45100.0,45100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,45100.0,45100.0,0.0,0.0,45100.0,45100.0,45100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,45100.0,45100.0,0.0,0.0,45100.0,45100.0,45100.0,100.0,4510000.0,0.0,0.0,100.0,4510000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,45100.0,45100.0,0.0,0.0,45100.0,45100.0,45100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,45100.0,45100.0,0.0,0.0,45100.0,45100.0,45100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,45100.0,45100.0,0.0,0.0,45100.0,45100.0,45100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,45100.0,45100.0,0.0,0.0,45100.0,45100.0,45100.0,600.0,27060000.0,0.0,0.0,600.0,27060000.0,600.0,0.0,0.0,-600.0,27060000.0,0.0,0.0,-27060000.0
10/08/2026,45100.0,45100.0,0.0,0.0,45100.0,45100.0,45100.0,5.0,235000.0,0.0,0.0,5.0,235000.0,5.0,-5.0,0.0,0.0,235000.0,-235000.0,0.0,0.0
07/08/2026,45100.0,45100.0,0.0,0.0,45100.0,45100.0,45100.0,3.0,135150.0,0.0,0.0,3.0,135150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,45100.0,44000.0,1099.0,0.02497671,45100.0,45100.0,45100.0,110.0,4980500.0,0.0,0.0,110.0,4980500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/08/2026,44001.0,45000.0,0.0,0.0,44001.0,44001.0,44001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/08/2026,44001.0,45000.0,0.0,0.0,44001.0,44001.0,44001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/08/2026,44001.0,47900.0,-2900.0,-0.0605428,46836.62,46836.62,44001.0,210.0,9802000.0,0.0,0.0,210.0,9802000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,46836.62,46200.0,1700.0,0.03679654,46836.62,46836.62,46836.62,610.0,29234000.0,0.0,0.0,610.0,29234000.0,-602.0,2.0,0.0,600.0,-28838800.0,98800.0,0.0,28740000.0
30/07/2026,45174.36,43200.0,3000.0,0.06944444,45174.36,45174.36,45174.36,102.0,4707200.0,0.0,0.0,102.0,4707200.0,100.0,-100.0,0.0,0.0,4620001.0,-4620000.0,0.0,0.0
29/07/2026,42240.96,43200.0,0.0,0.0,42240.96,42240.96,42240.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,42240.96,43200.0,0.0,0.0,42240.96,42240.96,42240.96,1.0,46200.0,0.0,0.0,1.0,46200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/07/2026,42240.96,43200.0,0.0,0.0,42240.96,42240.96,42240.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2026,42240.96,46000.0,-2800.0,-0.06086957,44978.8,44978.8,42240.96,236.0,10599800.0,0.0,0.0,236.0,10599800.0,85.0,-85.0,0.0,0.0,3581999.0,-3582000.0,0.0,0.0
23/07/2026,44978.8,46000.0,0.0,0.0,44978.8,44978.8,44978.8,1100.0,50600000.0,0.0,0.0,1100.0,50600000.0,-1000.0,-100.0,0.0,1100.0,-46000000.0,-4600000.0,0.0,50600000.0
22/07/2026,44978.8,46000.0,0.0,0.0,44978.8,44978.8,44978.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/07/2026,44978.8,46000.0,0.0,0.0,44978.8,44978.8,44978.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/07/2026,44978.8,46500.0,-500.0,-0.01075269,44978.8,44978.8,44978.8,103.0,4732500.0,0.0,0.0,103.0,4732500.0,-102.0,102.0,0.0,0.0,-4686500.0,4686500.0,0.0,0.0
17/07/2026,45467.7,47600.0,-1100.0,-0.02310924,45956.6,45956.6,45467.7,331.0,15563000.0,0.0,0.0,331.0,15563000.0,-312.0,312.0,0.0,0.0,-14719300.0,14719300.0,0.0,0.0
16/07/2026,46543.28,47600.0,0.0,0.0,46543.28,46543.28,46543.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/07/2026,46543.28,47600.0,0.0,0.0,46543.28,46543.28,46543.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/07/2026,46543.28,47600.0,0.0,0.0,46543.28,46543.28,46543.28,100.0,4760000.0,0.0,0.0,100.0,4760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/07/2026,46543.28,47950.0,-350.0,-0.00729927,46592.17,46592.17,46543.28,200.0,9525000.0,0.0,0.0,200.0,9525000.0,-100.0,100.0,0.0,0.0,-4760000.0,4760000.0,0.0,0.0
10/07/2026,46885.51,47950.0,0.0,0.0,46885.51,46885.51,46885.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/07/2026,46885.51,48000.0,-50.0,-0.00104167,46885.51,46885.51,46885.51,100.0,4795000.0,0.0,0.0,100.0,4795000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/07/2026,46934.4,48000.0,0.0,0.0,46934.4,46934.4,46934.4,11.0,523800.0,0.0,0.0,11.0,523800.0,11.0,-11.0,0.0,0.0,523799.0,-523799.0,0.0,0.0
07/07/2026,46934.4,48000.0,0.0,0.0,46934.4,46934.4,46934.4,17.0,811000.0,0.0,0.0,17.0,811000.0,10.0,-10.0,0.0,0.0,475000.0,-475000.0,0.0,0.0
