NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,6080.0,6000.0,80.0,0.01333333,5710.0,6190.0,5590.0,62203.0,371760300.0,0.0,0.0,62203.0,371760300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,6000.0,5920.0,80.0,0.01351351,5920.0,6000.0,5920.0,12702.0,75905920.0,0.0,0.0,12702.0,75905920.0,300.0,-300.0,0.0,0.0,1800000.0,-1800000.0,0.0,0.0
27/08/2026,5920.0,6000.0,-80.0,-0.01333333,6230.0,6230.0,5920.0,21910.0,131706000.0,0.0,0.0,21910.0,131706000.0,3100.0,-3100.0,0.0,0.0,18538000.0,-18538000.0,0.0,0.0
26/08/2026,6000.0,5910.0,90.0,0.01522843,6000.0,6250.0,6000.0,34927.0,209982180.0,0.0,0.0,34927.0,209982180.0,-3026.0,2526.0,0.0,500.0,-18453270.0,15453270.0,0.0,3000000.0
25/08/2026,5910.0,6340.0,-430.0,-0.06782334,6100.0,6280.0,5910.0,13931.0,82766910.0,0.0,0.0,13931.0,82766910.0,2297.0,-3197.0,0.0,900.0,13550430.0,-18938430.0,0.0,5388000.0
24/08/2026,6340.0,6250.0,90.0,0.0144,6250.0,6480.0,6220.0,6000.0,37972970.0,0.0,0.0,6000.0,37972970.0,-750.0,1250.0,0.0,-500.0,-4688220.0,7853221.0,0.0,-3165000.0
21/08/2026,6250.0,5850.0,400.0,0.06837607,6090.0,6250.0,6090.0,305915.0,1910925230.0,0.0,0.0,305915.0,1910925230.0,4291.0,-4291.0,0.0,0.0,26619650.0,-26619650.0,0.0,0.0
20/08/2026,5850.0,6080.0,-230.0,-0.03782895,6280.0,6280.0,5850.0,2283.0,13613090.0,0.0,0.0,2283.0,13613090.0,502.0,-502.0,0.0,0.0,3015420.0,-3015420.0,0.0,0.0
19/08/2026,6080.0,6080.0,0.0,0.0,6080.0,6080.0,6080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,6080.0,6050.0,30.0,0.00495868,6030.0,6080.0,6030.0,5110.0,30877000.0,0.0,0.0,5110.0,30877000.0,2100.0,-2100.0,0.0,0.0,12668000.0,-12668000.0,0.0,0.0
17/08/2026,6050.0,6000.0,50.0,0.00833333,6000.0,6100.0,6000.0,25900.0,155675000.0,0.0,0.0,25900.0,155675000.0,200.0,-200.0,0.0,0.0,1204000.0,-1204000.0,0.0,0.0
14/08/2026,6000.0,6000.0,0.0,0.0,6000.0,6100.0,6000.0,70310.0,422383000.0,0.0,0.0,70310.0,422383000.0,1190.0,-1190.0,0.0,0.0,7340000.0,-7340000.0,0.0,0.0
13/08/2026,6000.0,6000.0,0.0,0.0,6000.0,6020.0,6000.0,68309.0,410006170.0,5000000.0,32000000000.0,5068309.0,32410006170.0,25600.0,-25600.0,0.0,0.0,153614001.0,-153614000.0,0.0,0.0
12/08/2026,6000.0,6100.0,-100.0,-0.01639344,6050.0,6050.0,5950.0,51902.0,310503100.0,0.0,0.0,51902.0,310503100.0,-1.0,1.0,0.0,0.0,-6000.0,6000.0,0.0,0.0
11/08/2026,6100.0,6000.0,100.0,0.01666667,6040.0,6100.0,5920.0,48193.0,292104890.0,0.0,0.0,48193.0,292104890.0,641.0,-641.0,0.0,0.0,3880230.0,-3880230.0,0.0,0.0
10/08/2026,6000.0,5900.0,100.0,0.01694915,6100.0,6100.0,5900.0,31300.0,186110000.0,2381064.0,15024513840.0,2412364.0,15210623840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/08/2026,5900.0,6050.0,-150.0,-0.02479339,5810.0,6100.0,5810.0,13718.0,80949900.0,0.0,0.0,13718.0,80949900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,6050.0,6100.0,-50.0,-0.00819672,6000.0,6050.0,6000.0,989.0,5930900.0,0.0,0.0,989.0,5930900.0,-800.0,800.0,0.0,0.0,-4800001.0,4800000.0,0.0,0.0
05/08/2026,6100.0,6100.0,0.0,0.0,6100.0,6200.0,5850.0,700.0,4272000.0,0.0,0.0,700.0,4272000.0,200.0,-200.0,0.0,0.0,1235000.0,-1235000.0,0.0,0.0
04/08/2026,6100.0,6000.0,100.0,0.01666667,6000.0,6100.0,6000.0,13759.0,82575780.0,0.0,0.0,13759.0,82575780.0,-2348.0,2348.0,0.0,0.0,-14085220.0,14085220.0,0.0,0.0
03/08/2026,6000.0,5950.0,50.0,0.00840336,5990.0,6020.0,5620.0,28317.0,169637530.0,0.0,0.0,28317.0,169637530.0,6302.0,-7202.0,0.0,900.0,37924981.0,-43210980.0,0.0,5286000.0
31/07/2026,5950.0,5950.0,0.0,0.0,5980.0,6000.0,5800.0,18500.0,109951000.0,0.0,0.0,18500.0,109951000.0,-800.0,600.0,0.0,200.0,-4724000.0,3564000.0,0.0,1160000.0
30/07/2026,5950.0,5800.0,150.0,0.02586207,5800.0,5950.0,5800.0,22645.0,131662750.0,0.0,0.0,22645.0,131662750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/07/2026,5800.0,6000.0,-200.0,-0.03333333,5980.0,5980.0,5800.0,1100.0,6403000.0,0.0,0.0,1100.0,6403000.0,-800.0,500.0,0.0,300.0,-4640000.0,2900000.0,0.0,1740000.0
28/07/2026,6000.0,5900.0,100.0,0.01694915,5750.0,6000.0,5700.0,24100.0,141633000.0,4222416.0,23712254400.0,4246516.0,23853887400.0,8500.0,-8500.0,0.0,0.0,51125000.0,-51125000.0,0.0,0.0
27/07/2026,5900.0,5910.0,-10.0,-0.00169205,6100.0,6100.0,5850.0,632.0,3737860.0,0.0,0.0,632.0,3737860.0,100.0,-100.0,0.0,0.0,585000.0,-585000.0,0.0,0.0
