NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,17300.0,17300.0,0.0,0.0,17450.0,17450.0,17300.0,22628.0,392503600.0,0.0,0.0,22628.0,392503600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,17300.0,17450.0,-150.0,-0.00859599,17450.0,17450.0,17300.0,10501.0,182828050.0,0.0,0.0,10501.0,182828050.0,3699.0,-3699.0,0.0,0.0,64572501.0,-64572500.0,0.0,0.0
27/08/2026,17450.0,17450.0,0.0,0.0,17450.0,17450.0,17200.0,16781.0,291291900.0,0.0,0.0,16781.0,291291900.0,13665.0,-13665.0,0.0,0.0,237048000.0,-237048000.0,0.0,0.0
26/08/2026,17450.0,17450.0,0.0,0.0,17450.0,17450.0,17350.0,29116.0,507023350.0,0.0,0.0,29116.0,507023350.0,24229.0,-24229.0,0.0,0.0,421866100.0,-421866100.0,0.0,0.0
25/08/2026,17450.0,17200.0,250.0,0.01453488,17200.0,17550.0,17200.0,46917.0,817057950.0,0.0,0.0,46917.0,817057950.0,10790.0,-10790.0,0.0,0.0,187580051.0,-187580050.0,0.0,0.0
24/08/2026,17200.0,16900.0,300.0,0.01775148,16950.0,17200.0,16950.0,35503.0,607326150.0,0.0,0.0,35503.0,607326150.0,-24900.0,24900.0,0.0,0.0,-426250000.0,426250000.0,0.0,0.0
21/08/2026,16900.0,16800.0,100.0,0.00595238,16750.0,16900.0,16750.0,19801.0,332996550.0,0.0,0.0,19801.0,332996550.0,-3100.0,3100.0,0.0,0.0,-52395000.0,52395000.0,0.0,0.0
20/08/2026,16800.0,16850.0,-50.0,-0.00296736,16850.0,16850.0,16800.0,6073.0,102227350.0,0.0,0.0,6073.0,102227350.0,-175.0,175.0,0.0,0.0,-2938750.0,2938750.0,0.0,0.0
19/08/2026,16850.0,16850.0,0.0,0.0,16850.0,16850.0,16800.0,4340.0,73074050.0,0.0,0.0,4340.0,73074050.0,1100.0,-1100.0,0.0,0.0,18480000.0,-18480000.0,0.0,0.0
18/08/2026,16850.0,16950.0,-100.0,-0.00589971,16950.0,16950.0,16850.0,4213.0,71205300.0,0.0,0.0,4213.0,71205300.0,1200.0,-1200.0,0.0,0.0,20230000.0,-20230000.0,0.0,0.0
