NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,8280.0,8300.0,-20.0,-0.00240964,7850.0,8300.0,7850.0,60803.0,486051900.0,200000.0,1660000000.0,260803.0,2146051900.0,-23000.0,23000.0,0.0,0.0,-188950000.0,188950000.0,0.0,0.0
27/08/2026,8300.0,8300.0,0.0,0.0,8300.0,8300.0,8250.0,13406.0,111066560.0,0.0,0.0,13406.0,111066560.0,9300.0,-9300.0,0.0,0.0,77018000.0,-77018000.0,0.0,0.0
26/08/2026,8300.0,8310.0,-10.0,-0.00120337,8300.0,8300.0,8230.0,21134.0,174585720.0,0.0,0.0,21134.0,174585720.0,11400.0,-10300.0,0.0,-1100.0,93893000.0,-84774000.0,0.0,-9119000.0
25/08/2026,8310.0,8310.0,0.0,0.0,8310.0,8320.0,8300.0,93300.0,774448000.0,0.0,0.0,93300.0,774448000.0,100.0,-100.0,0.0,0.0,830000.0,-830000.0,0.0,0.0
24/08/2026,8310.0,8340.0,-30.0,-0.00359712,8320.0,8330.0,8310.0,79808.0,663256570.0,0.0,0.0,79808.0,663256570.0,5907.0,-5907.0,0.0,0.0,49110250.0,-49110250.0,0.0,0.0
21/08/2026,8340.0,8350.0,-10.0,-0.0011976,8350.0,8350.0,8330.0,21723.0,181166300.0,100000.0,835000000.0,121723.0,1016166300.0,-19900.0,19900.0,0.0,0.0,-165965001.0,165965000.0,0.0,0.0
20/08/2026,8350.0,8350.0,0.0,0.0,8350.0,8350.0,8300.0,10574.0,87966200.0,0.0,0.0,10574.0,87966200.0,300.0,-100.0,0.0,-200.0,2500000.0,-832000.0,0.0,-1668000.0
19/08/2026,8350.0,8350.0,0.0,0.0,8350.0,8350.0,8300.0,36116.0,300043310.0,0.0,0.0,36116.0,300043310.0,100.0,0.0,0.0,-100.0,834000.0,0.0,0.0,-834000.0
18/08/2026,8350.0,8350.0,0.0,0.0,8340.0,8360.0,8330.0,100900.0,840637000.0,0.0,0.0,100900.0,840637000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,8350.0,8350.0,0.0,0.0,8350.0,8350.0,8320.0,11500.0,95947000.0,0.0,0.0,11500.0,95947000.0,4500.0,-4500.0,0.0,0.0,37528000.0,-37528000.0,0.0,0.0
14/08/2026,8350.0,8330.0,20.0,0.00240096,8320.0,8350.0,8300.0,68402.0,568018660.0,0.0,0.0,68402.0,568018660.0,-50000.0,50000.0,0.0,0.0,-415000000.0,415000000.0,0.0,0.0
13/08/2026,8330.0,8350.0,-20.0,-0.00239521,8320.0,8330.0,8300.0,59212.0,492605840.0,0.0,0.0,59212.0,492605840.0,3400.0,-2000.0,0.0,-1400.0,28298000.0,-16650000.0,0.0,-11648000.0
12/08/2026,8350.0,8360.0,-10.0,-0.00119617,8360.0,8360.0,8340.0,83100.0,693075000.0,0.0,0.0,83100.0,693075000.0,600.0,-600.0,0.0,0.0,5004000.0,-5004000.0,0.0,0.0
11/08/2026,8360.0,8360.0,0.0,0.0,8310.0,8360.0,8300.0,86108.0,715445000.0,0.0,0.0,86108.0,715445000.0,-37992.0,38992.0,0.0,-1000.0,-315276000.0,323616000.0,0.0,-8340000.0
10/08/2026,8360.0,8350.0,10.0,0.0011976,8320.0,8360.0,8320.0,126256.0,1054109900.0,0.0,0.0,126256.0,1054109900.0,-200.0,200.0,0.0,0.0,-1664000.0,1664000.0,0.0,0.0
07/08/2026,8350.0,8350.0,0.0,0.0,8350.0,8350.0,8320.0,133900.0,1116732000.0,0.0,0.0,133900.0,1116732000.0,3200.0,-3200.0,0.0,0.0,26695000.0,-26695000.0,0.0,0.0
06/08/2026,8350.0,8350.0,0.0,0.0,8320.0,8350.0,8300.0,47258.0,393140510.0,0.0,0.0,47258.0,393140510.0,440.0,-40.0,0.0,-400.0,3655000.0,-320000.0,0.0,-3335000.0
05/08/2026,8350.0,8350.0,0.0,0.0,8300.0,8350.0,8260.0,140820.0,1165332000.0,0.0,0.0,140820.0,1165332000.0,-83400.0,100000.0,0.0,-16600.0,-687869000.0,826000000.0,0.0,-138131000.0
04/08/2026,8350.0,8350.0,0.0,0.0,8330.0,8350.0,8310.0,144922.0,1206211320.0,0.0,0.0,144922.0,1206211320.0,14000.0,-10000.0,0.0,-4000.0,116802000.0,-83500000.0,0.0,-33302000.0
03/08/2026,8350.0,8380.0,-30.0,-0.00357995,8350.0,8370.0,8300.0,142546.0,1187757720.0,0.0,0.0,142546.0,1187757720.0,11846.0,-11146.0,0.0,-700.0,98799720.0,-92989720.0,0.0,-5810000.0
31/07/2026,8380.0,8370.0,10.0,0.00119474,8350.0,8380.0,8280.0,155716.0,1292790800.0,0.0,0.0,155716.0,1292790800.0,-70884.0,76484.0,0.0,-5600.0,-585699200.0,632309200.0,0.0,-46610000.0
30/07/2026,8370.0,8380.0,-10.0,-0.00119332,8340.0,8380.0,8310.0,131119.0,1093410310.0,0.0,0.0,131119.0,1093410310.0,-8840.0,8640.0,0.0,200.0,-73639600.0,71971600.0,0.0,1668000.0
29/07/2026,8380.0,8380.0,0.0,0.0,8350.0,8380.0,8350.0,487100.0,4067608000.0,0.0,0.0,487100.0,4067608000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
