NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,35900.0,35950.0,-50.0,-0.00139082,35900.0,35900.0,35900.0,302.0,10841800.0,0.0,0.0,302.0,10841800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,35950.0,35950.0,0.0,0.0,35950.0,35950.0,35950.0,0.0,0.0,1.0,35950.0,1.0,35950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,35950.0,35950.0,0.0,0.0,35950.0,35950.0,35950.0,1.0,35900.0,0.0,0.0,1.0,35900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,35950.0,35950.0,0.0,0.0,35950.0,35950.0,35950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,35950.0,35500.0,450.0,0.01267606,35500.0,36000.0,35500.0,5060.0,181830700.0,0.0,0.0,5060.0,181830700.0,10.0,-10.0,0.0,0.0,343500.0,-343500.0,0.0,0.0
25/08/2026,35500.0,35950.0,-450.0,-0.01251739,35900.0,35900.0,35500.0,5701.0,204585950.0,0.0,0.0,5701.0,204585950.0,-200.0,200.0,0.0,0.0,-7100000.0,7100000.0,0.0,0.0
24/08/2026,35950.0,35950.0,0.0,0.0,35950.0,35950.0,35950.0,72.0,2416100.0,0.0,0.0,72.0,2416100.0,62.0,10.0,0.0,-72.0,2080100.0,336000.0,0.0,-2416100.0
21/08/2026,35950.0,35950.0,0.0,0.0,35950.0,35950.0,35950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,35950.0,35450.0,500.0,0.01410437,35000.0,35950.0,35000.0,310.0,10953800.0,0.0,0.0,310.0,10953800.0,190.0,-90.0,0.0,-100.0,6641201.0,-3141200.0,0.0,-3500000.0
19/08/2026,35450.0,35450.0,0.0,0.0,35450.0,35450.0,35450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,35450.0,35500.0,-50.0,-0.00140845,35450.0,35450.0,35450.0,535.0,18918500.0,0.0,0.0,535.0,18918500.0,-135.0,135.0,0.0,0.0,-4738500.0,4738500.0,0.0,0.0
17/08/2026,35500.0,33850.0,1650.0,0.04874446,34000.0,35500.0,34000.0,400.0,13750000.0,0.0,0.0,400.0,13750000.0,400.0,-100.0,0.0,-300.0,13750000.0,-3550000.0,0.0,-10200000.0
14/08/2026,33850.0,35500.0,-1650.0,-0.04647887,33800.0,33850.0,33800.0,1200.0,40585000.0,0.0,0.0,1200.0,40585000.0,200.0,-300.0,0.0,100.0,6775000.0,-10160000.0,0.0,3385000.0
13/08/2026,35500.0,36400.0,-900.0,-0.02472527,35000.0,35500.0,33900.0,936.0,32755400.0,0.0,0.0,936.0,32755400.0,-1.0,1.0,0.0,0.0,55600.0,-55600.0,0.0,0.0
12/08/2026,36400.0,36400.0,0.0,0.0,36400.0,36400.0,36400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,36400.0,36500.0,-100.0,-0.00273973,35500.0,36400.0,35500.0,400.0,14290000.0,0.0,0.0,400.0,14290000.0,200.0,-200.0,0.0,0.0,7190000.0,-7190000.0,0.0,0.0
10/08/2026,36500.0,36500.0,0.0,0.0,36500.0,36500.0,36500.0,100.0,3650000.0,0.0,0.0,100.0,3650000.0,-100.0,100.0,0.0,0.0,-3650000.0,3650000.0,0.0,0.0
