NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,12900.0,13000.0,-100.0,-0.00769231,13000.0,13000.0,12900.0,200.0,2590000.0,0.0,0.0,200.0,2590000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,13000.0,13000.0,0.0,0.0,13000.0,13000.0,13000.0,101.0,1313000.0,0.0,0.0,101.0,1313000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,13000.0,12950.0,50.0,0.003861,13000.0,13000.0,12800.0,2327.0,30190400.0,0.0,0.0,2327.0,30190400.0,1793.0,-1693.0,0.0,-100.0,23233400.0,-21938400.0,0.0,-1295000.0
27/08/2026,12950.0,13100.0,-150.0,-0.01145038,13200.0,13200.0,12950.0,1401.0,18193100.0,0.0,0.0,1401.0,18193100.0,1401.0,-1401.0,0.0,0.0,18193100.0,-18193100.0,0.0,0.0
26/08/2026,13100.0,12550.0,550.0,0.0438247,13100.0,13100.0,13000.0,7200.0,94200000.0,0.0,0.0,7200.0,94200000.0,3800.0,-3800.0,0.0,0.0,49705000.0,-49705000.0,0.0,0.0
25/08/2026,12545.39,14400.0,-100.0,-0.00694444,12940.175,12940.175,12545.39,5900.0,85095000.0,0.0,0.0,5900.0,85095000.0,-1400.0,1400.0,0.0,0.0,-20230000.0,20260000.0,0.0,-30000.0
24/08/2026,12633.12,14400.0,0.0,0.0,12720.85,12720.85,12633.12,505.0,7292500.0,0.0,0.0,505.0,7292500.0,-195.0,195.0,0.0,0.0,-2827500.0,2827500.0,0.0,0.0
21/08/2026,12633.12,14500.0,-100.0,-0.00689655,12633.12,12633.12,12545.39,3200.0,45960000.0,0.0,0.0,3200.0,45960000.0,-2900.0,2900.0,0.0,0.0,-41660000.0,41660000.0,0.0,0.0
20/08/2026,12720.85,14300.0,200.0,0.01398601,12545.39,12720.85,12545.39,1300.0,18730000.0,0.0,0.0,1300.0,18730000.0,-1000.0,1000.0,0.0,0.0,-14410000.0,14410000.0,0.0,0.0
19/08/2026,12545.39,14400.0,-100.0,-0.00694444,12633.12,12633.12,12282.2,1500.0,21330000.0,0.0,0.0,1500.0,21330000.0,-300.0,300.0,0.0,0.0,-4290000.0,4290000.0,0.0,0.0
18/08/2026,12633.12,14500.0,-100.0,-0.00689655,12633.12,12633.12,12633.12,2022.0,29119000.0,0.0,0.0,2022.0,29119000.0,-900.0,900.0,0.0,0.0,-12960000.0,12960000.0,0.0,0.0
