NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,8190.0,8240.0,-50.0,-0.00606796,8230.0,8240.0,8190.0,59674.0,489747710.0,0.0,0.0,59674.0,489747710.0,0.0,0.0,0.0,-18300.0,0.0,0.0,0.0,-150130000.0
28/08/2026,8240.0,8300.0,-60.0,-0.00722892,8350.0,8350.0,8200.0,126734.0,1044000020.0,0.0,0.0,126734.0,1044000020.0,18167.0,23533.0,0.0,-41700.0,151036890.0,193252110.0,0.0,-344289000.0
27/08/2026,8300.0,8310.0,-10.0,-0.00120337,8310.0,8320.0,8280.0,37603.0,312098140.0,0.0,0.0,37603.0,312098140.0,29003.0,1298.0,0.0,-30301.0,240705140.0,10781210.0,0.0,-251486350.0
26/08/2026,8310.0,8420.0,-110.0,-0.01306413,8380.0,8400.0,8300.0,70974.0,590909880.0,0.0,0.0,70974.0,590909880.0,5242.0,19758.0,0.0,-25000.0,43815080.0,164352920.0,0.0,-208168000.0
25/08/2026,8420.0,8440.0,-20.0,-0.00236967,8420.0,8440.0,8350.0,40556.0,340207130.0,0.0,0.0,40556.0,340207130.0,-100.0,100.0,0.0,0.0,-674000.0,674000.0,0.0,0.0
24/08/2026,8440.0,8380.0,60.0,0.0071599,8380.0,8620.0,8370.0,156087.0,1328846780.0,0.0,0.0,156087.0,1328846780.0,23276.0,-21376.0,0.0,-1900.0,201078060.0,-184755060.0,0.0,-16323000.0
21/08/2026,8380.0,8380.0,0.0,0.0,8380.0,8380.0,8300.0,71650.0,597379540.0,0.0,0.0,71650.0,597379540.0,-2032.0,532.0,0.0,1500.0,-16264500.0,3754500.0,0.0,12510000.0
20/08/2026,8380.0,8360.0,20.0,0.00239234,8480.0,8480.0,8350.0,37783.0,317201850.0,0.0,0.0,37783.0,317201850.0,-9160.0,8760.0,0.0,400.0,-76833451.0,73473450.0,0.0,3360000.0
19/08/2026,8360.0,8360.0,0.0,0.0,8360.0,8390.0,8320.0,20656.0,172666400.0,0.0,0.0,20656.0,172666400.0,-2100.0,3600.0,0.0,-1500.0,-17553000.0,30093000.0,0.0,-12540000.0
18/08/2026,8360.0,8300.0,60.0,0.00722892,8300.0,8380.0,8210.0,74664.0,619645500.0,0.0,0.0,74664.0,619645500.0,28130.0,-15305.0,0.0,-12825.0,233323350.0,-126949600.0,0.0,-106373750.0
17/08/2026,8300.0,8370.0,-70.0,-0.0083632,8480.0,8480.0,8300.0,111677.0,931386110.0,0.0,0.0,111677.0,931386110.0,-48001.0,65201.0,0.0,-17200.0,-399234311.0,543415310.0,0.0,-144181000.0
14/08/2026,8370.0,8390.0,-20.0,-0.00238379,8390.0,8430.0,8340.0,68797.0,577546400.0,0.0,0.0,68797.0,577546400.0,-5463.0,5263.0,0.0,200.0,-45514560.0,43840560.0,0.0,1674000.0
13/08/2026,8390.0,8390.0,0.0,0.0,8390.0,8460.0,8390.0,56485.0,475225900.0,0.0,0.0,56485.0,475225900.0,-7705.0,7505.0,0.0,200.0,-64875400.0,63197400.0,0.0,1678000.0
12/08/2026,8390.0,8340.0,50.0,0.0059952,8310.0,8460.0,8310.0,76321.0,640279950.0,0.0,0.0,76321.0,640279950.0,-10395.0,17562.0,0.0,-7167.0,-86880851.0,146944300.0,0.0,-60063450.0
11/08/2026,8340.0,8400.0,-60.0,-0.00714286,8400.0,8440.0,8300.0,68585.0,575807120.0,0.0,0.0,68585.0,575807120.0,-13479.0,12293.0,0.0,1186.0,-112936250.0,102977850.0,0.0,9958400.0
10/08/2026,8400.0,8220.0,180.0,0.02189781,8300.0,8480.0,8200.0,56675.0,471402210.0,0.0,0.0,56675.0,471402210.0,-1980.0,-7500.0,0.0,9480.0,-16046600.0,-63560000.0,0.0,79606600.0
07/08/2026,8220.0,8400.0,-180.0,-0.02142857,8450.0,8480.0,8210.0,208988.0,1733057640.0,0.0,0.0,208988.0,1733057640.0,-62823.0,14623.0,0.0,48200.0,-522496970.0,120710970.0,0.0,401786000.0
06/08/2026,8400.0,8400.0,0.0,0.0,8400.0,8500.0,8320.0,51214.0,429879100.0,0.0,0.0,51214.0,429879100.0,20799.0,-16999.0,0.0,-3800.0,174063600.0,-142180600.0,0.0,-31883000.0
05/08/2026,8400.0,8250.0,150.0,0.01818182,8300.0,8580.0,8300.0,212100.0,1785807550.0,0.0,0.0,212100.0,1785807550.0,-36461.0,48261.0,0.0,-11800.0,-304282640.0,404778640.0,0.0,-100496000.0
04/08/2026,8250.0,8080.0,170.0,0.0210396,8020.0,8250.0,8020.0,102816.0,837653450.0,0.0,0.0,102816.0,837653450.0,-11849.0,9649.0,0.0,2200.0,-96152400.0,78416400.0,0.0,17736000.0
03/08/2026,8080.0,8100.0,-20.0,-0.00246914,8100.0,8100.0,7970.0,82188.0,661296790.0,0.0,0.0,82188.0,661296790.0,366.0,-804.0,0.0,438.0,3487130.0,-7027930.0,0.0,3540800.0
31/07/2026,8100.0,8150.0,-50.0,-0.00613497,8120.0,8150.0,8060.0,10074.0,81528280.0,0.0,0.0,10074.0,81528280.0,-724.0,424.0,0.0,300.0,-5815940.0,3381940.0,0.0,2434000.0
