NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,5310.0,5500.0,-190.0,-0.03454545,5500.0,5500.0,5220.0,834602.0,4411473000.0,0.0,0.0,834602.0,4411473000.0,-10400.0,0.0,0.0,10400.0,-54462000.0,0.0,0.0,54462000.0
28/08/2026,5500.0,5530.0,-30.0,-0.00542495,5230.0,5850.0,5230.0,38668.0,208257100.0,0.0,0.0,38668.0,208257100.0,401.0,999.0,0.0,-1400.0,5119660.0,4011340.0,0.0,-9131000.0
27/08/2026,5530.0,5780.0,-250.0,-0.0432526,5720.0,5720.0,5500.0,129067.0,718003400.0,0.0,0.0,129067.0,718003400.0,27537.0,21563.0,0.0,-49100.0,154747300.0,119794700.0,0.0,-274542000.0
26/08/2026,5780.0,6000.0,-220.0,-0.03666667,6000.0,6000.0,5780.0,64500.0,376659000.0,0.0,0.0,64500.0,376659000.0,21200.0,900.0,0.0,-22100.0,124433000.0,5257000.0,0.0,-129690000.0
25/08/2026,6000.0,5940.0,60.0,0.01010101,6270.0,6270.0,5790.0,2153651.0,12743737960.0,0.0,0.0,2153651.0,12743737960.0,25291.0,3709.0,0.0,-29000.0,149098800.0,21125200.0,0.0,-170224000.0
24/08/2026,5940.0,6000.0,-60.0,-0.01,5670.0,6250.0,5670.0,203276.0,1182735620.0,0.0,0.0,203276.0,1182735620.0,-9193.0,-12807.0,0.0,22000.0,-52212030.0,-74589970.0,0.0,126802000.0
21/08/2026,6000.0,6100.0,-100.0,-0.01639344,6000.0,6360.0,5810.0,2494643.0,15210781180.0,0.0,0.0,2494643.0,15210781180.0,14022.0,25078.0,0.0,-39100.0,84083369.0,153092630.0,0.0,-237176000.0
20/08/2026,6100.0,6260.0,-160.0,-0.02555911,6290.0,6290.0,6090.0,737202.0,4559649500.0,0.0,0.0,737202.0,4559649500.0,19099.0,-3199.0,0.0,-15900.0,119611850.0,-20055850.0,0.0,-99556000.0
19/08/2026,6260.0,6350.0,-90.0,-0.01417323,6360.0,6500.0,6260.0,440689.0,2829231710.0,0.0,0.0,440689.0,2829231710.0,1875.0,-8175.0,0.0,6300.0,12089110.0,-52610110.0,0.0,40521000.0
18/08/2026,6350.0,6090.0,260.0,0.04269294,6450.0,6450.0,6150.0,2639220.0,16344687200.0,0.0,0.0,2639220.0,16344687200.0,-50120.0,-14180.0,0.0,64300.0,-312398200.0,-89219800.0,0.0,401618000.0
17/08/2026,6090.0,6010.0,80.0,0.01331115,5900.0,6160.0,5900.0,768744.0,4682448130.0,0.0,0.0,768744.0,4682448130.0,-18291.0,-6409.0,0.0,24700.0,-109791500.0,-38940500.0,0.0,148732000.0
14/08/2026,6010.0,6020.0,-10.0,-0.00166113,6020.0,6190.0,6010.0,807472.0,4885458720.0,0.0,0.0,807472.0,4885458720.0,-6502.0,-37798.0,0.0,44300.0,-39570330.0,-228745670.0,0.0,268316000.0
13/08/2026,6020.0,6000.0,20.0,0.00333333,6190.0,6400.0,6010.0,719401.0,4525993650.0,0.0,0.0,719401.0,4525993650.0,-8190.0,8090.0,0.0,100.0,-50753770.0,50134770.0,0.0,619000.0
12/08/2026,6000.0,6350.0,-350.0,-0.05511811,6400.0,6500.0,6000.0,1193181.0,7710369550.0,0.0,0.0,1193181.0,7710369550.0,8123.0,-8123.0,0.0,0.0,50349300.0,-50349300.0,0.0,0.0
11/08/2026,6350.0,6450.0,-100.0,-0.01550388,6450.0,6490.0,6330.0,1310011.0,8439259410.0,0.0,0.0,1310011.0,8439259410.0,4265.0,-165.0,0.0,-4100.0,27060699.0,-615700.0,0.0,-26445000.0
10/08/2026,6450.0,6490.0,-40.0,-0.00616333,6450.0,6670.0,6430.0,491471.0,3174855810.0,0.0,0.0,491471.0,3174855810.0,7119.0,-7019.0,0.0,-100.0,46328840.0,-45684840.0,0.0,-644000.0
07/08/2026,6490.0,6210.0,280.0,0.04508857,5960.0,6490.0,5960.0,894986.0,5655294860.0,0.0,0.0,894986.0,5655294860.0,5076.0,-6876.0,0.0,1800.0,30830890.0,-41558890.0,0.0,10728000.0
06/08/2026,6210.0,6400.0,-190.0,-0.0296875,6400.0,6400.0,6120.0,1171482.0,7400407770.0,0.0,0.0,1171482.0,7400407770.0,43700.0,-47900.0,0.0,4200.0,276082630.0,-301894630.0,0.0,25812000.0
