NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,10400.0,9800.0,600.0,0.06122449,9790.0,10450.0,9790.0,224398.0,2331676560.0,0.0,0.0,224398.0,2331676560.0,-89883.0,90794.0,0.0,-911.0,-938915800.0,948000200.0,0.0,-9084400.0
27/08/2026,9800.0,9500.0,300.0,0.03157895,9950.0,9950.0,8960.0,23227.0,225024000.0,0.0,0.0,23227.0,225024000.0,427.0,673.0,0.0,-1100.0,4540000.0,6240000.0,0.0,-10780000.0
26/08/2026,9500.0,8880.0,620.0,0.06981982,9290.0,9500.0,9050.0,179678.0,1690099370.0,0.0,0.0,179678.0,1690099370.0,-149101.0,155101.0,0.0,-6000.0,-1403966280.0,1460966280.0,0.0,-57000000.0
25/08/2026,8880.0,8910.0,-30.0,-0.003367,9380.0,9380.0,8880.0,5300.0,47443000.0,0.0,0.0,5300.0,47443000.0,1100.0,-1100.0,0.0,0.0,9850000.0,-9850000.0,0.0,0.0
24/08/2026,8910.0,8700.0,210.0,0.02413793,8900.0,9000.0,8810.0,14311.0,127644640.0,4900000.0,39690000000.0,4914311.0,39817644640.0,190.0,-390.0,0.0,200.0,1628600.0,-3426600.0,0.0,1798000.0
21/08/2026,8700.0,9050.0,-350.0,-0.03867403,9140.0,9200.0,8530.0,41602.0,362142660.0,0.0,0.0,41602.0,362142660.0,31398.0,-33698.0,0.0,2300.0,273268341.0,-293219340.0,0.0,19951000.0
20/08/2026,9050.0,9070.0,-20.0,-0.00220507,9150.0,9150.0,8510.0,10661.0,94713070.0,1000000.0,9000000000.0,1010661.0,9094713070.0,-561.0,461.0,0.0,100.0,-5109070.0,4202070.0,0.0,907000.0
19/08/2026,9070.0,9110.0,-40.0,-0.00439078,9110.0,9140.0,9070.0,3240.0,29487400.0,0.0,0.0,3240.0,29487400.0,-2000.0,2000.0,0.0,0.0,-18211000.0,18211000.0,0.0,0.0
18/08/2026,9110.0,9060.0,50.0,0.00551876,9100.0,9580.0,9070.0,8800.0,80034000.0,0.0,0.0,8800.0,80034000.0,3400.0,-3400.0,0.0,0.0,30751000.0,-30751000.0,0.0,0.0
17/08/2026,9060.0,9600.0,-540.0,-0.05625,9060.0,9970.0,9060.0,15320.0,138957600.0,0.0,0.0,15320.0,138957600.0,1200.0,-1300.0,0.0,100.0,10781000.0,-11778000.0,0.0,997000.0
14/08/2026,9600.0,9480.0,120.0,0.01265823,9350.0,9680.0,9020.0,26931.0,249260840.0,0.0,0.0,26931.0,249260840.0,2600.0,-1200.0,0.0,-1400.0,20842000.0,-7341000.0,0.0,-13501000.0
