NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,37000.0,36500.0,500.0,0.01369863,36250.0,37000.0,36000.0,971.0,35447800.0,0.0,0.0,971.0,35447800.0,512.0,-512.0,0.0,0.0,18514000.0,-18514000.0,0.0,0.0
27/08/2026,36500.0,36900.0,-400.0,-0.01084011,36900.0,36900.0,35000.0,4003.0,143775100.0,0.0,0.0,4003.0,143775100.0,-380.0,380.0,0.0,0.0,-12912000.0,12912000.0,0.0,0.0
26/08/2026,36900.0,36900.0,0.0,0.0,36200.0,36900.0,36200.0,3014.0,110941100.0,0.0,0.0,3014.0,110941100.0,1613.0,-1613.0,0.0,0.0,59583800.0,-59583800.0,0.0,0.0
25/08/2026,36900.0,36900.0,0.0,0.0,36900.0,36900.0,36800.0,1406.0,51814000.0,0.0,0.0,1406.0,51814000.0,-194.0,194.0,0.0,0.0,-7096000.0,7096000.0,0.0,0.0
24/08/2026,36900.0,36900.0,0.0,0.0,36900.0,36900.0,35000.0,8578.0,312535800.0,0.0,0.0,8578.0,312535800.0,1828.0,-328.0,0.0,-1500.0,66269800.0,-13064800.0,0.0,-53205000.0
21/08/2026,36900.0,37600.0,-700.0,-0.01861702,36900.0,37000.0,36800.0,6166.0,227476600.0,0.0,0.0,6166.0,227476600.0,964.0,-964.0,0.0,0.0,35616400.0,-35616400.0,0.0,0.0
20/08/2026,37600.0,36950.0,650.0,0.01759134,37000.0,37600.0,36500.0,1302.0,47803900.0,0.0,0.0,1302.0,47803900.0,801.0,-1101.0,0.0,300.0,29506950.0,-40456950.0,0.0,10950000.0
19/08/2026,36950.0,37000.0,-50.0,-0.00135135,37000.0,37000.0,36900.0,2201.0,81422000.0,0.0,0.0,2201.0,81422000.0,1400.0,-1400.0,0.0,0.0,51800000.0,-51800000.0,0.0,0.0
18/08/2026,37000.0,37700.0,-700.0,-0.01856764,37700.0,37700.0,37000.0,2132.0,79738600.0,0.0,0.0,2132.0,79738600.0,1402.0,-1402.0,0.0,0.0,52506600.0,-52506600.0,0.0,0.0
17/08/2026,37700.0,37700.0,0.0,0.0,36500.0,37700.0,36500.0,2225.0,83335000.0,0.0,0.0,2225.0,83335000.0,325.0,-325.0,0.0,0.0,12125000.0,-12125000.0,0.0,0.0
14/08/2026,37700.0,37700.0,0.0,0.0,37900.0,37900.0,36000.0,2600.0,96952800.0,0.0,0.0,2600.0,96952800.0,780.0,-480.0,0.0,-300.0,29210800.0,-17900800.0,0.0,-11310000.0
13/08/2026,37700.0,37200.0,500.0,0.01344086,37200.0,37800.0,37200.0,3137.0,117818100.0,0.0,0.0,3137.0,117818100.0,413.0,-413.0,0.0,0.0,15698900.0,-15698900.0,0.0,0.0
12/08/2026,37200.0,37800.0,-600.0,-0.01587302,37800.0,37800.0,37050.0,5053.0,189210200.0,0.0,0.0,5053.0,189210200.0,-1939.0,1739.0,0.0,200.0,-72088200.0,64533200.0,0.0,7555000.0
11/08/2026,37800.0,37900.0,-100.0,-0.00263852,37900.0,37900.0,37800.0,4348.0,164599800.0,0.0,0.0,4348.0,164599800.0,1042.0,-1042.0,0.0,0.0,39521800.0,-39521800.0,0.0,0.0
10/08/2026,37900.0,37900.0,0.0,0.0,38000.0,38500.0,37750.0,10011.0,380588500.0,0.0,0.0,10011.0,380588500.0,-3800.0,3800.0,0.0,0.0,-143650000.0,143650000.0,0.0,0.0
07/08/2026,37900.0,38000.0,-100.0,-0.00263158,37000.0,37950.0,37000.0,3763.0,141759150.0,0.0,0.0,3763.0,141759150.0,-1736.0,2136.0,0.0,-400.0,-65378150.0,80538150.0,0.0,-15160000.0
06/08/2026,38000.0,37900.0,100.0,0.00263852,39650.0,39900.0,38000.0,628.0,24454200.0,0.0,0.0,628.0,24454200.0,116.0,-16.0,0.0,-100.0,4976650.0,-1176650.0,0.0,-3800000.0
05/08/2026,37900.0,37900.0,0.0,0.0,37900.0,37900.0,37900.0,2032.0,77097600.0,0.0,0.0,2032.0,77097600.0,232.0,-232.0,0.0,0.0,8877600.0,-8877600.0,0.0,0.0
04/08/2026,37900.0,37900.0,0.0,0.0,37900.0,37900.0,37900.0,993.0,37688350.0,0.0,0.0,993.0,37688350.0,108.0,-108.0,0.0,0.0,4093199.0,-4093200.0,0.0,0.0
03/08/2026,37900.0,37950.0,-50.0,-0.00131752,37950.0,37950.0,37650.0,859.0,32536800.0,0.0,0.0,859.0,32536800.0,158.0,-158.0,0.0,0.0,6021099.0,-6021100.0,0.0,0.0
31/07/2026,37950.0,37950.0,0.0,0.0,37500.0,37950.0,37500.0,1400.0,53041100.0,0.0,0.0,1400.0,53041100.0,-20.0,20.0,0.0,0.0,-762000.0,762000.0,0.0,0.0
30/07/2026,37950.0,37200.0,750.0,0.02016129,37200.0,38000.0,37200.0,2925.0,109085200.0,0.0,0.0,2925.0,109085200.0,1005.0,-1505.0,0.0,500.0,37382450.0,-55982450.0,0.0,18600000.0
29/07/2026,37200.0,37200.0,0.0,0.0,37200.0,37200.0,37200.0,2112.0,78568200.0,0.0,0.0,2112.0,78568200.0,1891.0,-1891.0,0.0,0.0,70347000.0,-70347000.0,0.0,0.0
28/07/2026,37200.0,37200.0,0.0,0.0,37000.0,37200.0,37000.0,7115.0,263929200.0,0.0,0.0,7115.0,263929200.0,-3092.0,2995.0,0.0,97.0,-114450750.0,110775550.0,0.0,3675200.0
27/07/2026,37200.0,37250.0,-50.0,-0.00134228,37250.0,37500.0,37000.0,5830.0,216289000.0,0.0,0.0,5830.0,216289000.0,1080.0,-880.0,0.0,-200.0,40154000.0,-32714000.0,0.0,-7440000.0
24/07/2026,37250.0,38800.0,-1550.0,-0.03994845,38700.0,38700.0,36250.0,2883.0,109755850.0,0.0,0.0,2883.0,109755850.0,-232.0,-668.0,0.0,900.0,-9781950.0,-24883050.0,0.0,34665000.0
23/07/2026,38800.0,38000.0,800.0,0.02105263,38000.0,38800.0,37600.0,2745.0,104669450.0,0.0,0.0,2745.0,104669450.0,-1313.0,313.0,0.0,1000.0,-49745651.0,11745650.0,0.0,38000000.0
22/07/2026,38000.0,38200.0,-200.0,-0.0052356,38100.0,38550.0,37900.0,8402.0,322242100.0,0.0,0.0,8402.0,322242100.0,-502.0,-298.0,0.0,800.0,-18997100.0,-11462900.0,0.0,30460000.0
21/07/2026,38200.0,37100.0,1099.0,0.02962184,37100.0,39400.0,37100.0,11227.0,428422850.0,0.0,0.0,11227.0,428422850.0,716.0,-491.0,0.0,-225.0,27913200.0,-19374450.0,0.0,-8538750.0
20/07/2026,37101.78,78400.0,-2200.0,-0.02806122,37880.82,37978.2,37101.78,13941.0,1075807200.0,0.0,0.0,13941.0,1075807200.0,-959.0,699.0,0.0,260.0,-71802800.0,51662500.0,0.0,20140300.0
17/07/2026,38172.96,80100.0,-1700.0,-0.02122347,38611.17,39584.97,38172.96,5800.0,458960000.0,0.0,0.0,5800.0,458960000.0,-1000.0,900.0,0.0,100.0,-79030000.0,70900000.0,0.0,8130000.0
16/07/2026,39000.69,80100.0,0.0,0.0,39000.69,39000.69,38659.86,7625.0,609502500.0,0.0,0.0,7625.0,609502500.0,-1000.0,775.0,0.0,225.0,-79300000.0,61267500.0,0.0,18032500.0
