NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
21/09/2026,21350.0,21800.0,-450.0,-0.0206422,21650.0,21800.0,21150.0,111691.0,2390244550.0,0.0,0.0,111691.0,2390244550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/09/2026,21800.0,22300.0,-500.0,-0.02242152,21800.0,22150.0,21800.0,115987.0,2543347800.0,0.0,0.0,115987.0,2543347800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/09/2026,22300.0,22400.0,-100.0,-0.00446429,22400.0,22400.0,21500.0,161472.0,3556328100.0,0.0,0.0,161472.0,3556328100.0,800.0,0.0,0.0,-800.0,17610000.0,0.0,0.0,-17610000.0
16/09/2026,22400.0,21550.0,850.0,0.03944316,21600.0,22600.0,21550.0,445944.0,9966549950.0,0.0,0.0,445944.0,9966549950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/09/2026,21550.0,20150.0,1400.0,0.06947891,21550.0,21550.0,21100.0,611072.0,13128202000.0,0.0,0.0,611072.0,13128202000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/09/2026,20150.0,81800.0,-1200.0,-0.01466993,20500.0,20600.0,20125.0,150011.0,12204884100.0,0.0,0.0,150011.0,12204884100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/09/2026,20450.0,83100.0,-1300.0,-0.0156438,20825.0,20825.0,20375.0,96480.0,7930746300.0,0.0,0.0,96480.0,7930746300.0,530.0,0.0,0.0,-530.0,43764000.0,0.0,0.0,-43764000.0
10/09/2026,20775.0,82200.0,900.0,0.01094891,20650.0,21100.0,20650.0,81018.0,6757799300.0,0.0,0.0,81018.0,6757799300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/09/2026,20550.0,85800.0,-3600.0,-0.04195804,21500.0,21650.0,20500.0,360148.0,30243391500.0,0.0,0.0,360148.0,30243391500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/09/2026,21450.0,87000.0,-1200.0,-0.0137931,21725.0,21750.0,21450.0,54769.0,4720056000.0,0.0,0.0,54769.0,4720056000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/09/2026,21750.0,87000.0,0.0,0.0,21975.0,22050.0,21700.0,73017.0,6383555000.0,0.0,0.0,73017.0,6383555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
