NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,2010.0,2000.0,10.0,0.005,2000.0,2030.0,1990.0,61761.0,123659390.0,0.0,0.0,61761.0,123659390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,2000.0,2050.0,-50.0,-0.02439024,2050.0,2050.0,2000.0,36578.0,73393740.0,0.0,0.0,36578.0,73393740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,2050.0,2020.0,30.0,0.01485149,2000.0,2060.0,2000.0,96005.0,193440190.0,0.0,0.0,96005.0,193440190.0,5992.0,-5992.0,0.0,0.0,12149680.0,-12149680.0,0.0,0.0
27/08/2026,2020.0,2010.0,10.0,0.00497512,2100.0,2120.0,2020.0,309177.0,640370900.0,0.0,0.0,309177.0,640370900.0,47135.0,-47135.0,0.0,0.0,96569370.0,-96569370.0,0.0,0.0
26/08/2026,2010.0,2020.0,-10.0,-0.0049505,2030.0,2050.0,2000.0,84430.0,170293770.0,0.0,0.0,84430.0,170293770.0,27200.0,-27200.0,0.0,0.0,55023001.0,-55023000.0,0.0,0.0
25/08/2026,2020.0,2050.0,-30.0,-0.01463415,2050.0,2090.0,2020.0,55206.0,112924300.0,0.0,0.0,55206.0,112924300.0,-19175.0,19175.0,0.0,0.0,-39541750.0,39541750.0,0.0,0.0
24/08/2026,2050.0,2070.0,-20.0,-0.00966184,2040.0,2100.0,2030.0,93808.0,193032130.0,0.0,0.0,93808.0,193032130.0,-49667.0,49667.0,0.0,0.0,-102411680.0,102411680.0,0.0,0.0
21/08/2026,2070.0,1970.0,100.0,0.05076142,1970.0,2070.0,1960.0,492481.0,989728990.0,0.0,0.0,492481.0,989728990.0,-314480.0,314480.0,0.0,0.0,-629179800.0,629179800.0,0.0,0.0
20/08/2026,1970.0,1970.0,0.0,0.0,1990.0,1990.0,1950.0,47778.0,94123580.0,0.0,0.0,47778.0,94123580.0,17900.0,-17900.0,0.0,0.0,35199000.0,-35199000.0,0.0,0.0
19/08/2026,1970.0,1990.0,-20.0,-0.01005025,1990.0,1990.0,1960.0,40442.0,80148830.0,0.0,0.0,40442.0,80148830.0,8092.0,-8092.0,0.0,0.0,16111000.0,-16111000.0,0.0,0.0
18/08/2026,1990.0,1980.0,10.0,0.00505051,1980.0,2000.0,1980.0,9049.0,17936360.0,0.0,0.0,9049.0,17936360.0,-1800.0,1800.0,0.0,0.0,-3560000.0,3560000.0,0.0,0.0
17/08/2026,1980.0,1980.0,0.0,0.0,2000.0,2010.0,1980.0,56560.0,113070420.0,0.0,0.0,56560.0,113070420.0,-19210.0,19210.0,0.0,0.0,-38448880.0,38448880.0,0.0,0.0
14/08/2026,1980.0,2020.0,-40.0,-0.01980198,2010.0,2010.0,1970.0,88678.0,176425920.0,0.0,0.0,88678.0,176425920.0,-7475.0,7475.0,0.0,0.0,-14653010.0,14653010.0,0.0,0.0
13/08/2026,2020.0,2050.0,-30.0,-0.01463415,2030.0,2050.0,2000.0,143954.0,290666030.0,0.0,0.0,143954.0,290666030.0,-35200.0,35200.0,0.0,0.0,-71692000.0,71692000.0,0.0,0.0
12/08/2026,2050.0,2040.0,10.0,0.00490196,2040.0,2070.0,2040.0,92107.0,188530050.0,0.0,0.0,92107.0,188530050.0,22800.0,-22800.0,0.0,0.0,46627000.0,-46627000.0,0.0,0.0
11/08/2026,2040.0,2050.0,-10.0,-0.00487805,2030.0,2070.0,2030.0,50866.0,103927970.0,0.0,0.0,50866.0,103927970.0,16115.0,-16115.0,0.0,0.0,32918750.0,-32918750.0,0.0,0.0
10/08/2026,2050.0,2040.0,10.0,0.00490196,2030.0,2080.0,2030.0,67118.0,137178360.0,0.0,0.0,67118.0,137178360.0,14600.0,-14600.0,0.0,0.0,29674000.0,-29674000.0,0.0,0.0
07/08/2026,2040.0,2050.0,-10.0,-0.00487805,2060.0,2070.0,2020.0,57613.0,117046830.0,0.0,0.0,57613.0,117046830.0,1717.0,-1717.0,0.0,0.0,3573010.0,-3573010.0,0.0,0.0
06/08/2026,2050.0,2080.0,-30.0,-0.01442308,2080.0,2090.0,2040.0,93477.0,192873140.0,0.0,0.0,93477.0,192873140.0,25032.0,-25032.0,0.0,0.0,51515690.0,-51515690.0,0.0,0.0
05/08/2026,2080.0,2080.0,0.0,0.0,2040.0,2100.0,2040.0,101413.0,208619200.0,0.0,0.0,101413.0,208619200.0,28367.0,-28367.0,0.0,0.0,57536360.0,-57536359.0,0.0,0.0
04/08/2026,2080.0,1980.0,100.0,0.05050505,1990.0,2110.0,1980.0,469275.0,979620670.0,0.0,0.0,469275.0,979620670.0,-58124.0,58124.0,0.0,0.0,-120561570.0,120561570.0,0.0,0.0
03/08/2026,1980.0,1980.0,0.0,0.0,1980.0,2000.0,1970.0,62375.0,123699020.0,0.0,0.0,62375.0,123699020.0,-6863.0,6863.0,0.0,0.0,-13576620.0,13576620.0,0.0,0.0
31/07/2026,1980.0,2000.0,-20.0,-0.01,1970.0,1990.0,1960.0,111902.0,221291410.0,0.0,0.0,111902.0,221291410.0,-17400.0,17400.0,0.0,0.0,-34330000.0,34330000.0,0.0,0.0
30/07/2026,2000.0,1960.0,40.0,0.02040816,1960.0,2020.0,1960.0,111933.0,221426290.0,0.0,0.0,111933.0,221426290.0,3216.0,-3216.0,0.0,0.0,6143120.0,-6143120.0,0.0,0.0
29/07/2026,1960.0,1970.0,-10.0,-0.00507614,1960.0,2020.0,1950.0,48154.0,94508550.0,0.0,0.0,48154.0,94508550.0,-3900.0,3900.0,0.0,0.0,-7827000.0,7827000.0,0.0,0.0
28/07/2026,1970.0,1970.0,0.0,0.0,2000.0,2000.0,1950.0,60812.0,119718620.0,0.0,0.0,60812.0,119718620.0,-10500.0,10500.0,0.0,0.0,-20708000.0,20708000.0,0.0,0.0
27/07/2026,1970.0,2000.0,-30.0,-0.015,2010.0,2070.0,1950.0,88709.0,177559970.0,0.0,0.0,88709.0,177559970.0,-37700.0,37700.0,0.0,0.0,-76036000.0,76036000.0,0.0,0.0
24/07/2026,2000.0,2000.0,0.0,0.0,2000.0,2020.0,1980.0,49755.0,99482490.0,0.0,0.0,49755.0,99482490.0,-14868.0,14868.0,0.0,0.0,-29824880.0,29824880.0,0.0,0.0
23/07/2026,2000.0,2000.0,0.0,0.0,2000.0,2020.0,1900.0,76141.0,149484070.0,0.0,0.0,76141.0,149484070.0,8501.0,-8501.0,0.0,0.0,17300130.0,-17300130.0,0.0,0.0
22/07/2026,2000.0,2000.0,0.0,0.0,2000.0,2030.0,1990.0,108558.0,216966460.0,0.0,0.0,108558.0,216966460.0,-16254.0,16254.0,0.0,0.0,-32648101.0,32648100.0,0.0,0.0
21/07/2026,2000.0,2040.0,-40.0,-0.01960784,2050.0,2070.0,1990.0,146306.0,293609270.0,0.0,0.0,146306.0,293609270.0,56564.0,-56564.0,0.0,0.0,113130110.0,-113130110.0,0.0,0.0
20/07/2026,2040.0,2100.0,-60.0,-0.02857143,2100.0,2100.0,2040.0,96524.0,198383840.0,0.0,0.0,96524.0,198383840.0,18000.0,-18000.0,0.0,0.0,37124000.0,-37124000.0,0.0,0.0
