NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,11550.0,11650.0,-100.0,-0.00858369,11650.0,11750.0,11400.0,49290.0,567426200.0,0.0,0.0,49290.0,567426200.0,9200.0,-9200.0,0.0,0.0,105985000.0,-105985000.0,0.0,0.0
27/08/2026,11650.0,11750.0,-100.0,-0.00851064,11700.0,11800.0,11550.0,21374.0,250692650.0,0.0,0.0,21374.0,250692650.0,-3413.0,3413.0,0.0,0.0,-39705600.0,39705600.0,0.0,0.0
26/08/2026,11750.0,11800.0,-50.0,-0.00423729,11700.0,11750.0,11600.0,80051.0,933158700.0,0.0,0.0,80051.0,933158700.0,-38049.0,38061.0,0.0,-12.0,-442570900.0,442710100.0,0.0,-139200.0
25/08/2026,11800.0,11800.0,0.0,0.0,11750.0,11850.0,11600.0,241300.0,2834075000.0,0.0,0.0,241300.0,2834075000.0,-216675.0,216675.0,0.0,0.0,-2544612500.0,2544612500.0,0.0,0.0
24/08/2026,11800.0,11600.0,200.0,0.01724138,11600.0,11800.0,11450.0,405100.0,4749728550.0,0.0,0.0,405100.0,4749728550.0,-249394.0,249994.0,0.0,-600.0,-2924513550.0,2931593550.0,0.0,-7080000.0
21/08/2026,11600.0,11350.0,250.0,0.02202643,11350.0,11700.0,11350.0,153800.0,1772155400.0,0.0,0.0,153800.0,1772155400.0,-111300.0,111300.0,0.0,0.0,-1283570001.0,1283570000.0,0.0,0.0
20/08/2026,11350.0,11500.0,-150.0,-0.01304348,11450.0,11500.0,11300.0,64101.0,730021250.0,0.0,0.0,64101.0,730021250.0,20500.0,-20500.0,0.0,0.0,233030000.0,-233030000.0,0.0,0.0
19/08/2026,11500.0,11400.0,100.0,0.00877193,11400.0,11700.0,11350.0,207798.0,2397577600.0,0.0,0.0,207798.0,2397577600.0,-143801.0,143801.0,0.0,0.0,-1660117000.0,1660117000.0,0.0,0.0
18/08/2026,11400.0,11650.0,-250.0,-0.02145923,11750.0,11800.0,11400.0,262707.0,3064206550.0,0.0,0.0,262707.0,3064206550.0,-62293.0,62293.0,0.0,0.0,-729138451.0,729138450.0,0.0,0.0
17/08/2026,11650.0,11200.0,450.0,0.04017857,11250.0,11700.0,11000.0,474896.0,5479081900.0,0.0,0.0,474896.0,5479081900.0,-301070.0,301070.0,0.0,0.0,-3480795000.0,3480795000.0,0.0,0.0
14/08/2026,11200.0,11100.0,100.0,0.00900901,11100.0,11200.0,10900.0,146010.0,1607195500.0,0.0,0.0,146010.0,1607195500.0,17300.0,-17300.0,0.0,0.0,193270000.0,-193270000.0,0.0,0.0
13/08/2026,11100.0,11300.0,-200.0,-0.01769912,11350.0,11350.0,11100.0,113745.0,1272414000.0,0.0,0.0,113745.0,1272414000.0,24101.0,-24101.0,0.0,0.0,269116200.0,-269116200.0,0.0,0.0
