NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,6950.0,7130.0,-180.0,-0.02524544,7000.0,7000.0,6950.0,5401.0,37727000.0,0.0,0.0,5401.0,37727000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,7130.0,6990.0,140.0,0.02002861,7130.0,7130.0,7130.0,102.0,727260.0,0.0,0.0,102.0,727260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,6990.0,7000.0,-10.0,-0.00142857,7130.0,7130.0,6990.0,500.0,3510000.0,0.0,0.0,500.0,3510000.0,-100.0,200.0,0.0,-100.0,-700000.0,1413000.0,0.0,-713000.0
26/08/2026,7000.0,7140.0,-140.0,-0.01960784,7000.0,7080.0,7000.0,9400.0,65824000.0,0.0,0.0,9400.0,65824000.0,3900.0,-3900.0,0.0,0.0,27300000.0,-27300000.0,0.0,0.0
25/08/2026,7140.0,7170.0,-30.0,-0.0041841,7160.0,7160.0,7140.0,5300.0,37906000.0,1700000.0,11339000000.0,1705300.0,11376906000.0,2200.0,-1900.0,0.0,-300.0,15747000.0,-13602000.0,0.0,-2145000.0
24/08/2026,7170.0,7150.0,20.0,0.0027972,6900.0,7170.0,6880.0,402.0,2798000.0,2171000.0,14437150000.0,2171402.0,14439948000.0,200.0,-200.0,0.0,0.0,1350000.0,-1350000.0,0.0,0.0
21/08/2026,7150.0,7090.0,60.0,0.00846262,6990.0,7150.0,6990.0,21451.0,150125580.0,0.0,0.0,21451.0,150125580.0,201.0,-201.0,0.0,0.0,1433080.0,-1433080.0,0.0,0.0
20/08/2026,7090.0,7000.0,90.0,0.01285714,7090.0,7090.0,7090.0,108.0,765720.0,0.0,0.0,108.0,765720.0,-108.0,108.0,0.0,0.0,-765720.0,765720.0,0.0,0.0
19/08/2026,7000.0,7160.0,-160.0,-0.02234637,6860.0,7200.0,6860.0,500.0,3484000.0,0.0,0.0,500.0,3484000.0,0.0,0.0,0.0,0.0,-14000.0,14000.0,0.0,0.0
18/08/2026,7160.0,7160.0,0.0,0.0,7160.0,7160.0,7160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,7160.0,7190.0,-30.0,-0.00417246,7000.0,7160.0,6900.0,900.0,6247000.0,0.0,0.0,900.0,6247000.0,-200.0,200.0,0.0,0.0,-1380000.0,1380000.0,0.0,0.0
14/08/2026,7190.0,7190.0,0.0,0.0,6890.0,7190.0,6880.0,1801.0,12584880.0,0.0,0.0,1801.0,12584880.0,-1100.0,1100.0,0.0,0.0,-7629000.0,7629000.0,0.0,0.0
13/08/2026,7190.0,7170.0,20.0,0.0027894,7370.0,7370.0,7000.0,3300.0,23348000.0,919553.0,6133418510.0,922853.0,6156766510.0,-600.0,2100.0,0.0,-1500.0,-4291000.0,14806000.0,0.0,-10515000.0
12/08/2026,7170.0,7200.0,-30.0,-0.00416667,7180.0,7180.0,7000.0,1800.0,12800000.0,0.0,0.0,1800.0,12800000.0,600.0,0.0,0.0,-600.0,4237000.0,-34000.0,0.0,-4203000.0
11/08/2026,7200.0,7100.0,100.0,0.01408451,7370.0,7400.0,7090.0,82300.0,589034000.0,0.0,0.0,82300.0,589034000.0,-22000.0,21700.0,0.0,300.0,-158362000.0,156229000.0,0.0,2133000.0
10/08/2026,7100.0,7170.0,-70.0,-0.0097629,6960.0,7190.0,6960.0,13500.0,95305000.0,0.0,0.0,13500.0,95305000.0,-1000.0,1000.0,0.0,0.0,-7133000.0,7133000.0,0.0,0.0
07/08/2026,7170.0,7180.0,-10.0,-0.00139276,7590.0,7590.0,6680.0,10237.0,70031370.0,0.0,0.0,10237.0,70031370.0,-2700.0,2700.0,0.0,0.0,-18874001.0,18874000.0,0.0,0.0
06/08/2026,7180.0,7190.0,-10.0,-0.00139082,7000.0,7200.0,7000.0,1950.0,13695060.0,2300.0,15387000.0,4250.0,29082060.0,0.0,0.0,0.0,0.0,-18000.0,18000.0,0.0,0.0
05/08/2026,7190.0,7180.0,10.0,0.00139276,7170.0,7200.0,7150.0,9800.0,70349000.0,0.0,0.0,9800.0,70349000.0,4200.0,-3900.0,0.0,-300.0,30138000.0,-27984000.0,0.0,-2154000.0
04/08/2026,7180.0,7190.0,-10.0,-0.00139082,7180.0,7180.0,7180.0,100.0,718000.0,0.0,0.0,100.0,718000.0,-100.0,100.0,0.0,0.0,-718000.0,718000.0,0.0,0.0
03/08/2026,7190.0,7000.0,190.0,0.02714286,7000.0,7190.0,6990.0,10102.0,70723400.0,0.0,0.0,10102.0,70723400.0,-800.0,900.0,0.0,-100.0,-5595000.0,6295000.0,0.0,-700000.0
31/07/2026,7000.0,7000.0,0.0,0.0,7160.0,7160.0,6750.0,1010.0,6949800.0,0.0,0.0,1010.0,6949800.0,400.0,-700.0,0.0,300.0,2764000.0,-4789000.0,0.0,2025000.0
30/07/2026,7000.0,6950.0,50.0,0.00719424,6950.0,7000.0,6820.0,8416.0,58665000.0,0.0,0.0,8416.0,58665000.0,2184.0,-1784.0,0.0,-400.0,15268000.0,-12488000.0,0.0,-2780000.0
29/07/2026,6950.0,7030.0,-80.0,-0.0113798,6800.0,6990.0,6660.0,1705.0,11751950.0,0.0,0.0,1705.0,11751950.0,-200.0,100.0,0.0,100.0,-1365000.0,699000.0,0.0,666000.0
28/07/2026,7030.0,7080.0,-50.0,-0.00706215,7050.0,7060.0,7000.0,2634.0,18505000.0,0.0,0.0,2634.0,18505000.0,-1200.0,1200.0,0.0,0.0,-8450000.0,8450000.0,0.0,0.0
27/07/2026,7080.0,6900.0,180.0,0.02608696,7080.0,7080.0,6810.0,6300.0,43442000.0,0.0,0.0,6300.0,43442000.0,-200.0,1000.0,0.0,-800.0,-1337000.0,6874000.0,0.0,-5537000.0
24/07/2026,6900.0,7190.0,-290.0,-0.0403338,7390.0,7390.0,6900.0,3000.0,20749000.0,0.0,0.0,3000.0,20749000.0,1900.0,-1900.0,0.0,0.0,13061000.0,-13061000.0,0.0,0.0
23/07/2026,7190.0,7100.0,90.0,0.01267606,7000.0,7190.0,6810.0,8912.0,62759620.0,0.0,0.0,8912.0,62759620.0,-1690.0,1990.0,0.0,-300.0,-11607000.0,13742000.0,0.0,-2135000.0
22/07/2026,7100.0,7300.0,-200.0,-0.02739726,7000.0,7100.0,6830.0,4000.0,27927000.0,0.0,0.0,4000.0,27927000.0,200.0,700.0,0.0,-900.0,1382000.0,4928000.0,0.0,-6310000.0
21/07/2026,7300.0,7010.0,290.0,0.04136947,6650.0,7320.0,6650.0,1502.0,10407340.0,0.0,0.0,1502.0,10407340.0,-6.0,506.0,-94.0,-500.0,3620.0,3501380.0,-659000.0,-3505000.0
20/07/2026,7010.0,7300.0,-290.0,-0.03972603,7110.0,7110.0,6790.0,16902.0,116444600.0,0.0,0.0,16902.0,116444600.0,5798.0,-5798.0,0.0,0.0,40731400.0,-40731400.0,0.0,0.0
17/07/2026,7300.0,7480.0,-180.0,-0.02406417,7400.0,7400.0,7300.0,9500.0,70010000.0,0.0,0.0,9500.0,70010000.0,-5000.0,5000.0,0.0,0.0,-37000000.0,37000000.0,0.0,0.0
16/07/2026,7480.0,7580.0,-100.0,-0.01319261,7570.0,7570.0,7200.0,9701.0,70840260.0,0.0,0.0,9701.0,70840260.0,-2700.0,2000.0,0.0,700.0,-19621001.0,14581000.0,0.0,5040000.0
15/07/2026,7580.0,7600.0,-20.0,-0.00263158,7400.0,7580.0,7400.0,7300.0,54062000.0,0.0,0.0,7300.0,54062000.0,6800.0,-6800.0,0.0,0.0,50320000.0,-50320000.0,0.0,0.0
14/07/2026,7600.0,7600.0,0.0,0.0,7600.0,7600.0,7070.0,27960.0,210163800.0,0.0,0.0,27960.0,210163800.0,10900.0,-7900.0,0.0,-3000.0,82519001.0,-59724000.0,0.0,-22795000.0
13/07/2026,7600.0,7740.0,-140.0,-0.01808786,7720.0,7720.0,7530.0,14136.0,106863600.0,0.0,0.0,14136.0,106863600.0,1100.0,-800.0,0.0,-300.0,8331000.0,-6051000.0,0.0,-2280000.0
10/07/2026,7740.0,7750.0,-10.0,-0.00129032,7600.0,7740.0,7550.0,15901.0,120332460.0,0.0,0.0,15901.0,120332460.0,1900.0,-1900.0,0.0,0.0,14437000.0,-14437000.0,0.0,0.0
09/07/2026,7750.0,7650.0,100.0,0.0130719,7520.0,7800.0,7520.0,29803.0,226084950.0,0.0,0.0,29803.0,226084950.0,-7800.0,13100.0,0.0,-5300.0,-57415000.0,97321000.0,0.0,-39906000.0
08/07/2026,7650.0,7780.0,-130.0,-0.01670951,7780.0,7780.0,7550.0,30931.0,236376400.0,0.0,0.0,30931.0,236376400.0,18990.0,-18990.0,0.0,0.0,145037651.0,-145037650.0,0.0,0.0
07/07/2026,7780.0,7700.0,80.0,0.01038961,7700.0,7870.0,7600.0,87100.0,674373000.0,0.0,0.0,87100.0,674373000.0,-19300.0,19000.0,0.0,300.0,-151285000.0,148975000.0,0.0,2310000.0
06/07/2026,7700.0,7600.0,100.0,0.01315789,7610.0,7890.0,7610.0,80653.0,627672080.0,0.0,0.0,80653.0,627672080.0,-20137.0,20637.0,0.0,-500.0,-156841150.0,160701150.0,0.0,-3860000.0
03/07/2026,7600.0,7490.0,110.0,0.01468625,7370.0,7600.0,7360.0,55109.0,411904600.0,0.0,0.0,55109.0,411904600.0,24500.0,-24500.0,0.0,0.0,182744001.0,-182744000.0,0.0,0.0
02/07/2026,7490.0,7490.0,0.0,0.0,7500.0,7600.0,7420.0,14900.0,111561000.0,0.0,0.0,14900.0,111561000.0,7800.0,-7800.0,0.0,0.0,58375000.0,-58375000.0,0.0,0.0
01/07/2026,7490.0,7480.0,10.0,0.0013369,7300.0,7500.0,7240.0,2702.0,19780980.0,0.0,0.0,2702.0,19780980.0,1300.0,-1500.0,0.0,200.0,9439001.0,-10899000.0,0.0,1460000.0
30/06/2026,7480.0,7500.0,-20.0,-0.00266667,7500.0,7550.0,7360.0,10602.0,79631300.0,0.0,0.0,10602.0,79631300.0,-3198.0,3898.0,0.0,-700.0,-24148700.0,29374700.0,0.0,-5226000.0
29/06/2026,7500.0,7400.0,100.0,0.01351351,7600.0,7600.0,7360.0,19702.0,145507750.0,0.0,0.0,19702.0,145507750.0,9100.0,-10100.0,0.0,1000.0,67090050.0,-74454050.0,0.0,7364000.0
26/06/2026,7400.0,7240.0,160.0,0.02209945,7220.0,7490.0,7220.0,6403.0,47189060.0,0.0,0.0,6403.0,47189060.0,-2900.0,2900.0,0.0,0.0,-21384000.0,21384000.0,0.0,0.0
25/06/2026,7240.0,7540.0,-300.0,-0.0397878,7540.0,7540.0,7240.0,36100.0,270090000.0,0.0,0.0,36100.0,270090000.0,3900.0,-3900.0,0.0,0.0,29680000.0,-29680000.0,0.0,0.0
