NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,13850.0,13800.0,50.0,0.00362319,13800.0,13850.0,13750.0,50864.0,702900850.0,0.0,0.0,50864.0,702900850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,13800.0,14150.0,-350.0,-0.02473498,14100.0,14100.0,13700.0,42771.0,594900200.0,0.0,0.0,42771.0,594900200.0,5100.0,0.0,0.0,-5100.0,71275000.0,0.0,0.0,-71275000.0
28/08/2026,14150.0,14100.0,50.0,0.0035461,14250.0,14250.0,13900.0,116141.0,1633020000.0,0.0,0.0,116141.0,1633020000.0,21634.0,-14634.0,-8600.0,-7000.0,299770200.0,-201260200.0,-121690000.0,-98510000.0
27/08/2026,14100.0,13950.0,150.0,0.01075269,14000.0,14250.0,13850.0,158387.0,2217521350.0,0.0,0.0,158387.0,2217521350.0,75593.0,-35793.0,-36400.0,-39800.0,1059520650.0,-503375650.0,-510600000.0,-556145000.0
26/08/2026,13950.0,14000.0,-50.0,-0.00357143,13800.0,14000.0,13800.0,84505.0,1177515900.0,0.0,0.0,84505.0,1177515900.0,-8826.0,27226.0,0.0,-18400.0,-122372700.0,378862700.0,0.0,-256490000.0
25/08/2026,14000.0,14150.0,-150.0,-0.01060071,13850.0,14250.0,13850.0,132177.0,1848959650.0,0.0,0.0,132177.0,1848959650.0,-20697.0,49497.0,0.0,-28800.0,-290311149.0,693346150.0,0.0,-403035000.0
24/08/2026,14150.0,14050.0,100.0,0.00711744,14650.0,14650.0,14000.0,111523.0,1572206950.0,0.0,0.0,111523.0,1572206950.0,-19208.0,22608.0,0.0,-3400.0,-270982600.0,318867600.0,0.0,-47885000.0
21/08/2026,14050.0,14200.0,-150.0,-0.01056338,14500.0,14500.0,13750.0,430363.0,6035335700.0,0.0,0.0,430363.0,6035335700.0,112218.0,-170418.0,0.0,58200.0,1565793300.0,-2382003300.0,0.0,816210000.0
20/08/2026,14200.0,13650.0,550.0,0.04029304,13900.0,14300.0,13700.0,109418.0,1541373450.0,0.0,0.0,109418.0,1541373450.0,-24618.0,13318.0,0.0,11300.0,-351363550.0,188418550.0,0.0,162945000.0
19/08/2026,13650.0,13500.0,150.0,0.01111111,14350.0,14350.0,13550.0,64243.0,893438950.0,0.0,0.0,64243.0,893438950.0,12313.0,-6713.0,0.0,-5600.0,173622801.0,-97302800.0,0.0,-76320000.0
18/08/2026,13504.97,14500.0,-50.0,-0.00344828,13224.59,13738.62,13224.59,117477.0,1694192300.0,0.0,0.0,117477.0,1694192300.0,-23351.0,-6149.0,0.0,29500.0,-338742500.0,-87452500.0,0.0,426195000.0
17/08/2026,13551.7,14150.0,350.0,0.02473498,13224.59,13738.62,13177.86,95332.0,1367090350.0,0.0,0.0,95332.0,1367090350.0,-47056.0,51756.0,0.0,-4700.0,-671782900.0,740247900.0,0.0,-68465000.0
14/08/2026,13224.59,14000.0,150.0,0.01071429,13224.59,13224.59,12944.21,104830.0,1464522200.0,180000.0,2520000000.0,284830.0,3984522200.0,-53196.0,48485.0,-200.0,4711.0,-743029200.0,677576300.0,-2830000.0,65452900.0
13/08/2026,13084.4,14000.0,0.0,0.0,13131.13,13177.86,12850.75,186994.0,2597535950.0,0.0,0.0,186994.0,2597535950.0,-110111.0,107011.0,0.0,3100.0,-1524543650.0,1481263650.0,0.0,43280000.0
12/08/2026,13084.4,13900.0,100.0,0.00719424,13084.4,13084.4,12990.94,65561.0,913392650.0,197000.0,2738300000.0,262561.0,3651692650.0,11215.0,-14715.0,0.0,3500.0,156184301.0,-204909300.0,0.0,48725000.0
11/08/2026,12990.94,13800.0,100.0,0.00724638,12897.48,13084.4,12710.56,131407.0,1825154250.0,0.0,0.0,131407.0,1825154250.0,-25112.0,-14388.0,0.0,39500.0,-347625300.0,-200324700.0,0.0,547950000.0
10/08/2026,12897.48,13350.0,450.0,0.03370787,12570.37,12990.94,12570.37,134002.0,1842113050.0,0.0,0.0,134002.0,1842113050.0,-53001.0,19301.0,0.0,33700.0,-729654250.0,268919250.0,0.0,460735000.0
07/08/2026,12476.91,13600.0,-250.0,-0.01838235,12476.91,12757.29,12476.91,88935.0,1193230950.0,0.0,0.0,88935.0,1193230950.0,-24977.0,-6123.0,0.0,31100.0,-336102000.0,-82343000.0,0.0,418445000.0
06/08/2026,12710.56,13700.0,-100.0,-0.00729927,12804.02,12804.02,12617.1,21218.0,287663250.0,0.0,0.0,21218.0,287663250.0,-1243.0,5243.0,0.0,-4000.0,-16990400.0,71190400.0,0.0,-54200000.0
05/08/2026,12804.02,13800.0,-100.0,-0.00724638,12897.48,12990.94,12570.37,83998.0,1149288800.0,0.0,0.0,83998.0,1149288800.0,-13520.0,-11280.0,0.0,24800.0,-182187300.0,-159842700.0,0.0,342030000.0
04/08/2026,12897.48,13850.0,-50.0,-0.00361011,12710.56,12990.94,12523.64,121310.0,1642745000.0,0.0,0.0,121310.0,1642745000.0,10390.0,-12090.0,0.0,1700.0,141555000.0,-163740000.0,0.0,22185000.0
03/08/2026,12944.21,13400.0,450.0,0.03358209,12710.56,12944.21,12523.64,153587.0,2094545850.0,0.0,0.0,153587.0,2094545850.0,22270.0,-22270.0,0.0,0.0,300568600.0,-300568600.0,0.0,0.0
31/07/2026,12523.64,13750.0,-350.0,-0.02545455,12990.94,12990.94,12430.18,80862.0,1086025600.0,0.0,0.0,80862.0,1086025600.0,28554.0,-28554.0,0.0,0.0,383553700.0,-383553700.0,0.0,0.0
30/07/2026,12850.75,13600.0,150.0,0.01102941,12897.48,13037.67,12617.1,41176.0,564779900.0,0.0,0.0,41176.0,564779900.0,10110.0,-13310.0,0.0,3200.0,139514000.0,-182879000.0,0.0,43365000.0
29/07/2026,12710.56,13500.0,100.0,0.00740741,12990.94,12990.94,12383.45,71533.0,963223450.0,0.0,0.0,71533.0,963223450.0,-13400.0,-18200.0,0.0,31600.0,-180075000.0,-245425000.0,0.0,425500000.0
28/07/2026,12617.1,13150.0,350.0,0.02661597,12289.99,12710.56,11729.23,85011.0,1133662400.0,0.0,0.0,85011.0,1133662400.0,-4420.0,6220.0,0.0,-1800.0,-57105000.0,82975000.0,0.0,-25870000.0
27/07/2026,12289.99,14000.0,-850.0,-0.06071429,13551.7,13551.7,12289.99,243423.0,3305472450.0,0.0,0.0,243423.0,3305472450.0,108410.0,-82410.0,0.0,-26000.0,1480724350.0,-1123134350.0,0.0,-357590000.0
24/07/2026,13084.4,14300.0,-300.0,-0.02097902,13084.4,13551.7,12944.21,53501.0,744649050.0,0.0,0.0,53501.0,744649050.0,-12906.0,13806.0,0.0,-900.0,-179297300.0,191817300.0,0.0,-12520000.0
23/07/2026,13364.78,14150.0,150.0,0.01060071,13458.24,13458.24,12990.94,137465.0,1954618400.0,0.0,0.0,137465.0,1954618400.0,8534.0,-9534.0,-1300.0,1000.0,125554050.0,-140189050.0,-18200000.0,14635000.0
22/07/2026,13224.59,14050.0,100.0,0.00711744,13131.13,13271.32,12897.48,208801.0,2917321950.0,0.0,0.0,208801.0,2917321950.0,16959.0,-43559.0,0.0,26600.0,234530450.0,-608285450.0,0.0,373755000.0
21/07/2026,13131.13,14600.0,-550.0,-0.03767123,13645.16,13645.16,13131.13,428384.0,6116866150.0,0.0,0.0,428384.0,6116866150.0,-17852.0,30752.0,0.0,-12900.0,-255192000.0,441702000.0,0.0,-186510000.0
20/07/2026,13645.16,14900.0,-300.0,-0.02013423,13691.89,14159.19,13551.7,245146.0,3590936350.0,0.0,0.0,245146.0,3590936350.0,66814.0,-64034.0,0.0,-2780.0,980289200.0,-939534200.0,0.0,-40755000.0
17/07/2026,13925.54,14900.0,0.0,0.0,13785.35,13972.27,13785.35,224628.0,3335782650.0,0.0,0.0,224628.0,3335782650.0,119000.0,-118000.0,0.0,-1000.0,1766265001.0,-1751415000.0,0.0,-14850000.0
16/07/2026,13925.54,14900.0,0.0,0.0,13832.08,14205.92,13645.16,607000.0,9017082400.0,0.0,0.0,607000.0,9017082400.0,52018.0,-54218.0,0.0,2200.0,803059800.0,-834669800.0,0.0,31610000.0
15/07/2026,13925.54,15150.0,-250.0,-0.01650165,14205.92,14205.92,13832.08,320232.0,4780044800.0,0.0,0.0,320232.0,4780044800.0,43906.0,-38806.0,0.0,-5100.0,652860951.0,-575890950.0,0.0,-76970000.0
14/07/2026,14159.19,14700.0,450.0,0.03061224,13925.54,14159.19,13738.62,236520.0,3539519250.0,0.0,0.0,236520.0,3539519250.0,51012.0,-51012.0,0.0,0.0,767467800.0,-767467800.0,0.0,0.0
