NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,15400.0,15400.0,0.0,0.0,15400.0,15400.0,15400.0,2701.0,41595400.0,0.0,0.0,2701.0,41595400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,15400.0,15400.0,0.0,0.0,15400.0,15400.0,15400.0,102.0,1570400.0,0.0,0.0,102.0,1570400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,15400.0,15400.0,0.0,0.0,16200.0,16200.0,15400.0,309.0,4848600.0,0.0,0.0,309.0,4848600.0,9.0,-9.0,0.0,0.0,138600.0,-138600.0,0.0,0.0
27/08/2026,15400.0,15400.0,0.0,0.0,15400.0,15400.0,15400.0,556.0,8440300.0,0.0,0.0,556.0,8440300.0,-133.0,133.0,0.0,0.0,-1947951.0,1947950.0,0.0,0.0
26/08/2026,15400.0,15000.0,400.0,0.02666667,14150.0,15400.0,14150.0,1110.0,16969000.0,0.0,0.0,1110.0,16969000.0,1010.0,-1010.0,0.0,0.0,15554000.0,-15554000.0,0.0,0.0
25/08/2026,15000.0,15500.0,-500.0,-0.03225806,15000.0,15000.0,15000.0,100.0,1500000.0,0.0,0.0,100.0,1500000.0,-100.0,100.0,0.0,0.0,-1500000.0,1500000.0,0.0,0.0
24/08/2026,15500.0,16350.0,-850.0,-0.05198777,15500.0,15500.0,15500.0,207.0,3208150.0,0.0,0.0,207.0,3208150.0,-100.0,100.0,0.0,0.0,-1550000.0,1550000.0,0.0,0.0
21/08/2026,16350.0,15400.0,950.0,0.06168831,16350.0,16350.0,16350.0,100.0,1635000.0,0.0,0.0,100.0,1635000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,15400.0,14600.0,800.0,0.05479452,15600.0,15600.0,15400.0,630.0,9706000.0,0.0,0.0,630.0,9706000.0,530.0,-530.0,0.0,0.0,8166000.0,-8166000.0,0.0,0.0
19/08/2026,14600.0,15350.0,-750.0,-0.04885993,14600.0,14600.0,14600.0,100.0,1460000.0,0.0,0.0,100.0,1460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,15350.0,15450.0,-100.0,-0.00647249,15350.0,15400.0,15350.0,18400.0,282690000.0,0.0,0.0,18400.0,282690000.0,6800.0,-6800.0,0.0,0.0,104490000.0,-104490000.0,0.0,0.0
17/08/2026,15450.0,15450.0,0.0,0.0,15450.0,15450.0,15450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,15450.0,15000.0,450.0,0.03,15000.0,15750.0,15000.0,17641.0,272221300.0,0.0,0.0,17641.0,272221300.0,8598.0,-6998.0,0.0,-1600.0,132685000.0,-108220000.0,0.0,-24465000.0
13/08/2026,15000.0,15000.0,0.0,0.0,15000.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,15000.0,15000.0,0.0,0.0,15000.0,15000.0,15000.0,1100.0,16500000.0,0.0,0.0,1100.0,16500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,15000.0,15350.0,-350.0,-0.0228013,15000.0,15000.0,15000.0,400.0,6000000.0,0.0,0.0,400.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/08/2026,15350.0,15350.0,0.0,0.0,15350.0,15350.0,15350.0,101.0,1550350.0,0.0,0.0,101.0,1550350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/08/2026,15350.0,15350.0,0.0,0.0,15350.0,15350.0,15350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,15350.0,15450.0,-100.0,-0.00647249,15400.0,15450.0,15350.0,5201.0,80151450.0,0.0,0.0,5201.0,80151450.0,500.0,0.0,0.0,-500.0,7725000.0,0.0,0.0,-7725000.0
05/08/2026,15450.0,15450.0,0.0,0.0,15450.0,15450.0,15450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/08/2026,15450.0,15450.0,0.0,0.0,15450.0,15450.0,15450.0,10.0,155500.0,0.0,0.0,10.0,155500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/08/2026,15450.0,15100.0,350.0,0.02317881,14150.0,15550.0,14150.0,300.0,4515000.0,0.0,0.0,300.0,4515000.0,-100.0,100.0,0.0,0.0,-1555000.0,1555000.0,0.0,0.0
31/07/2026,15100.0,15650.0,-550.0,-0.03514377,15000.0,15100.0,15000.0,5214.0,78318450.0,0.0,0.0,5214.0,78318450.0,4113.0,-4113.0,0.0,0.0,61693450.0,-61693450.0,0.0,0.0
30/07/2026,15650.0,15650.0,0.0,0.0,15650.0,15650.0,15650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/07/2026,15650.0,15650.0,0.0,0.0,15650.0,15650.0,15650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,15650.0,15750.0,-100.0,-0.00634921,15650.0,15650.0,15650.0,100.0,1565000.0,0.0,0.0,100.0,1565000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/07/2026,15750.0,15750.0,0.0,0.0,15700.0,15750.0,15700.0,210.0,3302000.0,0.0,0.0,210.0,3302000.0,90.0,-90.0,0.0,0.0,1418000.0,-1418000.0,0.0,0.0
24/07/2026,15750.0,15850.0,-100.0,-0.00630915,15700.0,15750.0,15600.0,4100.0,64370000.0,0.0,0.0,4100.0,64370000.0,2200.0,-2200.0,0.0,0.0,34540000.0,-34540000.0,0.0,0.0
23/07/2026,15850.0,15000.0,850.0,0.05666667,15850.0,15850.0,15850.0,101.0,1600300.0,0.0,0.0,101.0,1600300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
