NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,11600.0,11700.0,-100.0,-0.00854701,11850.0,11850.0,11500.0,20753.0,240367150.0,0.0,0.0,20753.0,240367150.0,-500.0,0.0,0.0,500.0,-5775000.0,0.0,0.0,5775000.0
28/08/2026,11700.0,11600.0,100.0,0.00862069,11750.0,11750.0,11600.0,21249.0,247829250.0,0.0,0.0,21249.0,247829250.0,-2600.0,2600.0,0.0,0.0,-30205000.0,30205000.0,0.0,0.0
27/08/2026,11600.0,11550.0,50.0,0.004329,11600.0,11650.0,11550.0,27618.0,320323600.0,0.0,0.0,27618.0,320323600.0,8023.0,-8023.0,0.0,0.0,93259651.0,-93259650.0,0.0,0.0
26/08/2026,11550.0,11600.0,-50.0,-0.00431034,11600.0,11600.0,11400.0,43063.0,495861000.0,0.0,0.0,43063.0,495861000.0,-9900.0,9900.0,0.0,0.0,-114045000.0,114045000.0,0.0,0.0
25/08/2026,11600.0,12000.0,-400.0,-0.03333333,12000.0,12000.0,11600.0,127607.0,1501211000.0,0.0,0.0,127607.0,1501211000.0,-33527.0,48527.0,0.0,-15000.0,-392231150.0,570781150.0,0.0,-178550000.0
24/08/2026,12000.0,12150.0,-150.0,-0.01234568,12150.0,12450.0,12000.0,42794.0,515995500.0,0.0,0.0,42794.0,515995500.0,-4380.0,4380.0,0.0,0.0,-53201000.0,53201000.0,0.0,0.0
21/08/2026,12150.0,12500.0,-350.0,-0.028,12300.0,12400.0,12000.0,156136.0,1894888600.0,0.0,0.0,156136.0,1894888600.0,58603.0,-12003.0,0.0,-46600.0,711597300.0,-145407300.0,0.0,-566190000.0
20/08/2026,12500.0,12500.0,0.0,0.0,12500.0,12800.0,12200.0,27052.0,340221050.0,0.0,0.0,27052.0,340221050.0,12907.0,-12907.0,0.0,0.0,163696701.0,-163696700.0,0.0,0.0
19/08/2026,12500.0,12850.0,-350.0,-0.02723735,12400.0,12950.0,12400.0,39592.0,497115350.0,0.0,0.0,39592.0,497115350.0,34836.0,-34836.0,0.0,0.0,436714751.0,-436714750.0,0.0,0.0
18/08/2026,12850.0,12900.0,-50.0,-0.00387597,12900.0,12900.0,12750.0,23534.0,301208700.0,0.0,0.0,23534.0,301208700.0,15413.0,-15913.0,0.0,500.0,196822451.0,-203272450.0,0.0,6450000.0
17/08/2026,12900.0,12900.0,0.0,0.0,12900.0,12900.0,12800.0,13197.0,170003000.0,0.0,0.0,13197.0,170003000.0,5972.0,-5972.0,0.0,0.0,77138450.0,-77138450.0,0.0,0.0
14/08/2026,12900.0,12900.0,0.0,0.0,13300.0,13300.0,12850.0,9956.0,128455900.0,1984660.0,26594444000.0,1994616.0,26722899900.0,6778.0,-6778.0,0.0,0.0,87138000.0,-87138001.0,0.0,0.0
13/08/2026,12900.0,13400.0,-500.0,-0.03731343,13050.0,13100.0,12900.0,29433.0,383267150.0,0.0,0.0,29433.0,383267150.0,21913.0,-21913.0,0.0,0.0,285045250.0,-285045250.0,0.0,0.0
12/08/2026,13400.0,13350.0,50.0,0.00374532,13150.0,13400.0,13000.0,148313.0,1973290300.0,0.0,0.0,148313.0,1973290300.0,-62957.0,64557.0,100000.0,-1600.0,-838500550.0,859510550.0,1340000000.0,-21010000.0
11/08/2026,13350.0,13250.0,100.0,0.00754717,13250.0,13450.0,13000.0,120393.0,1603779250.0,0.0,0.0,120393.0,1603779250.0,-76666.0,80666.0,100000.0,-4000.0,-1026606350.0,1079796350.0,1336450000.0,-53190000.0
10/08/2026,13250.0,13200.0,50.0,0.00378788,13200.0,13500.0,12800.0,206878.0,2758568000.0,0.0,0.0,206878.0,2758568000.0,-134676.0,135076.0,163100.0,-400.0,-1824099201.0,1829309200.0,2192330000.0,-5210000.0
07/08/2026,13200.0,13450.0,-250.0,-0.01858736,12650.0,13450.0,12650.0,84220.0,1085607450.0,0.0,0.0,84220.0,1085607450.0,-22603.0,22603.0,0.0,0.0,-291895500.0,291895500.0,0.0,0.0
06/08/2026,13450.0,12800.0,650.0,0.05078125,12900.0,13450.0,12600.0,319474.0,4235159200.0,0.0,0.0,319474.0,4235159200.0,-111619.0,113519.0,250000.0,-1900.0,-1483710450.0,1508650450.0,3315910000.0,-24940000.0
05/08/2026,12800.0,13050.0,-250.0,-0.01915709,13050.0,13050.0,12650.0,65633.0,840401000.0,0.0,0.0,65633.0,840401000.0,43492.0,-43094.0,0.0,-398.0,556208601.0,-551089600.0,0.0,-5119000.0
04/08/2026,13050.0,13050.0,0.0,0.0,13050.0,13100.0,12850.0,62109.0,804199850.0,0.0,0.0,62109.0,804199850.0,-8127.0,8871.0,0.0,-744.0,-106416000.0,116068600.0,0.0,-9652600.0
03/08/2026,13050.0,13150.0,-100.0,-0.00760456,13150.0,13400.0,13050.0,33272.0,436367300.0,0.0,0.0,33272.0,436367300.0,-478.0,478.0,0.0,0.0,-6243899.0,6243900.0,0.0,0.0
31/07/2026,13150.0,13200.0,-50.0,-0.00378788,13200.0,13200.0,12850.0,18843.0,246095900.0,0.0,0.0,18843.0,246095900.0,-871.0,871.0,0.0,0.0,-10952300.0,10952300.0,0.0,0.0
30/07/2026,13200.0,12900.0,300.0,0.02325581,12900.0,13450.0,12800.0,29277.0,382528200.0,0.0,0.0,29277.0,382528200.0,1776.0,-1776.0,0.0,0.0,22954000.0,-22954000.0,0.0,0.0
29/07/2026,12900.0,13000.0,-100.0,-0.00769231,13100.0,13150.0,12850.0,17119.0,222970750.0,0.0,0.0,17119.0,222970750.0,5797.0,-5797.0,0.0,0.0,75149750.0,-75149750.0,0.0,0.0
28/07/2026,13000.0,13950.0,-950.0,-0.06810036,13900.0,13900.0,13000.0,86536.0,1154584650.0,0.0,0.0,86536.0,1154584650.0,-14299.0,9899.0,0.0,4400.0,-186619351.0,129419350.0,0.0,57200000.0
27/07/2026,13950.0,13950.0,0.0,0.0,13500.0,13950.0,13450.0,33689.0,468946400.0,0.0,0.0,33689.0,468946400.0,7557.0,-7500.0,0.0,-57.0,105319500.0,-104550000.0,0.0,-769500.0
24/07/2026,13950.0,13950.0,0.0,0.0,13900.0,13950.0,13300.0,77600.0,1073615900.0,19846601.0,282814064250.0,19924201.0,283887680150.0,5092.0,-5092.0,0.0,0.0,67457500.0,-67457500.0,0.0,0.0
