NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,6600.0,6300.0,300.0,0.04761905,6300.0,6600.0,6300.0,700.0,4500000.0,0.0,0.0,700.0,4500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,6300.0,6740.0,-440.0,-0.0652819,6270.0,6300.0,6270.0,400.0,2515000.0,0.0,0.0,400.0,2515000.0,400.0,-400.0,0.0,0.0,2515000.0,-2515000.0,0.0,0.0
27/08/2026,6740.0,6750.0,-10.0,-0.00148148,6740.0,6740.0,6740.0,200.0,1348000.0,0.0,0.0,200.0,1348000.0,-100.0,100.0,0.0,0.0,-674000.0,674000.0,0.0,0.0
26/08/2026,6750.0,6870.0,-120.0,-0.01746725,6600.0,6750.0,6400.0,1202.0,7828740.0,0.0,0.0,1202.0,7828740.0,99.0,-99.0,0.0,0.0,598130.0,-598130.0,0.0,0.0
25/08/2026,6870.0,6870.0,0.0,0.0,6870.0,6870.0,6870.0,1.0,6870.0,0.0,0.0,1.0,6870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,6870.0,6470.0,400.0,0.0618238,6880.0,6880.0,6870.0,228.0,1567640.0,0.0,0.0,228.0,1567640.0,-100.0,100.0,0.0,0.0,-688000.0,688000.0,0.0,0.0
21/08/2026,6470.0,6470.0,0.0,0.0,6470.0,6470.0,6470.0,1.0,6470.0,0.0,0.0,1.0,6470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,6470.0,6150.0,320.0,0.05203252,6390.0,6470.0,6390.0,501.0,3212470.0,0.0,0.0,501.0,3212470.0,101.0,-101.0,0.0,0.0,653470.0,-653470.0,0.0,0.0
19/08/2026,6150.0,6150.0,0.0,0.0,6150.0,6150.0,6150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,6150.0,6150.0,0.0,0.0,6150.0,6150.0,6150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,6150.0,6150.0,0.0,0.0,6150.0,6150.0,6150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,6150.0,6150.0,0.0,0.0,6150.0,6150.0,6150.0,1000.0,6150000.0,0.0,0.0,1000.0,6150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,6150.0,6150.0,0.0,0.0,6150.0,6150.0,6150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,6150.0,6000.0,150.0,0.025,6140.0,6150.0,6140.0,1306.0,8030000.0,0.0,0.0,1306.0,8030000.0,700.0,-700.0,0.0,0.0,4305000.0,-4305000.0,0.0,0.0
11/08/2026,6000.0,6000.0,0.0,0.0,6000.0,6000.0,6000.0,211.0,1263970.0,0.0,0.0,211.0,1263970.0,198.0,-198.0,0.0,0.0,1188600.0,-1188600.0,0.0,0.0
10/08/2026,6000.0,5970.0,30.0,0.00502513,5970.0,6000.0,5970.0,400.0,2394000.0,0.0,0.0,400.0,2394000.0,200.0,-200.0,0.0,0.0,1200000.0,-1200000.0,0.0,0.0
07/08/2026,5970.0,6030.0,-60.0,-0.00995025,6010.0,6010.0,5970.0,904.0,5421940.0,0.0,0.0,904.0,5421940.0,900.0,-900.0,0.0,0.0,5398001.0,-5398000.0,0.0,0.0
06/08/2026,6030.0,6030.0,0.0,0.0,6030.0,6030.0,6030.0,5.0,30500.0,0.0,0.0,5.0,30500.0,-5.0,5.0,0.0,0.0,-30500.0,30500.0,0.0,0.0
05/08/2026,6030.0,6200.0,-170.0,-0.02741935,6310.0,6310.0,6020.0,401.0,2445030.0,0.0,0.0,401.0,2445030.0,199.0,-199.0,0.0,0.0,1199970.0,-1199970.0,0.0,0.0
04/08/2026,6200.0,6000.0,200.0,0.03333333,6000.0,6200.0,6000.0,2204.0,13244060.0,0.0,0.0,2204.0,13244060.0,100.0,-100.0,0.0,0.0,620000.0,-620000.0,0.0,0.0
03/08/2026,6000.0,6000.0,0.0,0.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,6000.0,6000.0,0.0,0.0,6000.0,6000.0,6000.0,200.0,1200000.0,0.0,0.0,200.0,1200000.0,-200.0,200.0,0.0,0.0,-1200000.0,1200000.0,0.0,0.0
30/07/2026,6000.0,6000.0,0.0,0.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/07/2026,6000.0,6000.0,0.0,0.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,6000.0,6050.0,-50.0,-0.00826446,6000.0,6000.0,6000.0,1000.0,6000000.0,0.0,0.0,1000.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/07/2026,6050.0,6090.0,-40.0,-0.00656814,6100.0,6100.0,6050.0,300.0,1820000.0,0.0,0.0,300.0,1820000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2026,6090.0,5960.0,130.0,0.02181208,5970.0,6300.0,5970.0,1800.0,10969000.0,0.0,0.0,1800.0,10969000.0,500.0,-500.0,0.0,0.0,2985000.0,-2985000.0,0.0,0.0
23/07/2026,5960.0,5960.0,0.0,0.0,5960.0,5960.0,5960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/07/2026,5960.0,5960.0,0.0,0.0,5960.0,5960.0,5960.0,300.0,1788000.0,0.0,0.0,300.0,1788000.0,300.0,-300.0,0.0,0.0,1788000.0,-1788000.0,0.0,0.0
21/07/2026,5960.0,6020.0,-60.0,-0.00996678,6290.0,6350.0,5960.0,1700.0,10495000.0,0.0,0.0,1700.0,10495000.0,400.0,-400.0,0.0,0.0,2540000.0,-2540000.0,0.0,0.0
20/07/2026,6020.0,6420.0,-400.0,-0.0623053,6430.0,6430.0,6000.0,5223.0,31670820.0,0.0,0.0,5223.0,31670820.0,400.0,-400.0,0.0,0.0,2389000.0,-2389000.0,0.0,0.0
