NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,58700.0,60100.0,-1400.0,-0.02329451,59600.0,59800.0,58700.0,8484195.0,501568091500.0,107000.0,6139000000.0,8591195.0,507707091500.0,3558954.0,0.0,83100.0,-3642054.0,210477405100.0,0.0,4881950000.0,-215359355100.0
28/08/2026,60100.0,60100.0,0.0,0.0,60200.0,60500.0,59800.0,3396852.0,204065259500.0,0.0,0.0,3396852.0,204065259500.0,84859.0,428281.0,9900.0,-513140.0,5107793701.0,25688570500.0,587100000.0,-30796364200.0
27/08/2026,60100.0,60300.0,-200.0,-0.00331675,60500.0,61400.0,60000.0,4916385.0,297654003700.0,21000.0,1339800000.0,4937385.0,298993803700.0,1013608.0,-425380.0,-900800.0,-588228.0,61530792700.0,-25809623500.0,-54505050000.0,-35721169200.0
26/08/2026,60300.0,59400.0,900.0,0.01515152,59200.0,60300.0,59200.0,7186521.0,430978006200.0,86000.0,5111000000.0,7272521.0,436089006200.0,1466740.0,-480450.0,129900.0,-986290.0,87971857000.0,-28882326700.0,7817720000.0,-59089530300.0
25/08/2026,59400.0,59200.0,200.0,0.00337838,59300.0,60200.0,59200.0,5589727.0,333968650000.0,390980.0,22335174000.0,5980707.0,356303824000.0,286157.0,54152.0,-104400.0,-340309.0,17130733600.0,3205943800.0,-6184220000.0,-20336677400.0
24/08/2026,59200.0,59100.0,100.0,0.00169205,60200.0,60500.0,59200.0,4788615.0,286432796000.0,369000.0,21589275000.0,5157615.0,308022071000.0,541676.0,239099.0,297500.0,-780775.0,32463726800.0,14335142400.0,17732000000.0,-46798869200.0
21/08/2026,59100.0,57800.0,1300.0,0.02249135,57800.0,59100.0,57500.0,4703479.0,275110544700.0,276000.0,16438000000.0,4979479.0,291548544700.0,830731.0,483468.0,17700.0,-1314199.0,48417914900.0,28272767100.0,1020080000.0,-76690682000.0
20/08/2026,57800.0,57400.0,400.0,0.00696864,57800.0,58100.0,57300.0,3016271.0,174086004900.0,0.0,0.0,3016271.0,174086004900.0,874961.0,-98521.0,-376500.0,-776440.0,50454572900.0,-5652807300.0,-21664000000.0,-44801765600.0
19/08/2026,57400.0,58000.0,-600.0,-0.01034483,58000.0,58200.0,57200.0,3780376.0,217276517900.0,0.0,0.0,3780376.0,217276517900.0,1000619.0,305673.0,22200.0,-1306292.0,57518104500.0,17546643900.0,1238350000.0,-75064748400.0
18/08/2026,58000.0,58200.0,-200.0,-0.00343643,58200.0,59000.0,57700.0,2899493.0,168978258400.0,90000.0,5391000000.0,2989493.0,174369258400.0,938310.0,108137.0,-107700.0,-1046447.0,54679728500.0,6346245700.0,-6287910000.0,-61025974200.0
17/08/2026,58200.0,58500.0,-300.0,-0.00512821,58300.0,58900.0,58200.0,2759859.0,161334410700.0,0.0,0.0,2759859.0,161334410700.0,-27190.0,444589.0,73900.0,-417399.0,-1564930000.0,25996431500.0,4297060000.0,-24431501500.0
14/08/2026,58500.0,59500.0,-1000.0,-0.01680672,59500.0,59600.0,58500.0,4818921.0,284154288100.0,90000.0,5487500000.0,4908921.0,289641788100.0,384330.0,521470.0,34300.0,-905800.0,22664975200.0,30683924800.0,2022910000.0,-53348900000.0
13/08/2026,59500.0,59700.0,-200.0,-0.00335008,59900.0,60500.0,59100.0,4594350.0,274867622300.0,57000.0,3429900000.0,4651350.0,278297522300.0,-66406.0,233177.0,132200.0,-166771.0,-3995778400.0,14089497900.0,7944430000.0,-10093719500.0
12/08/2026,59700.0,59800.0,-100.0,-0.00167224,59900.0,60300.0,59600.0,2391877.0,143456087100.0,0.0,0.0,2391877.0,143456087100.0,245673.0,120241.0,312800.0,-365914.0,14700712000.0,7257148000.0,18802200000.0,-21957860000.0
11/08/2026,59800.0,60300.0,-500.0,-0.00829187,60500.0,60800.0,59600.0,4079923.0,245677150700.0,134000.0,8117500000.0,4213923.0,253794650700.0,217750.0,202290.0,168200.0,-420040.0,13296983600.0,12153512400.0,10109190000.0,-25450496000.0
10/08/2026,60300.0,59700.0,600.0,0.01005025,60300.0,60500.0,59800.0,2725875.0,163940403500.0,0.0,0.0,2725875.0,163940403500.0,294122.0,50431.0,-6900.0,-344553.0,17719420200.0,2987559600.0,-420430000.0,-20706979800.0
07/08/2026,59700.0,59000.0,700.0,0.01186441,58700.0,60800.0,58700.0,6534673.0,393287251100.0,857000.0,51569400000.0,7391673.0,444856651100.0,315350.0,143594.0,175900.0,-458944.0,18861363400.0,8560044200.0,10593430000.0,-27421407600.0
06/08/2026,59000.0,59300.0,-300.0,-0.00505902,59500.0,59500.0,58500.0,2975574.0,175565056000.0,1650000.0,97845000000.0,4625574.0,273410056000.0,-227973.0,-451439.0,-83700.0,679412.0,-13477982000.0,-26679783600.0,-4955950000.0,40157765600.0
05/08/2026,59300.0,60000.0,-700.0,-0.01166667,60200.0,60600.0,59200.0,3675810.0,219462831100.0,1085000.0,69640000000.0,4760810.0,289102831100.0,-4232.0,-151368.0,231500.0,155600.0,-350662800.0,-8871387200.0,13999180000.0,9222050000.0
04/08/2026,60000.0,60800.0,-800.0,-0.01315789,60900.0,60900.0,59600.0,5107285.0,306522399200.0,113000.0,6715698000.0,5220285.0,313238097200.0,-816732.0,116644.0,97300.0,700088.0,-48985549801.0,6906213800.0,5748020000.0,42079336000.0
03/08/2026,60800.0,59300.0,1500.0,0.02529511,59600.0,61000.0,59300.0,7671066.0,463897931900.0,0.0,0.0,7671066.0,463897931900.0,-1528494.0,-724832.0,329200.0,2253326.0,-92500476501.0,-43871875100.0,19900700000.0,136372351600.0
31/07/2026,59300.0,56500.0,2800.0,0.04955752,57700.0,60400.0,57300.0,18337788.0,1086470768100.0,40000.0,2356000000.0,18377788.0,1088826768100.0,-5948856.0,1385331.0,396900.0,4563525.0,-353933762200.0,83692532200.0,23782800000.0,270241230000.0
30/07/2026,56500.0,54600.0,1900.0,0.03479853,55000.0,56700.0,54700.0,5439189.0,303885779500.0,0.0,0.0,5439189.0,303885779500.0,-790427.0,431397.0,349700.0,359030.0,-44175887900.0,23914712900.0,19245810000.0,20261175000.0
29/07/2026,54600.0,54100.0,500.0,0.00924214,54200.0,54700.0,54000.0,2079079.0,113028648800.0,0.0,0.0,2079079.0,113028648800.0,138128.0,94882.0,-83700.0,-233010.0,7435650600.0,5194942400.0,-4505710000.0,-12630593000.0
28/07/2026,54100.0,54000.0,100.0,0.00185185,53700.0,54600.0,53300.0,2621120.0,141722326100.0,0.0,0.0,2621120.0,141722326100.0,264070.0,89108.0,-79300.0,-353178.0,14326734001.0,4790041200.0,-4333610000.0,-19116775200.0
27/07/2026,54000.0,54100.0,-100.0,-0.00184843,54500.0,54800.0,53500.0,2605658.0,140988214100.0,20000.0,1150000000.0,2625658.0,142138214100.0,10485.0,-84948.0,-4300.0,74463.0,606469300.0,-4566957300.0,-205300000.0,3960488000.0
24/07/2026,54100.0,54000.0,100.0,0.00185185,54000.0,55300.0,53200.0,2515532.0,136597229500.0,1.0,50300.0,2515533.0,136597279800.0,134032.0,-359158.0,-261800.0,225126.0,7173399800.0,-19365074800.0,-14107990000.0,12191675000.0
23/07/2026,54000.0,54100.0,-47.0,-0.00086961,54100.0,54900.0,52600.0,7464625.0,399672560600.0,0.0,0.0,7464625.0,399672560600.0,1775381.0,-123401.0,-870600.0,-1651980.0,95427565400.0,-6937415400.0,-46759780000.0,-88490150000.0
22/07/2026,54047.65,56700.0,-2200.0,-0.03880071,56328.56,56626.07,54047.65,9207098.0,510372839400.0,0.0,0.0,9207098.0,510372839400.0,2314421.0,1327593.0,305800.0,-3642014.0,128531707401.0,73184924600.0,17042830000.0,-201716632000.0
21/07/2026,56229.39,56700.0,0.0,0.0,56229.39,56725.24,56130.22,3422678.0,194633980700.0,0.0,0.0,3422678.0,194633980700.0,196192.0,247651.0,22400.0,-443843.0,11198789201.0,14077855100.0,1276530000.0,-25276644300.0
20/07/2026,56229.39,58500.0,-1800.0,-0.03076923,58311.96,58311.96,55832.71,8570744.0,488802164300.0,1500000.0,92250000000.0,10070744.0,581052164300.0,1508274.0,1099435.0,429200.0,-2607709.0,86023016500.0,62748482500.0,24455550000.0,-148771499000.0
17/07/2026,58014.45,59400.0,-900.0,-0.01515152,58807.81,58807.81,58014.45,2005298.0,117950708000.0,0.0,0.0,2005298.0,117950708000.0,526465.0,111235.0,-161400.0,-637700.0,30987482301.0,6537377700.0,-9521060000.0,-37524860000.0
16/07/2026,58906.98,59200.0,200.0,0.00337838,58609.47,59303.66,57915.28,3363952.0,197985236400.0,0.0,0.0,3363952.0,197985236400.0,-165934.0,280634.0,95200.0,-114700.0,-9971637900.0,16526827600.0,5574470000.0,-6555189700.0
15/07/2026,58708.64,59200.0,0.0,0.0,58708.64,58906.98,58212.79,2645866.0,156103269400.0,30000.0,1653000000.0,2675866.0,157756269400.0,-55129.0,-80169.0,-86100.0,135298.0,-3283991700.0,-4737999900.0,-5095000000.0,8021991600.0
14/07/2026,58708.64,58900.0,300.0,0.00509338,58411.13,59006.15,58113.62,2836121.0,167701533100.0,1103000.0,65373707000.0,3939121.0,233075240100.0,232180.0,685621.0,168800.0,-917801.0,13675091600.0,40544780400.0,9984870000.0,-54219872000.0
13/07/2026,58411.13,60500.0,-1600.0,-0.02644628,59997.85,59997.85,58311.96,6813411.0,404461522700.0,0.0,0.0,6813411.0,404461522700.0,1014683.0,537043.0,314000.0,-1551726.0,60136289400.0,32119877400.0,18699500000.0,-92256166800.0
10/07/2026,59997.85,61100.0,-600.0,-0.00981997,60592.87,60989.55,59997.85,3027528.0,184214791600.0,835211.0,51648613029.0,3862739.0,235863404629.0,672926.0,77812.0,13400.0,-750738.0,40984194000.0,4656546500.0,838220000.0,-45640740500.0
