NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,293900.0,293900.0,0.0,0.0,293900.0,293900.0,293900.0,22.0,6451300.0,0.0,0.0,22.0,6451300.0,16.0,-16.0,0.0,0.0,4708100.0,-4708100.0,0.0,0.0
27/08/2026,293900.0,293800.0,100.0,0.00034037,293900.0,293900.0,293900.0,184.0,53851000.0,0.0,0.0,184.0,53851000.0,13.0,-13.0,0.0,0.0,3821700.0,-3821700.0,0.0,0.0
26/08/2026,293800.0,290100.0,3700.0,0.01275422,293800.0,293800.0,293800.0,334.0,98129200.0,0.0,0.0,334.0,98129200.0,295.0,-295.0,0.0,0.0,86671001.0,-86671000.0,0.0,0.0
25/08/2026,290100.0,293900.0,-3800.0,-0.01292957,294900.0,294900.0,290100.0,203.0,59385000.0,0.0,0.0,203.0,59385000.0,0.0,-100.0,0.0,100.0,0.0,-29490000.0,0.0,29490000.0
24/08/2026,293900.0,285600.0,8300.0,0.02906162,285800.0,293900.0,285800.0,303.0,87425000.0,0.0,0.0,303.0,87425000.0,100.0,-100.0,0.0,0.0,28580000.0,-28580000.0,0.0,0.0
21/08/2026,285600.0,285200.0,400.0,0.00140252,285700.0,285700.0,285600.0,201.0,57415500.0,0.0,0.0,201.0,57415500.0,100.0,-100.0,0.0,0.0,28570000.0,-28570000.0,0.0,0.0
20/08/2026,285200.0,285200.0,0.0,0.0,285200.0,285200.0,285200.0,101.0,28810100.0,0.0,0.0,101.0,28810100.0,1.0,-1.0,0.0,0.0,290100.0,-290100.0,0.0,0.0
19/08/2026,285200.0,285100.0,100.0,0.00035075,285200.0,285200.0,285200.0,104.0,29661400.0,0.0,0.0,104.0,29661400.0,-100.0,100.0,0.0,0.0,-28520000.0,28520000.0,0.0,0.0
18/08/2026,285100.0,295900.0,-10800.0,-0.03649882,295400.0,295400.0,285100.0,235.0,68490000.0,0.0,0.0,235.0,68490000.0,-28.0,28.0,0.0,0.0,-7340201.0,7340200.0,0.0,0.0
17/08/2026,295900.0,299900.0,-4000.0,-0.01333778,295900.0,295900.0,295900.0,131.0,38874700.0,0.0,0.0,131.0,38874700.0,3.0,-3.0,0.0,0.0,911700.0,-911700.0,0.0,0.0
