NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,15800.0,16000.0,-200.0,-0.0125,15900.0,16100.0,15750.0,2044046.0,32494085950.0,0.0,0.0,2044046.0,32494085950.0,0.0,0.0,0.0,-25828.0,0.0,0.0,0.0,-415491000.0
28/08/2026,16000.0,15950.0,50.0,0.0031348,15950.0,16050.0,15950.0,1664166.0,26604895200.0,0.0,0.0,1664166.0,26604895200.0,43412.0,59261.0,0.0,-102673.0,694600150.0,946329200.0,0.0,-1640929350.0
27/08/2026,15950.0,16150.0,-200.0,-0.0123839,16150.0,16250.0,15950.0,2056417.0,33017250050.0,0.0,0.0,2056417.0,33017250050.0,219243.0,-135151.0,0.0,-84092.0,3502935150.0,-2146481950.0,0.0,-1356453200.0
26/08/2026,16150.0,16150.0,0.0,0.0,16200.0,16200.0,16000.0,1903707.0,30635142800.0,25000.0,376250000.0,1928707.0,31011392800.0,119223.0,169577.0,0.0,-288800.0,1923287750.0,2731152250.0,0.0,-4654440000.0
25/08/2026,16150.0,16150.0,0.0,0.0,16150.0,16600.0,16100.0,5686465.0,93132449500.0,0.0,0.0,5686465.0,93132449500.0,851899.0,-805099.0,0.0,-46800.0,13882459000.0,-13144629000.0,0.0,-737830000.0
24/08/2026,16150.0,15900.0,250.0,0.01572327,16150.0,16250.0,15900.0,2206249.0,35440689150.0,0.0,0.0,2206249.0,35440689150.0,21469.0,-87945.0,400.0,66476.0,356680700.0,-1419781700.0,6440000.0,1063101000.0
21/08/2026,15900.0,15500.0,400.0,0.02580645,15450.0,15950.0,15450.0,1841335.0,29058259000.0,0.0,0.0,1841335.0,29058259000.0,-153435.0,-244565.0,0.0,398000.0,-2437374600.0,-3867705400.0,0.0,6305080000.0
20/08/2026,15500.0,15500.0,0.0,0.0,15600.0,15700.0,15400.0,993646.0,15433415350.0,0.0,0.0,993646.0,15433415350.0,-158636.0,172136.0,100000.0,-13500.0,-2461136900.0,2670456900.0,1550000000.0,-209320000.0
19/08/2026,15500.0,15800.0,-300.0,-0.01898734,15900.0,15900.0,15500.0,2279992.0,35617463600.0,0.0,0.0,2279992.0,35617463600.0,39871.0,-64871.0,-3.0,25000.0,648024450.0,-1043184450.0,-47000.0,395160000.0
18/08/2026,15800.0,15800.0,0.0,0.0,16000.0,16050.0,15800.0,1010360.0,15997325000.0,0.0,0.0,1010360.0,15997325000.0,63717.0,-77417.0,0.0,13700.0,1002157000.0,-1219812050.0,0.0,217655050.0
17/08/2026,15800.0,15800.0,0.0,0.0,15850.0,16000.0,15400.0,1632226.0,25794132750.0,0.0,0.0,1632226.0,25794132750.0,288772.0,-237172.0,400.0,-51600.0,4546687600.0,-3731922600.0,6320000.0,-814765000.0
14/08/2026,15800.0,15800.0,0.0,0.0,15800.0,15900.0,15700.0,2117486.0,33433389100.0,0.0,0.0,2117486.0,33433389100.0,-578878.0,620778.0,200.0,-41900.0,-9136238500.0,9798018500.0,3160000.0,-661780000.0
13/08/2026,15800.0,16150.0,-350.0,-0.02167183,16300.0,16300.0,15800.0,2355596.0,37608057600.0,0.0,0.0,2355596.0,37608057600.0,285327.0,-147557.0,0.0,-137770.0,4558098901.0,-2343415300.0,0.0,-2214683600.0
12/08/2026,16150.0,16000.0,150.0,0.009375,16100.0,16600.0,16050.0,3118816.0,50976417950.0,36060.0,537294000.0,3154876.0,51513711950.0,148252.0,-84852.0,-157800.0,-63400.0,2450721350.0,-1409601350.0,-2576925000.0,-1041120000.0
11/08/2026,16000.0,15950.0,50.0,0.0031348,16100.0,16200.0,15950.0,2204317.0,35363311850.0,0.0,0.0,2204317.0,35363311850.0,-86899.0,77798.0,8400.0,9101.0,-1393130500.0,1245384350.0,134875000.0,147746150.0
10/08/2026,15950.0,15650.0,300.0,0.01916933,15750.0,15950.0,15750.0,1498069.0,23755934850.0,0.0,0.0,1498069.0,23755934850.0,-142729.0,80429.0,-1300.0,62300.0,-2272844200.0,1279159200.0,-20605000.0,993685000.0
07/08/2026,15650.0,15650.0,0.0,0.0,15650.0,15950.0,15600.0,1756367.0,27673596500.0,0.0,0.0,1756367.0,27673596500.0,1403.0,47397.0,800.0,-48800.0,20911050.0,756193950.0,12680000.0,-777105000.0
06/08/2026,15650.0,15800.0,-150.0,-0.00949367,15850.0,15900.0,15650.0,1906429.0,30054170850.0,0.0,0.0,1906429.0,30054170850.0,-243568.0,217659.0,0.0,25909.0,-3872179750.0,3457459400.0,0.0,414720350.0
05/08/2026,15800.0,15900.0,-100.0,-0.00628931,16100.0,16100.0,15800.0,2487401.0,39702712750.0,0.0,0.0,2487401.0,39702712750.0,253736.0,30864.0,0.0,-284600.0,4041760200.0,510469800.0,0.0,-4552230000.0
04/08/2026,15900.0,15750.0,150.0,0.00952381,15900.0,16200.0,15900.0,3287617.0,52572215550.0,0.0,0.0,3287617.0,52572215550.0,691487.0,-70387.0,-100000.0,-621100.0,11068930501.0,-1117410500.0,-1594000000.0,-9951520000.0
03/08/2026,15750.0,15500.0,250.0,0.01612903,15500.0,16150.0,15400.0,3884728.0,61196972350.0,0.0,0.0,3884728.0,61196972350.0,172799.0,-129399.0,-1400.0,-43400.0,2828990100.0,-2111200100.0,-22330000.0,-717790000.0
31/07/2026,15500.0,15650.0,-150.0,-0.00958466,15800.0,15800.0,15500.0,2116675.0,33065282800.0,0.0,0.0,2116675.0,33065282800.0,357691.0,-394291.0,0.0,36600.0,5569986700.0,-6149521700.0,0.0,579535000.0
30/07/2026,15650.0,15100.0,550.0,0.03642384,15000.0,15800.0,15000.0,2928423.0,45416323600.0,0.0,0.0,2928423.0,45416323600.0,-591202.0,-14598.0,-1400.0,605800.0,-9155467250.0,-237367750.0,-21860000.0,9392835000.0
29/07/2026,15100.0,15350.0,-250.0,-0.01628664,15500.0,15500.0,14750.0,4813564.0,72378538550.0,0.0,0.0,4813564.0,72378538550.0,1494769.0,-1423969.0,0.0,-70800.0,22464753701.0,-21367328700.0,0.0,-1097425000.0
28/07/2026,15350.0,15300.0,50.0,0.00326797,14800.0,15600.0,14700.0,2425891.0,37201360700.0,0.0,0.0,2425891.0,37201360700.0,326032.0,-360732.0,0.0,34700.0,5003551200.0,-5549291200.0,0.0,545740000.0
27/07/2026,15300.0,15550.0,-250.0,-0.01607717,15550.0,15800.0,15300.0,1806797.0,28106500300.0,0.0,0.0,1806797.0,28106500300.0,18424.0,73676.0,0.0,-92100.0,308028550.0,1141666450.0,0.0,-1449695000.0
24/07/2026,15550.0,15800.0,-250.0,-0.01582278,15550.0,16100.0,15550.0,1858015.0,29316197250.0,0.0,0.0,1858015.0,29316197250.0,-74287.0,118587.0,0.0,-44300.0,-1200017150.0,1899557149.0,0.0,-699540000.0
23/07/2026,15800.0,15500.0,300.0,0.01935484,15500.0,15950.0,15300.0,2550181.0,39954458250.0,0.0,0.0,2550181.0,39954458250.0,316342.0,-433842.0,0.0,117500.0,4955036600.0,-6786276600.0,0.0,1831240000.0
22/07/2026,15500.0,15500.0,0.0,0.0,15500.0,15900.0,15350.0,3889319.0,60662822050.0,0.0,0.0,3889319.0,60662822050.0,553632.0,-533432.0,-43400.0,-20200.0,8671985099.0,-8325145100.0,-686310000.0,-346840000.0
21/07/2026,15500.0,15650.0,-150.0,-0.00958466,15700.0,15850.0,15450.0,2964609.0,46327090250.0,0.0,0.0,2964609.0,46327090250.0,779482.0,-443582.0,0.0,-335900.0,12147725850.0,-6889865850.0,0.0,-5257860000.0
20/07/2026,15650.0,16800.0,-1150.0,-0.06845238,16550.0,16550.0,15650.0,9965378.0,157969781150.0,0.0,0.0,9965378.0,157969781150.0,1472844.0,-1129818.0,40800.0,-343026.0,23096027300.0,-17639751500.0,638650000.0,-5456275800.0
17/07/2026,16800.0,17350.0,-550.0,-0.03170029,17350.0,17350.0,16800.0,3799999.0,64364564550.0,0.0,0.0,3799999.0,64364564550.0,1171644.0,-347444.0,-799600.0,-824200.0,19857499000.0,-5863424000.0,-13557480000.0,-13994075000.0
16/07/2026,17350.0,17750.0,-400.0,-0.02253521,17600.0,17800.0,16850.0,4130507.0,70890388850.0,0.0,0.0,4130507.0,70890388850.0,1576821.0,-1564617.0,-1796300.0,-12204.0,26898352401.0,-26652938600.0,-30643130000.0,-245413800.0
15/07/2026,17750.0,17600.0,150.0,0.00852273,17800.0,18250.0,17600.0,3852488.0,69226720400.0,0.0,0.0,3852488.0,69226720400.0,-170984.0,-523813.0,0.0,694797.0,-3085960750.0,-9398039650.0,0.0,12484000400.0
14/07/2026,17600.0,17600.0,8.0,0.00045475,17750.0,17950.0,17500.0,1966984.0,34787679750.0,0.0,0.0,1966984.0,34787679750.0,583130.0,-200704.0,-350800.0,-382426.0,10289261050.0,-3521136150.0,-6190925000.0,-6768124900.0
13/07/2026,17592.3,20300.0,-500.0,-0.02463054,18036.55,18125.4,17592.3,5673536.0,113450215500.0,0.0,0.0,5673536.0,113450215500.0,595500.0,-305899.0,50000.0,-289601.0,11928378400.0,-6123838000.0,1002500000.0,-5804540400.0
10/07/2026,18036.55,20750.0,-450.0,-0.02168675,18480.8,18525.225,18036.55,3848506.0,78750824900.0,0.0,0.0,3848506.0,78750824900.0,468457.0,-493615.0,0.0,25158.0,9600879800.0,-10119416700.0,0.0,518536900.0
09/07/2026,18436.375,20650.0,100.0,0.00484262,18214.25,18836.2,18080.975,5112620.0,106681848950.0,0.0,0.0,5112620.0,106681848950.0,-868577.0,-185794.0,250000.0,1054371.0,-18074880500.0,-4059928400.0,5160295000.0,22134808900.0
08/07/2026,18347.525,20450.0,200.0,0.00977995,18214.25,18480.8,18080.975,3004566.0,62020117400.0,655400.0,13501240000.0,3659966.0,75521357400.0,-314261.0,199076.0,0.0,115185.0,-6412446801.0,4089768550.0,0.0,2322678250.0
07/07/2026,18169.825,20150.0,300.0,0.01488834,17947.7,18258.675,17903.275,1941777.0,39471884550.0,0.0,0.0,1941777.0,39471884550.0,-30538.0,-138462.0,-400.0,169000.0,-604089551.0,-2818145450.0,-8140000.0,3422235000.0
06/07/2026,17903.275,20700.0,-550.0,-0.02657005,18391.95,18480.8,17814.425,4470246.0,91321472700.0,0.0,0.0,4470246.0,91321472700.0,-776986.0,588381.0,79600.0,188605.0,-15688594250.0,11934414250.0,1628360000.0,3754180000.0
03/07/2026,18391.95,21150.0,-450.0,-0.0212766,18747.35,18791.775,18303.1,4450823.0,92673322500.0,198.0,4098600.0,4451021.0,92677421100.0,911502.0,-1142602.0,102700.0,231100.0,18942315199.0,-23742805200.0,2143525000.0,4800490000.0
02/07/2026,18791.775,20950.0,200.0,0.00954654,18836.2,19324.875,18791.775,7126875.0,152360976100.0,0.0,0.0,7126875.0,152360976100.0,301844.0,-112394.0,150000.0,-189450.0,6375419901.0,-2318952400.0,3231290000.0,-4056467500.0
01/07/2026,18614.075,20800.0,150.0,0.00721154,18480.8,18925.05,18391.95,4842509.0,101197745350.0,0.0,0.0,4842509.0,101197745350.0,-181865.0,-376836.0,-333600.0,558701.0,-3759336851.0,-7896134150.0,-7038615000.0,11655471000.0
30/06/2026,18480.8,20950.0,-150.0,-0.0071599,18614.075,18836.2,18391.95,3770057.0,78895916400.0,0.0,0.0,3770057.0,78895916400.0,-615123.0,548183.0,200000.0,66940.0,-12883856500.0,11540018500.0,4198695000.0,1343838000.0
29/06/2026,18614.075,19600.0,1350.0,0.06887755,17592.3,18614.075,17592.3,11369685.0,233817108300.0,0.0,0.0,11369685.0,233817108300.0,-2552136.0,2252756.0,93400.0,299380.0,-52430980600.0,46368904600.0,1943970000.0,6062076000.0
