NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,30000.0,30450.0,-450.0,-0.01477833,30150.0,30300.0,30000.0,1385224.0,41760210300.0,0.0,0.0,1385224.0,41760210300.0,0.0,0.0,0.0,-7345.0,0.0,0.0,0.0,-203536300.0
28/08/2026,30450.0,30400.0,50.0,0.00164474,30350.0,30500.0,30100.0,2796924.0,84805410000.0,0.0,0.0,2796924.0,84805410000.0,544236.0,149055.0,40000.0,-693291.0,16514693700.0,4502925900.0,1212000000.0,-21017619600.0
27/08/2026,30400.0,30450.0,-50.0,-0.00164204,30500.0,30600.0,30300.0,1045390.0,31828080650.0,20000.0,567000000.0,1065390.0,32395080650.0,-41639.0,24939.0,1300.0,16700.0,-1265815500.0,755640500.0,39545000.0,510175000.0
26/08/2026,30450.0,30150.0,300.0,0.00995025,30050.0,30500.0,30000.0,2037097.0,61607044950.0,0.0,0.0,2037097.0,61607044950.0,205200.0,-173800.0,300.0,-31400.0,6161433900.0,-5232668900.0,9030000.0,-928765000.0
25/08/2026,30150.0,30350.0,-200.0,-0.00658979,30500.0,30700.0,30150.0,2793038.0,84830546400.0,0.0,0.0,2793038.0,84830546400.0,125319.0,-77919.0,0.0,-47400.0,3823379050.0,-2368884050.0,0.0,-1454495000.0
24/08/2026,30350.0,30400.0,-50.0,-0.00164474,30600.0,30900.0,30300.0,2361205.0,72162963000.0,5090784.0,157814304000.0,7451989.0,229977267000.0,161406.0,-78006.0,600.0,-83400.0,4957660850.0,-2374900850.0,18240000.0,-2582760000.0
21/08/2026,30400.0,29100.0,1300.0,0.04467354,29100.0,30400.0,29100.0,4773056.0,142804153700.0,0.0,0.0,4773056.0,142804153700.0,860226.0,180974.0,0.0,-1041200.0,25901627900.0,5356987100.0,0.0,-31258615000.0
20/08/2026,29100.0,29400.0,-300.0,-0.01020408,29350.0,29600.0,29100.0,1148846.0,33647459500.0,0.0,0.0,1148846.0,33647459500.0,270981.0,41619.0,0.0,-312600.0,7947970250.0,1214044750.0,0.0,-9162015000.0
19/08/2026,29400.0,29250.0,150.0,0.00512821,29200.0,29500.0,29100.0,1037842.0,30370482550.0,0.0,0.0,1037842.0,30370482550.0,117780.0,-2380.0,0.0,-115400.0,3450055750.0,-70340750.0,0.0,-3379715000.0
18/08/2026,29250.0,29550.0,-300.0,-0.01015228,29650.0,29650.0,29150.0,1687758.0,49537092300.0,0.0,0.0,1687758.0,49537092300.0,388601.0,-71801.0,0.0,-316800.0,11403012950.0,-2105247950.0,0.0,-9297765000.0
