NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,27550.0,29600.0,-2050.0,-0.06925676,29600.0,29600.0,27550.0,4602.0,130108300.0,0.0,0.0,4602.0,130108300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,29600.0,31750.0,-2150.0,-0.06771654,31750.0,31750.0,29550.0,3029.0,89807150.0,0.0,0.0,3029.0,89807150.0,2090.0,-2090.0,0.0,0.0,61751751.0,-61751750.0,0.0,0.0
27/08/2026,31750.0,32500.0,-750.0,-0.02307692,30500.0,31750.0,30250.0,3604.0,109515950.0,0.0,0.0,3604.0,109515950.0,200.0,-200.0,0.0,0.0,6005000.0,-6005000.0,0.0,0.0
26/08/2026,32500.0,32550.0,-50.0,-0.0015361,30300.0,32800.0,30300.0,5100.0,155415000.0,0.0,0.0,5100.0,155415000.0,-1500.0,1500.0,0.0,0.0,-45930000.0,45930000.0,0.0,0.0
25/08/2026,32550.0,34950.0,-2400.0,-0.06866953,32550.0,33500.0,32550.0,2802.0,91517350.0,0.0,0.0,2802.0,91517350.0,888.0,-894.0,0.0,6.0,28903700.0,-29099600.0,0.0,195900.0
24/08/2026,34950.0,33000.0,1950.0,0.05909091,35200.0,35200.0,34950.0,218.0,7647700.0,0.0,0.0,218.0,7647700.0,-107.0,107.0,0.0,0.0,-3741051.0,3741050.0,0.0,0.0
21/08/2026,33000.0,32400.0,600.0,0.01851852,34450.0,34450.0,33000.0,800.0,26545000.0,0.0,0.0,800.0,26545000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,32400.0,32500.0,-100.0,-0.00307692,30300.0,32400.0,30250.0,2401.0,72873000.0,0.0,0.0,2401.0,72873000.0,-2000.0,1900.0,0.0,100.0,-60310000.0,57285000.0,0.0,3025000.0
19/08/2026,32500.0,34250.0,-1750.0,-0.05109489,32500.0,32500.0,32500.0,615.0,20049000.0,0.0,0.0,615.0,20049000.0,-300.0,300.0,0.0,0.0,-9750000.0,9750000.0,0.0,0.0
18/08/2026,34250.0,36450.0,-2200.0,-0.06035665,34250.0,34250.0,34250.0,107.0,3663700.0,0.0,0.0,107.0,3663700.0,-100.0,100.0,0.0,0.0,-3425001.0,3425000.0,0.0,0.0
17/08/2026,36450.0,39000.0,-2550.0,-0.06538462,36450.0,36450.0,36450.0,118.0,4312350.0,0.0,0.0,118.0,4312350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,39000.0,39000.0,0.0,0.0,39000.0,39000.0,39000.0,37.0,1376350.0,0.0,0.0,37.0,1376350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,39000.0,37200.0,1800.0,0.0483871,38950.0,39000.0,38950.0,1024.0,39888050.0,0.0,0.0,1024.0,39888050.0,-999.0,999.0,0.0,0.0,-38957700.0,38957700.0,0.0,0.0
12/08/2026,37200.0,37200.0,0.0,0.0,37200.0,37200.0,37200.0,14.0,530500.0,2549520.0,101470896000.0,2549534.0,101471426500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,37200.0,39950.0,-2750.0,-0.06883605,37200.0,37200.0,37200.0,499.0,18563050.0,0.0,0.0,499.0,18563050.0,-245.0,69.0,0.0,176.0,-9114000.0,2566800.0,0.0,6547200.0
10/08/2026,39950.0,39950.0,0.0,0.0,39950.0,39950.0,39950.0,27.0,1031250.0,0.0,0.0,27.0,1031250.0,27.0,0.0,0.0,-27.0,1031250.0,0.0,0.0,-1031250.0
07/08/2026,39950.0,37500.0,2450.0,0.06533333,39950.0,39950.0,39950.0,103.0,4114900.0,4950181.0,198007240000.0,4950284.0,198011354900.0,0.0,100.0,100.0,-100.0,0.0,3995000.0,3995000.0,-3995000.0
06/08/2026,37500.0,37500.0,0.0,0.0,37500.0,37500.0,37500.0,52.0,1825000.0,0.0,0.0,52.0,1825000.0,-50.0,0.0,0.0,50.0,-1750000.0,0.0,0.0,1750000.0
05/08/2026,37500.0,39000.0,-1500.0,-0.03846154,36300.0,37500.0,36300.0,3658.0,134395600.0,0.0,0.0,3658.0,134395600.0,-600.0,600.0,100.0,0.0,-21925000.0,21925000.0,3750000.0,0.0
04/08/2026,39000.0,37500.0,1500.0,0.04,39000.0,39000.0,39000.0,100.0,3900000.0,0.0,0.0,100.0,3900000.0,-100.0,100.0,100.0,0.0,-3900000.0,3900000.0,3900000.0,0.0
03/08/2026,37500.0,37200.0,300.0,0.00806452,37500.0,37500.0,37500.0,100.0,3750000.0,0.0,0.0,100.0,3750000.0,-100.0,100.0,100.0,0.0,-3750000.0,3750000.0,3750000.0,0.0
31/07/2026,37200.0,40000.0,-2800.0,-0.07,37200.0,37500.0,37200.0,1200.0,44790000.0,0.0,0.0,1200.0,44790000.0,-500.0,500.0,0.0,0.0,-18600000.0,18600000.0,0.0,0.0
30/07/2026,40000.0,40000.0,0.0,0.0,40000.0,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/07/2026,40000.0,40000.0,0.0,0.0,40000.0,40000.0,40000.0,19.0,733000.0,0.0,0.0,19.0,733000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,40000.0,40000.0,0.0,0.0,39950.0,40000.0,39950.0,500.0,19995000.0,0.0,0.0,500.0,19995000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/07/2026,40000.0,38100.0,1900.0,0.04986877,35450.0,40000.0,35450.0,302.0,11226500.0,0.0,0.0,302.0,11226500.0,-1.0,1.0,100.0,0.0,-495750.0,495750.0,4000000.0,0.0
24/07/2026,38100.0,40950.0,-2850.0,-0.06959707,38100.0,38100.0,38100.0,210.0,8058000.0,0.0,0.0,210.0,8058000.0,-10.0,209.0,0.0,-199.0,-438000.0,8014200.0,0.0,-7576200.0
23/07/2026,40950.0,38300.0,2675.0,0.06988896,35650.0,40950.0,35650.0,210.0,8020000.0,0.0,0.0,210.0,8020000.0,200.0,-100.0,0.0,-100.0,7660000.0,-4095000.0,0.0,-3565000.0
22/07/2026,38275.5,50100.0,900.0,0.01796407,40226.8,40226.8,38275.5,1825.0,93852400.0,0.0,0.0,1825.0,93852400.0,-700.0,-200.0,0.0,900.0,-35440001.0,-10980000.0,0.0,46420000.0
21/07/2026,37600.05,50800.0,-700.0,-0.01377953,38125.4,38200.45,37600.05,705.0,35755000.0,0.0,0.0,705.0,35755000.0,-405.0,0.0,0.0,405.0,-20505000.0,0.0,0.0,20505000.0
