NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,44900.0,44800.0,100.0,0.00223214,44800.0,44900.0,44800.0,1028.0,46111300.0,0.0,0.0,1028.0,46111300.0,-6.0,-94.0,0.0,100.0,-305000.0,-4180000.0,0.0,4485000.0
27/08/2026,44800.0,44900.0,-100.0,-0.00222717,44900.0,44900.0,44800.0,600.0,26900000.0,0.0,0.0,600.0,26900000.0,-100.0,100.0,0.0,0.0,-4480000.0,4480000.0,0.0,0.0
26/08/2026,44900.0,44900.0,0.0,0.0,44800.0,44900.0,44800.0,1500.0,67295000.0,0.0,0.0,1500.0,67295000.0,-300.0,300.0,0.0,0.0,-13440000.0,13440000.0,0.0,0.0
25/08/2026,44900.0,45000.0,-100.0,-0.00222222,45000.0,45100.0,44900.0,1102.0,49615200.0,0.0,0.0,1102.0,49615200.0,-600.0,500.0,0.0,100.0,-27025001.0,22525000.0,0.0,4500000.0
24/08/2026,45000.0,44500.0,500.0,0.01123596,44550.0,45200.0,44500.0,2011.0,90227200.0,0.0,0.0,2011.0,90227200.0,-1500.0,1500.0,0.0,0.0,-67410001.0,67410000.0,0.0,0.0
21/08/2026,44500.0,44500.0,0.0,0.0,44500.0,44500.0,44500.0,2188.0,97584100.0,0.0,0.0,2188.0,97584100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,44500.0,44500.0,0.0,0.0,44500.0,44500.0,44500.0,312.0,13903200.0,0.0,0.0,312.0,13903200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,44500.0,44500.0,0.0,0.0,44500.0,44500.0,44500.0,101.0,4494400.0,0.0,0.0,101.0,4494400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,44500.0,44500.0,0.0,0.0,44500.0,44500.0,44500.0,1260.0,56070000.0,0.0,0.0,1260.0,56070000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,44500.0,45400.0,-900.0,-0.01982379,44200.0,45050.0,44200.0,3314.0,148395600.0,0.0,0.0,3314.0,148395600.0,3000.0,-3000.0,0.0,0.0,134350000.0,-134350000.0,0.0,0.0
14/08/2026,45400.0,45400.0,0.0,0.0,45400.0,45450.0,45000.0,3706.0,167894300.0,0.0,0.0,3706.0,167894300.0,-231.0,300.0,0.0,-69.0,-10388399.0,13515000.0,0.0,-3126600.0
13/08/2026,45400.0,45400.0,0.0,0.0,45400.0,45400.0,45400.0,10.0,454000.0,0.0,0.0,10.0,454000.0,10.0,-10.0,0.0,0.0,454000.0,-454000.0,0.0,0.0
12/08/2026,45400.0,45850.0,-450.0,-0.00981461,45650.0,45650.0,45200.0,7200.0,327070000.0,0.0,0.0,7200.0,327070000.0,-2500.0,2400.0,0.0,100.0,-113710000.0,109175000.0,0.0,4535000.0
11/08/2026,45850.0,46000.0,-150.0,-0.00326087,46000.0,46000.0,45700.0,3600.0,165080000.0,0.0,0.0,3600.0,165080000.0,-400.0,400.0,0.0,0.0,-18280000.0,18280000.0,0.0,0.0
10/08/2026,46000.0,45650.0,350.0,0.00766703,46000.0,46000.0,45550.0,429.0,19688700.0,0.0,0.0,429.0,19688700.0,-13.0,13.0,0.0,0.0,-598000.0,598000.0,0.0,0.0
07/08/2026,45650.0,45650.0,0.0,0.0,45600.0,45650.0,45050.0,2532.0,115187000.0,0.0,0.0,2532.0,115187000.0,-1300.0,1100.0,0.0,200.0,-59140000.0,50085000.0,0.0,9055000.0
06/08/2026,45650.0,45950.0,-300.0,-0.00652884,46000.0,46000.0,45600.0,7100.0,324700000.0,0.0,0.0,7100.0,324700000.0,0.0,100.0,0.0,-100.0,-5000.0,4560000.0,0.0,-4555000.0
05/08/2026,45950.0,45950.0,0.0,0.0,46000.0,46000.0,45600.0,7100.0,324425000.0,0.0,0.0,7100.0,324425000.0,-600.0,400.0,0.0,200.0,-27525000.0,18395000.0,0.0,9130000.0
04/08/2026,45950.0,46250.0,-300.0,-0.00648649,46250.0,46250.0,45750.0,4700.0,215860000.0,0.0,0.0,4700.0,215860000.0,-1200.0,1000.0,0.0,200.0,-55315000.0,46160000.0,0.0,9155000.0
03/08/2026,46250.0,46300.0,-50.0,-0.00107991,46500.0,46500.0,45900.0,27000.0,1243530000.0,0.0,0.0,27000.0,1243530000.0,-2200.0,1100.0,0.0,1100.0,-101295000.0,50705000.0,0.0,50590000.0
31/07/2026,46300.0,46000.0,300.0,0.00652174,46300.0,47000.0,46050.0,6784.0,315386300.0,0.0,0.0,6784.0,315386300.0,0.0,0.0,0.0,0.0,380000.0,-380000.0,0.0,0.0
30/07/2026,46000.0,46000.0,0.0,0.0,46000.0,46300.0,46000.0,6199.0,285682200.0,0.0,0.0,6199.0,285682200.0,-2900.0,1400.0,0.0,1500.0,-133840000.0,64465000.0,0.0,69375000.0
29/07/2026,46000.0,46000.0,0.0,0.0,46000.0,46000.0,45900.0,6301.0,289796100.0,0.0,0.0,6301.0,289796100.0,-5900.0,300.0,0.0,5600.0,-271360001.0,13790000.0,0.0,257570000.0
28/07/2026,46000.0,45800.0,200.0,0.00436681,45200.0,46000.0,45200.0,2300.0,105270000.0,107900.0,4596540000.0,110200.0,4701810000.0,-1000.0,-400.0,0.0,1400.0,-45650000.0,-18750000.0,0.0,64400000.0
27/07/2026,45800.0,45900.0,-100.0,-0.00217865,45800.0,47000.0,45800.0,10401.0,483532050.0,0.0,0.0,10401.0,483532050.0,-1800.0,1500.0,0.0,300.0,-82730000.0,68590000.0,0.0,14140000.0
24/07/2026,45900.0,46050.0,-150.0,-0.00325733,46050.0,46050.0,45700.0,2731.0,125468850.0,0.0,0.0,2731.0,125468850.0,1400.0,-1400.0,0.0,0.0,64275000.0,-64275000.0,0.0,0.0
23/07/2026,46050.0,46050.0,0.0,0.0,46050.0,46100.0,45650.0,14887.0,684932550.0,0.0,0.0,14887.0,684932550.0,-4213.0,-5587.0,0.0,9800.0,-194417450.0,-256887550.0,0.0,451305000.0
22/07/2026,46050.0,46050.0,0.0,0.0,46050.0,47100.0,45500.0,17703.0,827291000.0,0.0,0.0,17703.0,827291000.0,-15197.0,3897.0,0.0,11300.0,-711839000.0,180349000.0,0.0,531490000.0
21/07/2026,46050.0,46050.0,0.0,0.0,46050.0,46050.0,45900.0,1612.0,74207150.0,0.0,0.0,1612.0,74207150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/07/2026,46050.0,46300.0,-250.0,-0.00539957,46300.0,46300.0,46050.0,1949.0,90024000.0,0.0,0.0,1949.0,90024000.0,1800.0,-1800.0,0.0,0.0,83115000.0,-83115000.0,0.0,0.0
17/07/2026,46300.0,46300.0,0.0,0.0,46300.0,46300.0,46300.0,5500.0,254650000.0,0.0,0.0,5500.0,254650000.0,-2500.0,2500.0,0.0,0.0,-115750000.0,115750000.0,0.0,0.0
16/07/2026,46300.0,46500.0,-200.0,-0.00430108,46500.0,46500.0,46300.0,1271.0,58941500.0,100000.0,4325000000.0,101271.0,4383941500.0,-471.0,471.0,0.0,0.0,-21881500.0,21881500.0,0.0,0.0
15/07/2026,46500.0,46500.0,0.0,0.0,45900.0,46500.0,45900.0,10400.0,483505000.0,0.0,0.0,10400.0,483505000.0,-9800.0,900.0,0.0,8900.0,-455670000.0,41850000.0,0.0,413820000.0
