NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,40450.0,40700.0,-250.0,-0.00614251,40700.0,41000.0,40450.0,285292.0,11582046050.0,0.0,0.0,285292.0,11582046050.0,-46276.0,66576.0,95000.0,-20300.0,-1873290800.0,2699980800.0,3854425000.0,-826690000.0
27/08/2026,40700.0,41200.0,-500.0,-0.01213592,41250.0,41250.0,40600.0,172692.0,7038553550.0,0.0,0.0,172692.0,7038553550.0,58016.0,15184.0,0.0,-73200.0,2367951600.0,617868400.0,0.0,-2985820000.0
26/08/2026,41200.0,40450.0,750.0,0.01854141,40750.0,41850.0,40550.0,593279.0,24462767850.0,0.0,0.0,593279.0,24462767850.0,-170163.0,271063.0,0.0,-100900.0,-7040110950.0,11193750950.0,0.0,-4153640000.0
25/08/2026,40450.0,40900.0,-450.0,-0.01100245,40900.0,41150.0,40450.0,350210.0,14254924300.0,0.0,0.0,350210.0,14254924300.0,-178498.0,150398.0,140700.0,28100.0,-7255188200.0,6110343200.0,5717530000.0,1144845000.0
24/08/2026,40900.0,41100.0,-200.0,-0.00486618,41400.0,41500.0,40850.0,313872.0,12911165200.0,0.0,0.0,313872.0,12911165200.0,33811.0,-1211.0,0.0,-32600.0,1394551199.0,-53131200.0,0.0,-1341420000.0
21/08/2026,41100.0,40550.0,550.0,0.0135635,40600.0,41550.0,40400.0,450224.0,18484083050.0,0.0,0.0,450224.0,18484083050.0,57402.0,-24602.0,0.0,-32800.0,2373930050.0,-1011440050.0,0.0,-1362490000.0
20/08/2026,40550.0,40800.0,-250.0,-0.00612745,40900.0,41150.0,40500.0,267553.0,10896111850.0,0.0,0.0,267553.0,10896111850.0,-53860.0,173060.0,153500.0,-119200.0,-2189189301.0,7045889300.0,6250005000.0,-4856700000.0
19/08/2026,40800.0,40300.0,500.0,0.01240695,40300.0,40800.0,39500.0,278466.0,11248968550.0,0.0,0.0,278466.0,11248968550.0,-102083.0,79583.0,83800.0,22500.0,-4111361100.0,3206901100.0,3379840000.0,904460000.0
18/08/2026,40300.0,40300.0,0.0,0.0,40750.0,41000.0,40050.0,213817.0,8646248300.0,0.0,0.0,213817.0,8646248300.0,-38757.0,49457.0,60900.0,-10700.0,-1555952000.0,1993197000.0,2451820000.0,-437245000.0
17/08/2026,40300.0,40300.0,0.0,0.0,40300.0,40800.0,39900.0,165325.0,6651850250.0,0.0,0.0,165325.0,6651850250.0,-40050.0,26750.0,4000.0,13300.0,-1617747400.0,1079142400.0,160900000.0,538605000.0
14/08/2026,40300.0,40600.0,-300.0,-0.00738916,40400.0,41000.0,40000.0,659203.0,26609986600.0,1058100.0,40101990000.0,1717303.0,66711976600.0,-229945.0,311445.0,338400.0,-81500.0,-9270556000.0,12561776000.0,13653300000.0,-3291220000.0
13/08/2026,40600.0,40800.0,-200.0,-0.00490196,41000.0,41150.0,40550.0,342388.0,14000297500.0,0.0,0.0,342388.0,14000297500.0,-55345.0,34240.0,46700.0,21105.0,-2256576950.0,1391584450.0,1899490000.0,864992500.0
12/08/2026,40800.0,41000.0,-200.0,-0.00487805,41250.0,41250.0,40500.0,450464.0,18384314550.0,0.0,0.0,450464.0,18384314550.0,-209946.0,186546.0,168400.0,23400.0,-8551493450.0,7601198451.0,6866340000.0,950295000.0
11/08/2026,41000.0,41150.0,-150.0,-0.0036452,41450.0,41500.0,40050.0,354743.0,14552719400.0,0.0,0.0,354743.0,14552719400.0,-96448.0,19448.0,36500.0,77000.0,-3949140450.0,792660450.0,1494675000.0,3156480000.0
10/08/2026,41150.0,38500.0,2650.0,0.06883117,38800.0,41150.0,38750.0,1184743.0,48370581950.0,0.0,0.0,1184743.0,48370581950.0,-225809.0,152009.0,334900.0,73800.0,-9186817400.0,6178082400.0,13592065000.0,3008735000.0
07/08/2026,38500.0,37600.0,900.0,0.02393617,37750.0,40000.0,37750.0,488204.0,19030023450.0,0.0,0.0,488204.0,19030023450.0,-5487.0,-413.0,108500.0,5900.0,-195845701.0,-25234300.0,4221715000.0,221080000.0
06/08/2026,37600.0,38150.0,-550.0,-0.01441678,38200.0,38200.0,37300.0,527763.0,19941830300.0,0.0,0.0,527763.0,19941830300.0,-48104.0,83104.0,261900.0,-35000.0,-1846083850.0,3170588850.0,9910380000.0,-1324505000.0
05/08/2026,38150.0,38300.0,-150.0,-0.00391645,38650.0,38850.0,38100.0,179943.0,6895283900.0,0.0,0.0,179943.0,6895283900.0,-3208.0,33008.0,56000.0,-29800.0,-120591700.0,1257566700.0,2139655000.0,-1136975000.0
04/08/2026,38300.0,38300.0,0.0,0.0,38600.0,38650.0,38100.0,391063.0,14983721300.0,0.0,0.0,391063.0,14983721300.0,-4152.0,-79448.0,72900.0,83600.0,-154382300.0,-3048997700.0,2784535000.0,3203380000.0
03/08/2026,38300.0,37850.0,450.0,0.01188904,37850.0,38600.0,37850.0,401772.0,15400105750.0,0.0,0.0,401772.0,15400105750.0,62054.0,-112854.0,59000.0,50800.0,2378194300.0,-4320089300.0,2265250000.0,1941895000.0
31/07/2026,37850.0,37750.0,100.0,0.00264901,37900.0,37900.0,37300.0,381078.0,14337620700.0,0.0,0.0,381078.0,14337620700.0,-36171.0,-3765.0,159500.0,39936.0,-1353645200.0,-146521200.0,5995555000.0,1500166400.0
30/07/2026,37750.0,36500.0,1250.0,0.03424658,36600.0,37750.0,36450.0,334646.0,12410707650.0,0.0,0.0,334646.0,12410707650.0,12498.0,-44698.0,7000.0,32200.0,461456250.0,-1642171250.0,255500000.0,1180715000.0
29/07/2026,36500.0,35750.0,750.0,0.02097902,35750.0,36500.0,35500.0,388049.0,13979091300.0,0.0,0.0,388049.0,13979091300.0,-71108.0,-692.0,84000.0,71800.0,-2569527350.0,-13447650.0,3011065000.0,2582975000.0
28/07/2026,35750.0,34900.0,851.0,0.02438465,34000.0,35750.0,34000.0,496726.0,17315967250.0,0.0,0.0,496726.0,17315967250.0,-78246.0,66146.0,160100.0,12100.0,-2673929799.0,2251969800.0,5537425000.0,421960000.0
27/07/2026,34899.97,37500.0,-400.0,-0.01066667,35652.53,35746.6,34805.9,422529.0,15857503050.0,0.0,0.0,422529.0,15857503050.0,49294.0,42206.0,0.0,-91500.0,1844149700.0,1596075300.0,0.0,-3440225000.0
24/07/2026,35276.25,39100.0,-1600.0,-0.04092072,36311.02,36593.23,35276.25,334418.0,12689981650.0,0.0,0.0,334418.0,12689981650.0,10088.0,70412.0,0.0,-80500.0,388849300.0,2668750700.0,0.0,-3057600000.0
23/07/2026,36781.37,38550.0,550.0,0.01426719,35746.6,36781.37,34147.41,724809.0,27521830350.0,0.0,0.0,724809.0,27521830350.0,-136403.0,85903.0,0.0,50500.0,-5102799650.0,3185929650.0,0.0,1916870000.0
22/07/2026,36263.985,39000.0,-450.0,-0.01153846,36687.3,36922.475,35746.6,541360.0,20894443700.0,0.0,0.0,541360.0,20894443700.0,-15633.0,38333.0,182300.0,-22700.0,-576818701.0,1447288700.0,7033340000.0,-870470000.0
21/07/2026,36687.3,39000.0,0.0,0.0,36311.02,37016.545,35746.6,381006.0,14803604900.0,0.0,0.0,381006.0,14803604900.0,-185327.0,195527.0,143600.0,-10200.0,-7194033800.0,7585798800.0,5571275000.0,-391765000.0
20/07/2026,36687.3,41350.0,-2350.0,-0.05683192,38803.875,38897.945,36687.3,690473.0,27642941950.0,0.0,0.0,690473.0,27642941950.0,-151834.0,165734.0,0.0,-13900.0,-6168981301.0,6725456300.0,0.0,-556475000.0
17/07/2026,38897.945,41800.0,-450.0,-0.01076555,39039.05,39227.19,38756.84,203897.0,8446347650.0,0.0,0.0,203897.0,8446347650.0,11286.0,10914.0,0.0,-22200.0,465836300.0,452893700.0,0.0,-918730000.0
16/07/2026,39321.26,41500.0,300.0,0.00722892,38286.49,39462.365,38286.49,348481.0,14348074250.0,0.0,0.0,348481.0,14348074250.0,-50819.0,35519.0,0.0,15300.0,-2112368550.0,1489273550.0,0.0,623095000.0
