NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,52500.0,52100.0,400.0,0.00767754,52200.0,52500.0,52100.0,293711.0,15374276300.0,0.0,0.0,293711.0,15374276300.0,0.0,300.0,300.0,-57468.0,0.0,15750000.0,15750000.0,-3010613200.0
03/09/2026,52100.0,52100.0,0.0,0.0,52200.0,52200.0,51800.0,358189.0,18655954900.0,0.0,0.0,358189.0,18655954900.0,101453.0,0.0,1500.0,-102953.0,5289677200.0,0.0,78120000.0,-5367797200.0
28/08/2026,52100.0,52300.0,-200.0,-0.00382409,52300.0,52500.0,52100.0,206018.0,10761591900.0,0.0,0.0,206018.0,10761591900.0,29182.0,49198.0,0.0,-78380.0,1524996100.0,2569257900.0,0.0,-4094254000.0
27/08/2026,52300.0,52700.0,-400.0,-0.00759013,52800.0,52800.0,52300.0,171816.0,9008802300.0,0.0,0.0,171816.0,9008802300.0,38427.0,-16363.0,0.0,-22064.0,2014646600.0,-855720200.0,0.0,-1158926400.0
26/08/2026,52700.0,52700.0,0.0,0.0,52800.0,52800.0,52300.0,248166.0,13032643800.0,0.0,0.0,248166.0,13032643800.0,32278.0,24722.0,0.0,-57000.0,1692180100.0,1297169900.0,0.0,-2989350000.0
25/08/2026,52700.0,53000.0,-300.0,-0.00566038,53100.0,53400.0,52600.0,321632.0,17023809900.0,0.0,0.0,321632.0,17023809900.0,63795.0,31629.0,600.0,-95424.0,3386407301.0,1670669500.0,31800000.0,-5057076800.0
24/08/2026,53000.0,53000.0,0.0,0.0,53600.0,53600.0,52900.0,222690.0,11840087400.0,0.0,0.0,222690.0,11840087400.0,61910.0,28490.0,0.0,-90400.0,3290291800.0,1518688200.0,0.0,-4808980000.0
21/08/2026,53000.0,52500.0,500.0,0.00952381,52500.0,53000.0,52100.0,387313.0,20429308900.0,0.0,0.0,387313.0,20429308900.0,170698.0,-74598.0,0.0,-96100.0,9028196300.0,-3976216300.0,0.0,-5051980000.0
20/08/2026,52500.0,52600.0,-100.0,-0.00190114,52900.0,53100.0,52300.0,188996.0,9933249400.0,0.0,0.0,188996.0,9933249400.0,31604.0,-22904.0,0.0,-8700.0,1660297300.0,-1200667300.0,0.0,-459630000.0
19/08/2026,52600.0,53400.0,-800.0,-0.01498127,53400.0,53400.0,52500.0,414520.0,21897724200.0,0.0,0.0,414520.0,21897724200.0,-19328.0,186728.0,0.0,-167400.0,-1024015200.0,9859065200.0,0.0,-8835050000.0
18/08/2026,53400.0,54000.0,-600.0,-0.01111111,53800.0,54400.0,53400.0,301268.0,16223058400.0,0.0,0.0,301268.0,16223058400.0,-53912.0,145312.0,600.0,-91400.0,-2907091700.0,7834871700.0,32220000.0,-4927780000.0
17/08/2026,54000.0,54400.0,-400.0,-0.00735294,54500.0,54800.0,53600.0,314808.0,17002315500.0,0.0,0.0,314808.0,17002315500.0,5210.0,108790.0,0.0,-114000.0,273943899.0,5885156100.0,0.0,-6159100000.0
14/08/2026,54400.0,54100.0,300.0,0.00554529,55100.0,55800.0,54000.0,385096.0,21046414000.0,0.0,0.0,385096.0,21046414000.0,-776.0,56976.0,600.0,-56200.0,-50888400.0,3147308400.0,32910000.0,-3096420000.0
13/08/2026,54100.0,53100.0,1000.0,0.01883239,53800.0,55700.0,53800.0,1294898.0,70742968800.0,0.0,0.0,1294898.0,70742968800.0,96907.0,-137207.0,0.0,40300.0,5187094300.0,-7435444300.0,0.0,2248350000.0
12/08/2026,53100.0,52100.0,1000.0,0.01919386,52900.0,55300.0,52500.0,1185604.0,63860162900.0,0.0,0.0,1185604.0,63860162900.0,428864.0,-393164.0,200.0,-35700.0,23082695201.0,-21125805200.0,10700000.0,-1956890000.0
11/08/2026,52100.0,52100.0,0.0,0.0,52900.0,52900.0,52100.0,173208.0,9070743300.0,0.0,0.0,173208.0,9070743300.0,54711.0,1409.0,0.0,-56120.0,2863975800.0,83162200.0,0.0,-2947138000.0
10/08/2026,52100.0,51400.0,700.0,0.01361868,51400.0,53100.0,51400.0,442107.0,23219732800.0,0.0,0.0,442107.0,23219732800.0,68419.0,-106519.0,0.0,38100.0,3584125200.0,-5589595200.0,0.0,2005470000.0
