NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,73000.0,73800.0,-800.0,-0.01084011,74000.0,74000.0,72900.0,4584694.0,336017749100.0,793000.0,62567700000.0,5377694.0,398585449100.0,839984.0,-84024.0,-303400.0,-755960.0,61547055100.0,-6093145600.0,-22189920000.0,-55453909500.0
27/08/2026,73800.0,73600.0,200.0,0.00271739,74200.0,75200.0,73600.0,4611439.0,341963046000.0,235900.0,18565330000.0,4847339.0,360528376000.0,687413.0,-450723.0,-615700.0,-236690.0,51045136100.0,-33470219700.0,-45618080000.0,-17574916400.0
26/08/2026,73600.0,73600.0,0.0,0.0,73300.0,73800.0,72100.0,5362340.0,391099512200.0,0.0,0.0,5362340.0,391099512200.0,291916.0,547404.0,186900.0,-839320.0,21303727800.0,39983573600.0,13678290000.0,-61287301400.0
25/08/2026,73600.0,73400.0,200.0,0.0027248,73500.0,75200.0,72800.0,9285736.0,689529089600.0,0.0,0.0,9285736.0,689529089600.0,-987834.0,397762.0,-232700.0,590072.0,-73373348000.0,29489561600.0,-17347810000.0,43883786400.0
24/08/2026,73400.0,71700.0,1700.0,0.0237099,72900.0,73500.0,72400.0,6144736.0,447792182500.0,0.0,0.0,6144736.0,447792182500.0,-261850.0,166644.0,-36400.0,95206.0,-19350350000.0,12183932200.0,-2584100000.0,7166417800.0
21/08/2026,71700.0,69500.0,2200.0,0.03165468,69500.0,71900.0,68900.0,5122496.0,362562167000.0,4300000.0,298850000000.0,9422496.0,661412167000.0,-19208.0,-31735.0,6300.0,50943.0,-1780804000.0,-1653585300.0,1041540000.0,3434389300.0
20/08/2026,69500.0,69100.0,400.0,0.00578871,69600.0,70500.0,69100.0,4642591.0,324030762100.0,0.0,0.0,4642591.0,324030762100.0,602504.0,221567.0,436900.0,-824071.0,41886071400.0,15523271200.0,30534040000.0,-57409342600.0
19/08/2026,69100.0,69200.0,-100.0,-0.00144509,69400.0,69800.0,68600.0,2625805.0,181423044100.0,2037000.0,150738000000.0,4662805.0,332161044100.0,257981.0,-344872.0,166000.0,86891.0,17778931901.0,-23760199400.0,11470170000.0,5981267500.0
18/08/2026,69200.0,68200.0,1000.0,0.01466276,68500.0,70600.0,68300.0,4835288.0,334727758100.0,1069000.0,76764588000.0,5904288.0,411492346100.0,671450.0,44932.0,-81700.0,-716382.0,46568754600.0,2963191100.0,-5630960000.0,-49531945700.0
17/08/2026,68200.0,68200.0,0.0,0.0,68000.0,69800.0,66600.0,5001280.0,340595205500.0,3545500.0,247344980500.0,8546780.0,587940186000.0,1282715.0,459636.0,-151600.0,-1742351.0,87376722200.0,30987436100.0,-10501980000.0,-118364158300.0
