NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,15050.0,14700.0,350.0,0.02380952,14800.0,15150.0,14750.0,7135818.0,106962817900.0,4257002.0,64624427400.0,11392820.0,171587245300.0,0.0,284600.0,284600.0,2056000.0,0.0,4267360000.0,4267360000.0,30781580000.0
03/09/2026,14700.0,14950.0,-250.0,-0.01672241,14900.0,14900.0,14700.0,5529804.0,81914868150.0,1406700.0,22436865000.0,6936504.0,104351733150.0,260600.0,0.0,-142600.0,-118000.0,3846155000.0,0.0,-2110805000.0,-1735350000.0
28/08/2026,14950.0,14900.0,50.0,0.0033557,14900.0,15050.0,14800.0,5413174.0,80948638950.0,2841002.0,45086927800.0,8254176.0,126035566750.0,-186916.0,522716.0,477300.0,-335800.0,-2828305650.0,7853635650.0,7184600000.0,-5025330000.0
27/08/2026,14900.0,14650.0,250.0,0.01706485,14700.0,15150.0,14700.0,8004930.0,119351563000.0,7455003.0,110559040950.0,15459933.0,229910603950.0,85817.0,798683.0,1124720.0,-884500.0,1207582550.0,11955522450.0,16815060000.0,-13163105000.0
26/08/2026,14650.0,14650.0,0.0,0.0,14700.0,14800.0,14500.0,7826436.0,114858468600.0,4614144.0,71729403600.0,12440580.0,186587872200.0,-109385.0,-557310.0,325000.0,666695.0,-1588437399.0,-8227753850.0,4790600000.0,9816191250.0
25/08/2026,14650.0,14750.0,-100.0,-0.00677966,14750.0,14850.0,14600.0,3101838.0,45659188950.0,1.0,13750.0,3101839.0,45659202700.0,-264384.0,239088.0,-217290.0,25296.0,-3924651550.0,3547515350.0,-3186258000.0,377136200.0
24/08/2026,14750.0,14750.0,0.0,0.0,14900.0,14950.0,14700.0,4628327.0,68346992950.0,8098000.0,119650000000.0,12726327.0,187996992950.0,263157.0,-76357.0,-92370.0,-186800.0,3915889200.0,-1139274200.0,-1364147000.0,-2776615000.0
21/08/2026,14750.0,14400.0,350.0,0.02430556,14400.0,14800.0,14350.0,4769952.0,69548728350.0,4455002.0,66825026800.0,9224954.0,136373755150.0,54133.0,-571033.0,-31700.0,516900.0,802066800.0,-8362546800.0,-429940000.0,7560480000.0
20/08/2026,14400.0,14350.0,50.0,0.00348432,14400.0,14450.0,14350.0,3285070.0,47319210350.0,6202238.0,93033570000.0,9487308.0,140352780350.0,90145.0,-79232.0,350400.0,-10913.0,1287484200.0,-1131311350.0,5062265000.0,-156172850.0
19/08/2026,14350.0,14400.0,-50.0,-0.00347222,14400.0,14400.0,14200.0,2422207.0,34688793150.0,17974605.0,269888915000.0,20396812.0,304577708150.0,22803.0,225475.0,138563.0,-248278.0,329093751.0,3222295550.0,1990131000.0,-3551389300.0
18/08/2026,14400.0,14300.0,100.0,0.00699301,14350.0,14500.0,14250.0,2814689.0,40426767000.0,6202238.0,94894241400.0,9016927.0,135321008400.0,284403.0,158997.0,-196800.0,-443400.0,4082507900.0,2276257100.0,-2816580000.0,-6358765000.0
17/08/2026,14300.0,14400.0,-100.0,-0.00694444,14350.0,14500.0,14300.0,2883426.0,41545218600.0,12055703.0,173602120200.0,14939129.0,215147338800.0,-711056.0,495656.0,257600.0,215400.0,-10266068750.0,7157708750.0,3730285000.0,3108360000.0
14/08/2026,14400.0,14550.0,-150.0,-0.01030928,14500.0,14650.0,14400.0,4428478.0,64248769650.0,0.0,0.0,4428478.0,64248769650.0,335370.0,7431.0,-183300.0,-342801.0,4844099201.0,116475050.0,-2636355000.0,-4960574250.0
13/08/2026,14550.0,14800.0,-250.0,-0.01689189,14850.0,14900.0,14550.0,5423241.0,79650894100.0,500000.0,7350000000.0,5923241.0,87000894100.0,-1137418.0,966818.0,-131100.0,170600.0,-16671702550.0,14158452550.0,-1917070000.0,2513250000.0
12/08/2026,14800.0,14800.0,0.0,0.0,14850.0,14950.0,14750.0,2944037.0,43682406700.0,7253500.0,107915300000.0,10197537.0,151597706700.0,-767259.0,708959.0,254300.0,58300.0,-11384220450.0,10517550450.0,3800945000.0,866670000.0
11/08/2026,14800.0,14850.0,-50.0,-0.003367,14900.0,15050.0,14800.0,4517602.0,67456821650.0,500001.0,7500013850.0,5017603.0,74956835500.0,-518366.0,576066.0,140400.0,-57700.0,-7706098000.0,8567388000.0,2099845000.0,-861290000.0
10/08/2026,14850.0,14650.0,200.0,0.01365188,14750.0,14950.0,14650.0,4427888.0,65499811650.0,7200002.0,105120027300.0,11627890.0,170619838950.0,-431714.0,154114.0,188200.0,277600.0,-6392790200.0,2287975200.0,2783920000.0,4104815000.0
07/08/2026,14650.0,14550.0,100.0,0.00687285,14600.0,14750.0,14550.0,2944340.0,43168227200.0,13268300.0,199812915000.0,16212640.0,242981142200.0,-348687.0,152287.0,-119800.0,196400.0,-5112042700.0,2233272700.0,-1754250000.0,2878770000.0
06/08/2026,14550.0,14800.0,-250.0,-0.01689189,14800.0,14850.0,14550.0,4004610.0,58600074650.0,4716599.0,70538983800.0,8721209.0,129139058450.0,598119.0,219681.0,-160400.0,-817800.0,8757287051.0,3216897950.0,-2343740000.0,-11974185000.0
05/08/2026,14800.0,14800.0,0.0,0.0,14900.0,15200.0,14700.0,13611755.0,202771800100.0,5980002.0,89199027600.0,19591757.0,291970827700.0,3935402.0,-694640.0,-120400.0,-3240762.0,58516582301.0,-10216050350.0,-1742915000.0,-48300531950.0
04/08/2026,14800.0,14850.0,-50.0,-0.003367,14850.0,14900.0,14650.0,3431589.0,50612402400.0,11850847.0,185424618950.0,15282436.0,236037021350.0,954678.0,-188237.0,-112300.0,-766441.0,14095810701.0,-2787423900.0,-1654780000.0,-11308386800.0
