NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,14000.0,14050.0,-50.0,-0.00355872,14050.0,14200.0,14000.0,31867004.0,448109221600.0,13785300.0,192994200000.0,45652304.0,641103421600.0,0.0,-7180000.0,-7180000.0,-746416.0,0.0,-101024000000.0,-101024000000.0,-10489295600.0
03/09/2026,14050.0,14100.0,-50.0,-0.0035461,13950.0,14300.0,13900.0,31260899.0,441481060500.0,6400000.0,96000000000.0,37660899.0,537481060500.0,-3525523.0,0.0,100000.0,3425523.0,-49537173950.0,0.0,1410000000.0,48127173950.0
28/08/2026,14100.0,14250.0,-150.0,-0.01052632,14150.0,14350.0,13950.0,42447310.0,600406386500.0,1.0,13300.0,42447311.0,600406399800.0,1318985.0,3556892.0,0.0,-4875877.0,18529588900.0,50594938350.0,0.0,-69124527250.0
27/08/2026,14250.0,14350.0,-100.0,-0.00696864,14450.0,14650.0,14200.0,36722840.0,527421375850.0,9259630.0,139275600000.0,45982470.0,666696975850.0,1783492.0,2944149.0,603000.0,-4727641.0,25839251750.0,42380649650.0,8675990000.0,-68219901400.0
26/08/2026,14350.0,14100.0,250.0,0.0177305,14050.0,14450.0,13850.0,47836495.0,677799651600.0,5891200.0,88459160000.0,53727695.0,766258811600.0,4691545.0,-3944538.0,11400.0,-747007.0,66428639300.0,-55921563950.0,159600000.0,-10507075350.0
25/08/2026,14100.0,13800.0,300.0,0.02173913,13800.0,14350.0,13700.0,73706316.0,1033122294900.0,4641000.0,64356300000.0,78347316.0,1097478594900.0,-12438012.0,-110280.0,1044900.0,12548292.0,-173152773050.0,-1749252550.0,14601865000.0,174902025600.0
24/08/2026,13800.0,13500.0,300.0,0.02222222,14000.0,14250.0,13800.0,63698936.0,890641998700.0,30686600.0,406895040000.0,94385536.0,1297537038700.0,-1922886.0,-1514114.0,202300.0,3437000.0,-26999497000.0,-20941083000.0,2801970000.0,47940580000.0
21/08/2026,13500.0,12650.0,850.0,0.06719368,12650.0,13500.0,12650.0,51083433.0,675562470800.0,1951000.0,24538200000.0,53034433.0,700100670800.0,-3316226.0,2156436.0,-17500.0,1159790.0,-44636013149.0,29474228150.0,-224000000.0,15161785000.0
20/08/2026,12650.0,12500.0,150.0,0.012,12750.0,12900.0,12550.0,21233197.0,269944094500.0,3526000.0,47072100000.0,24759197.0,317016194500.0,5200004.0,571670.0,0.0,-5771674.0,66053967800.0,7340214100.0,0.0,-73394181900.0
19/08/2026,12476.44,13150.0,-50.0,-0.00380228,12476.44,12571.68,12285.96,27001908.0,351895175350.0,74000.0,1000600000.0,27075908.0,352895775350.0,-18643.0,-1762616.0,-104200.0,1781259.0,-255928400.0,-22893188800.0,-1349600000.0,23149117200.0
