NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,125600.0,125000.0,600.0,0.0048,125000.0,126500.0,124500.0,1232057.0,154529004400.0,0.0,0.0,1232057.0,154529004400.0,0.0,0.0,-26700.0,144323.0,0.0,0.0,-3336730000.0,18114814400.0
28/08/2026,125000.0,126500.0,-1500.0,-0.01185771,126600.0,126600.0,125000.0,1162752.0,146171473900.0,0.0,0.0,1162752.0,146171473900.0,110752.0,-81799.0,-100300.0,-28953.0,13784874100.0,-10171228600.0,-12562720000.0,-3613645500.0
27/08/2026,126500.0,127000.0,-500.0,-0.00393701,127000.0,128000.0,125300.0,1443632.0,182213079000.0,250000.0,31750000000.0,1693632.0,213963079000.0,-134766.0,186466.0,-120200.0,-51700.0,-17107741700.0,23628481700.0,-15153780000.0,-6520740000.0
26/08/2026,127000.0,124700.0,2300.0,0.01844427,124700.0,127500.0,124600.0,1514040.0,191151440100.0,960000.0,119712000000.0,2474040.0,310863440100.0,-734658.0,615187.0,71200.0,119471.0,-92568493200.0,77570712800.0,9002410000.0,14997780400.0
25/08/2026,124700.0,124500.0,200.0,0.00160643,124600.0,125100.0,123800.0,1513961.0,188751117100.0,0.0,0.0,1513961.0,188751117100.0,-136888.0,162943.0,-82400.0,-26055.0,-17081850301.0,20332587800.0,-10254830000.0,-3250737500.0
24/08/2026,124500.0,124500.0,0.0,0.0,125000.0,125400.0,124000.0,1400661.0,174402956200.0,0.0,0.0,1400661.0,174402956200.0,297136.0,-270336.0,-60700.0,-26800.0,37071322100.0,-33726762100.0,-7552960000.0,-3344560000.0
21/08/2026,124500.0,123400.0,1100.0,0.0089141,123000.0,125000.0,122100.0,1369252.0,168757151300.0,0.0,0.0,1369252.0,168757151300.0,54647.0,-20047.0,42400.0,-34600.0,6736464900.0,-2451834900.0,5334800000.0,-4284630000.0
20/08/2026,123400.0,123100.0,300.0,0.00243704,123300.0,124000.0,122300.0,1438225.0,176776732900.0,6442200.0,825171476400.0,7880425.0,1001948209300.0,-50446.0,158850.0,136200.0,-108404.0,-6229909400.0,19562442200.0,16760070000.0,-13332532800.0
19/08/2026,123100.0,123500.0,-400.0,-0.00323887,122900.0,123700.0,122200.0,1149386.0,141222758900.0,0.0,0.0,1149386.0,141222758900.0,-57686.0,164971.0,55900.0,-107285.0,-7123878300.0,20304251800.0,6863850000.0,-13180373500.0
18/08/2026,123500.0,123500.0,0.0,0.0,123500.0,124800.0,122100.0,1306908.0,160982480700.0,6836200.0,877766942000.0,8143108.0,1038749422700.0,211139.0,-179139.0,-67900.0,-32000.0,26000933200.0,-22052213200.0,-8334320000.0,-3948720000.0
17/08/2026,123500.0,123200.0,300.0,0.00243506,121500.0,124000.0,121500.0,1265704.0,155296368800.0,1060500.0,130653600000.0,2326204.0,285949968800.0,483375.0,-402975.0,72300.0,-80400.0,59303498600.0,-49460898600.0,8885460000.0,-9842600000.0
14/08/2026,123200.0,124900.0,-1700.0,-0.01361089,124300.0,125000.0,121700.0,1319056.0,162630300000.0,5893700.0,764082350000.0,7212756.0,926712650000.0,599910.0,-384730.0,-65300.0,-215180.0,73860852400.0,-47383869300.0,-7943350000.0,-26476983100.0
13/08/2026,124900.0,127700.0,-2800.0,-0.02192639,127900.0,127900.0,124800.0,1566324.0,198085986900.0,0.0,0.0,1566324.0,198085986900.0,-31758.0,251863.0,-46500.0,-220105.0,-4219246800.0,32011891300.0,-5826680000.0,-27792644500.0
12/08/2026,127700.0,127200.0,500.0,0.00393082,127300.0,128500.0,126100.0,1514482.0,192971513900.0,0.0,0.0,1514482.0,192971513900.0,759632.0,-629142.0,96200.0,-130490.0,96772309700.0,-80140015700.0,12287940000.0,-16632294000.0
11/08/2026,127200.0,125500.0,1700.0,0.01354582,125600.0,128000.0,125600.0,1396790.0,177368529100.0,176500.0,22150750000.0,1573290.0,199519279100.0,-527098.0,528348.0,18300.0,-1250.0,-66976779000.0,67148729000.0,2322560000.0,-171950000.0
10/08/2026,125500.0,125500.0,0.0,0.0,125700.0,126500.0,123600.0,1515373.0,190071557200.0,0.0,0.0,1515373.0,190071557200.0,-565903.0,524310.0,87800.0,41593.0,-71178829401.0,65940436300.0,11043840000.0,5238393100.0
07/08/2026,125500.0,126000.0,-500.0,-0.00396825,125700.0,126100.0,124800.0,1358173.0,170105368500.0,0.0,0.0,1358173.0,170105368500.0,95379.0,-76804.0,2100.0,-18575.0,11906940600.0,-9574608100.0,264130000.0,-2332332500.0
06/08/2026,126000.0,126100.0,-100.0,-0.00079302,126500.0,127000.0,125000.0,1468797.0,184772980900.0,1577700.0,202712362200.0,3046497.0,387485343100.0,979343.0,-949633.0,-9600.0,-29710.0,123194088700.0,-119445000700.0,-1202170000.0,-3749088000.0
05/08/2026,126100.0,126500.0,-400.0,-0.00316206,126800.0,128000.0,125300.0,1606146.0,202658606300.0,1557000.0,199991979000.0,3163146.0,402650585300.0,-517821.0,415521.0,-87400.0,102300.0,-65341629900.0,52485863600.0,-11020060000.0,12855766300.0
04/08/2026,126500.0,126600.0,-100.0,-0.00078989,126600.0,126600.0,124300.0,1548125.0,194040807000.0,0.0,0.0,1548125.0,194040807000.0,-132941.0,164554.0,-34500.0,-31613.0,-16682674600.0,20685086100.0,-4309310000.0,-4002411500.0
03/08/2026,126600.0,125000.0,1600.0,0.0128,125100.0,127000.0,123700.0,1083532.0,135909392600.0,0.0,0.0,1083532.0,135909392600.0,-222483.0,292083.0,90400.0,-69600.0,-28066415900.0,36776305900.0,11305990000.0,-8709890000.0
31/07/2026,125000.0,124200.0,800.0,0.00644122,124400.0,126500.0,123600.0,1448475.0,180860213200.0,0.0,0.0,1448475.0,180860213200.0,658360.0,-719670.0,-78660.0,61310.0,82289218400.0,-89970848400.0,-9782110000.0,7681630000.0
30/07/2026,124200.0,125500.0,-1300.0,-0.01035857,125000.0,126500.0,123200.0,1069533.0,133552881900.0,0.0,0.0,1069533.0,133552881900.0,143764.0,-172664.0,-138200.0,28900.0,17887899800.0,-21489439800.0,-17149010000.0,3601540000.0
29/07/2026,125500.0,123400.0,2100.0,0.01701783,122200.0,125500.0,118100.0,1339058.0,163272980400.0,546430.0,69983040000.0,1885488.0,233256020400.0,67651.0,47169.0,-139300.0,-114820.0,7724411800.0,5799422100.0,-16659810000.0,-13523833900.0
28/07/2026,123400.0,126000.0,-2600.0,-0.02063492,125500.0,127000.0,123300.0,971274.0,121271468100.0,450000.0,56700000000.0,1421274.0,177971468100.0,365687.0,-282681.0,-13600.0,-83006.0,45509603600.0,-35133666600.0,-1573390000.0,-10375937000.0
27/07/2026,126000.0,127400.0,-1400.0,-0.01098901,127000.0,129500.0,124200.0,1060967.0,134111503300.0,0.0,0.0,1060967.0,134111503300.0,-92261.0,80373.0,-15900.0,11888.0,-11274377501.0,9748130900.0,-1888470000.0,1526246600.0
24/07/2026,127400.0,127600.0,-200.0,-0.0015674,125800.0,127400.0,124500.0,831433.0,104383507600.0,3484700.0,444647720000.0,4316133.0,549031227600.0,-116453.0,-13421.0,-125400.0,129874.0,-14684308500.0,-1623098800.0,-15616110000.0,16307407300.0
23/07/2026,127600.0,126000.0,1600.0,0.01269841,127000.0,130000.0,126200.0,1206949.0,154364182300.0,868500.0,110807000000.0,2075449.0,265171182300.0,-21341.0,-7547.0,7900.0,28888.0,-2642759000.0,-1025108800.0,1141510000.0,3667867800.0
22/07/2026,126000.0,130800.0,-4800.0,-0.03669725,130800.0,131600.0,126000.0,1265973.0,163501953300.0,283000.0,37016400000.0,1548973.0,200518353300.0,-97048.0,525538.0,132800.0,-428490.0,-13096250800.0,67668155800.0,17350950000.0,-54571905000.0
21/07/2026,130800.0,132000.0,-1200.0,-0.00909091,130600.0,132000.0,130200.0,848411.0,110975787900.0,4130800.0,530682400000.0,4979211.0,641658187900.0,-34464.0,108864.0,57900.0,-74400.0,-4488952300.0,14213942300.0,7562490000.0,-9724990000.0
20/07/2026,132000.0,131300.0,700.0,0.0053313,131000.0,134600.0,128200.0,1114866.0,145949078500.0,0.0,0.0,1114866.0,145949078500.0,-115834.0,242741.0,188900.0,-126907.0,-15293940900.0,31932106000.0,24989680000.0,-16638165100.0
17/07/2026,131300.0,132500.0,-1200.0,-0.0090566,132000.0,132000.0,129700.0,982198.0,128694858800.0,116000.0,15370000000.0,1098198.0,144064858800.0,95904.0,-75004.0,-164814.0,-20900.0,12471180500.0,-9740190500.0,-21511047000.0,-2730990000.0
16/07/2026,132500.0,129700.0,2800.0,0.02158828,130000.0,132800.0,129800.0,936440.0,122894084700.0,0.0,0.0,936440.0,122894084700.0,334294.0,-306484.0,114500.0,-27810.0,43762546800.0,-40071896800.0,15081990000.0,-3690650000.0
