NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,13900.0,13500.0,400.0,0.02962963,13500.0,13900.0,13500.0,400.0,5520000.0,0.0,0.0,400.0,5520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,13500.0,13700.0,-200.0,-0.01459854,13700.0,13700.0,13500.0,1000.0,13580000.0,0.0,0.0,1000.0,13580000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,13700.0,13700.0,0.0,0.0,13700.0,13700.0,13700.0,800.0,10960000.0,0.0,0.0,800.0,10960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,13700.0,13700.0,0.0,0.0,13700.0,13700.0,13700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,13700.0,13950.0,-250.0,-0.01792115,13800.0,13800.0,13700.0,800.0,11020000.0,0.0,0.0,800.0,11020000.0,200.0,-200.0,0.0,0.0,2740000.0,-2740000.0,0.0,0.0
25/08/2026,13950.0,13950.0,0.0,0.0,13950.0,13950.0,13950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,13950.0,13950.0,0.0,0.0,13950.0,13950.0,13950.0,500.0,6975000.0,0.0,0.0,500.0,6975000.0,300.0,-300.0,0.0,0.0,4185000.0,-4185000.0,0.0,0.0
21/08/2026,13950.0,13950.0,0.0,0.0,13950.0,13950.0,13950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,13950.0,13950.0,0.0,0.0,13950.0,13950.0,13950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,13950.0,14000.0,-50.0,-0.00357143,13950.0,13950.0,13950.0,200.0,2790000.0,0.0,0.0,200.0,2790000.0,200.0,-200.0,0.0,0.0,2790000.0,-2790000.0,0.0,0.0
18/08/2026,14000.0,13600.0,400.0,0.02941176,14000.0,14000.0,14000.0,200.0,2800000.0,0.0,0.0,200.0,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,13600.0,13600.0,0.0,0.0,13600.0,13600.0,13600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,13600.0,14050.0,-450.0,-0.03202847,13600.0,13600.0,13600.0,1500.0,20400000.0,0.0,0.0,1500.0,20400000.0,1500.0,-1500.0,0.0,0.0,20400000.0,-20400000.0,0.0,0.0
13/08/2026,14050.0,14050.0,0.0,0.0,14050.0,14050.0,14050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,14050.0,14050.0,0.0,0.0,14050.0,14050.0,14050.0,200.0,2810000.0,0.0,0.0,200.0,2810000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,14050.0,13600.0,450.0,0.03308824,13600.0,14050.0,13600.0,700.0,9700000.0,0.0,0.0,700.0,9700000.0,100.0,-100.0,0.0,0.0,1315000.0,-1315000.0,0.0,0.0
10/08/2026,13600.0,13600.0,0.0,0.0,13600.0,13600.0,13600.0,400.0,5440000.0,0.0,0.0,400.0,5440000.0,300.0,-300.0,0.0,0.0,4080000.0,-4080000.0,0.0,0.0
07/08/2026,13600.0,13600.0,0.0,0.0,13600.0,13700.0,13600.0,1100.0,14990000.0,0.0,0.0,1100.0,14990000.0,900.0,-900.0,0.0,0.0,12270000.0,-12270000.0,0.0,0.0
06/08/2026,13600.0,13600.0,0.0,0.0,13600.0,13600.0,13600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/08/2026,13600.0,13600.0,0.0,0.0,13600.0,13600.0,13600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/08/2026,13600.0,13700.0,-100.0,-0.00729927,13600.0,13700.0,13500.0,7300.0,99080000.0,0.0,0.0,7300.0,99080000.0,-500.0,500.0,0.0,0.0,-6800000.0,6800000.0,0.0,0.0
