NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,16400.0,16650.0,-250.0,-0.01501502,16550.0,16600.0,16350.0,9000094.0,148084346150.0,110000.0,1958000000.0,9110094.0,150042346150.0,0.0,0.0,-334100.0,248079.0,0.0,0.0,-5510445000.0,4075302100.0
28/08/2026,16650.0,16750.0,-100.0,-0.00597015,16800.0,17000.0,16600.0,11018163.0,184762149100.0,3332000.0,59458800000.0,14350163.0,244220949100.0,3842342.0,-3256927.0,0.0,-585415.0,64370641250.0,-54581234250.0,0.0,-9789407000.0
27/08/2026,16750.0,16900.0,-150.0,-0.00887574,17000.0,17050.0,16650.0,7003393.0,117584889550.0,3382000.0,58994700000.0,10385393.0,176579589550.0,1995718.0,-1633418.0,109300.0,-362300.0,33431422651.0,-27339082650.0,1846925000.0,-6092340000.0
26/08/2026,16900.0,16750.0,150.0,0.00895522,16750.0,16900.0,16550.0,10080794.0,168633948750.0,1956200.0,35015980000.0,12036994.0,203649928750.0,-123998.0,-90587.0,236100.0,214585.0,-2224860500.0,-1414626000.0,3966380000.0,3639486500.0
25/08/2026,16750.0,16800.0,-50.0,-0.00297619,16800.0,17000.0,16700.0,13302967.0,223560562900.0,4404000.0,75441500000.0,17706967.0,299002062900.0,-3392860.0,2821255.0,0.0,571605.0,-57060824800.0,47433330250.0,0.0,9627494550.0
24/08/2026,16800.0,16900.0,-100.0,-0.00591716,17150.0,17200.0,16800.0,11132684.0,188882746000.0,3660000.0,58545000000.0,14792684.0,247427746000.0,424428.0,-457228.0,1100.0,32800.0,7211920900.0,-7757240900.0,18535000.0,545320000.0
21/08/2026,16900.0,15800.0,1100.0,0.06962025,15900.0,16900.0,15850.0,20540254.0,340549202250.0,1600000.0,26400000000.0,22140254.0,366949202250.0,-2488973.0,2016273.0,0.0,472700.0,-41818749450.0,34113659450.0,0.0,7705090000.0
20/08/2026,15800.0,15750.0,50.0,0.0031746,15950.0,16050.0,15700.0,4543428.0,72080430200.0,1400000.0,23590000000.0,5943428.0,95670430200.0,249996.0,317645.0,0.0,-567641.0,3956237300.0,5049872500.0,0.0,-9006109800.0
19/08/2026,15750.0,16000.0,-250.0,-0.015625,16000.0,16050.0,15650.0,7327631.0,115811446200.0,1840000.0,31003200000.0,9167631.0,146814646200.0,642987.0,-337438.0,0.0,-305549.0,10192577900.0,-5319208900.0,0.0,-4873369000.0
18/08/2026,16000.0,16150.0,-150.0,-0.00928793,16150.0,16350.0,15900.0,8600379.0,138635750550.0,0.0,0.0,8600379.0,138635750550.0,860584.0,-395016.0,0.0,-465568.0,13988500700.0,-6447854100.0,0.0,-7540646600.0
