NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,18750.0,18800.0,-50.0,-0.00265957,18800.0,18800.0,18750.0,6200.0,116385000.0,0.0,0.0,6200.0,116385000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,18800.0,18800.0,0.0,0.0,18800.0,18800.0,18800.0,1.0,19000.0,0.0,0.0,1.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,18800.0,18800.0,0.0,0.0,18900.0,18900.0,18800.0,9500.0,179000000.0,0.0,0.0,9500.0,179000000.0,-5500.0,5500.0,0.0,0.0,-103400000.0,103400000.0,0.0,0.0
26/08/2026,18800.0,18800.0,0.0,0.0,19000.0,19000.0,18800.0,1100.0,20700000.0,0.0,0.0,1100.0,20700000.0,-1000.0,1000.0,0.0,0.0,-18800000.0,18800000.0,0.0,0.0
25/08/2026,18800.0,18800.0,0.0,0.0,19000.0,19000.0,18800.0,20301.0,381679000.0,0.0,0.0,20301.0,381679000.0,-14900.0,14900.0,0.0,0.0,-280120000.0,280120000.0,0.0,0.0
24/08/2026,18800.0,18800.0,0.0,0.0,18800.0,18800.0,18800.0,11100.0,208680000.0,0.0,0.0,11100.0,208680000.0,2100.0,-2100.0,0.0,0.0,39480000.0,-39480000.0,0.0,0.0
21/08/2026,18800.0,18800.0,0.0,0.0,18800.0,18850.0,18800.0,28802.0,541482600.0,0.0,0.0,28802.0,541482600.0,-24002.0,28702.0,0.0,-4700.0,-451237600.0,539597600.0,0.0,-88360000.0
20/08/2026,18800.0,18800.0,0.0,0.0,18800.0,18800.0,18800.0,31311.0,588646800.0,0.0,0.0,31311.0,588646800.0,300.0,-300.0,0.0,0.0,5640000.0,-5640000.0,0.0,0.0
19/08/2026,18800.0,18800.0,0.0,0.0,18800.0,19000.0,18800.0,8900.0,167600000.0,0.0,0.0,8900.0,167600000.0,-7500.0,7500.0,0.0,0.0,-141000000.0,141000000.0,0.0,0.0
18/08/2026,18800.0,18900.0,-100.0,-0.00529101,19000.0,19000.0,18800.0,6614.0,124605500.0,0.0,0.0,6614.0,124605500.0,1300.0,0.0,0.0,-1300.0,24700000.0,0.0,0.0,-24700000.0
17/08/2026,18900.0,18850.0,50.0,0.00265252,18750.0,18900.0,18750.0,2100.0,39675000.0,0.0,0.0,2100.0,39675000.0,2100.0,-100.0,0.0,-2000.0,39675000.0,-1875000.0,0.0,-37800000.0
14/08/2026,18850.0,19200.0,-350.0,-0.01822917,19150.0,19150.0,18850.0,5100.0,96625000.0,0.0,0.0,5100.0,96625000.0,4000.0,-2000.0,0.0,-2000.0,75600000.0,-37900000.0,0.0,-37700000.0
13/08/2026,19200.0,18800.0,400.0,0.0212766,19200.0,19200.0,19200.0,102.0,1958500.0,0.0,0.0,102.0,1958500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,18800.0,18850.0,-50.0,-0.00265252,19200.0,19250.0,18700.0,12964.0,247033800.0,0.0,0.0,12964.0,247033800.0,5000.0,-5000.0,0.0,0.0,94000000.0,-94000000.0,0.0,0.0
11/08/2026,18850.0,19050.0,-200.0,-0.01049869,18750.0,18850.0,18750.0,4004.0,75176800.0,0.0,0.0,4004.0,75176800.0,1000.0,-1000.0,0.0,0.0,18850000.0,-18850000.0,0.0,0.0
10/08/2026,19050.0,19200.0,-150.0,-0.0078125,19250.0,19250.0,18650.0,11850.0,221673600.0,0.0,0.0,11850.0,221673600.0,-102.0,102.0,0.0,0.0,-1903400.0,1903400.0,0.0,0.0
07/08/2026,19200.0,19250.0,-50.0,-0.0025974,18750.0,19200.0,18750.0,1600.0,30045000.0,0.0,0.0,1600.0,30045000.0,1500.0,-1500.0,0.0,0.0,28125000.0,-28125000.0,0.0,0.0
06/08/2026,19250.0,19250.0,0.0,0.0,19250.0,19250.0,19250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
