NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,62300.0,62500.0,-200.0,-0.0032,62900.0,63000.0,62300.0,2390538.0,149644267400.0,0.0,0.0,2390538.0,149644267400.0,-28998.0,-387388.0,-506100.0,416386.0,-1920628200.0,-24161225400.0,-31607160000.0,26081853600.0
27/08/2026,62500.0,62800.0,-300.0,-0.00477707,62700.0,63200.0,62300.0,2655666.0,166358011600.0,0.0,0.0,2655666.0,166358011600.0,-53480.0,-103795.0,-539800.0,157275.0,-3385250400.0,-6492580600.0,-33773260000.0,9877831000.0
26/08/2026,62800.0,62600.0,200.0,0.00319489,62700.0,63500.0,62400.0,2408613.0,151506078300.0,3059.0,192116400.0,2411672.0,151698194700.0,-14949.0,-105812.0,-105530.0,120761.0,-1014754900.0,-6582209300.0,-6534589000.0,7596964200.0
25/08/2026,62600.0,63200.0,-600.0,-0.00949367,63100.0,63800.0,62500.0,3350705.0,211033672600.0,0.0,0.0,3350705.0,211033672600.0,279241.0,-536729.0,-680800.0,257488.0,17391605800.0,-33551275500.0,-42661540000.0,16159669700.0
24/08/2026,63200.0,63800.0,-600.0,-0.00940439,64000.0,64400.0,63200.0,3345776.0,212903094500.0,0.0,0.0,3345776.0,212903094500.0,201922.0,-675909.0,-450870.0,473987.0,12859691900.0,-43028881700.0,-28570696000.0,30169189800.0
21/08/2026,63800.0,64000.0,-200.0,-0.003125,64100.0,64100.0,63400.0,3589081.0,228846285500.0,0.0,0.0,3589081.0,228846285500.0,49771.0,-103517.0,121670.0,53746.0,3072137100.0,-6564163700.0,7775079000.0,3492026600.0
20/08/2026,64000.0,63100.0,900.0,0.01426307,63100.0,64300.0,62700.0,6323371.0,403808059800.0,500000.0,32586500000.0,6823371.0,436394559800.0,-1363222.0,718690.0,552200.0,644532.0,-87393458300.0,46139483100.0,35236910000.0,41253975200.0
19/08/2026,63100.0,62100.0,1000.0,0.01610306,61900.0,63200.0,61600.0,4675947.0,292962334800.0,0.0,0.0,4675947.0,292962334800.0,-901154.0,-76864.0,199900.0,978018.0,-56484699100.0,-4585061900.0,12478090000.0,61069761000.0
18/08/2026,62100.0,62200.0,-100.0,-0.00160772,62200.0,62600.0,61800.0,1850137.0,115002017000.0,500000.0,32750000000.0,2350137.0,147752017000.0,-180369.0,-298831.0,-183100.0,479200.0,-11253019400.0,-18542364800.0,-11350210000.0,29795384200.0
17/08/2026,62200.0,61600.0,600.0,0.00974026,61700.0,63000.0,61700.0,2973716.0,185566738100.0,0.0,0.0,2973716.0,185566738100.0,-672240.0,-62660.0,247360.0,734900.0,-41999690001.0,-3856860000.0,15427300000.0,45856550000.0
14/08/2026,61600.0,61600.0,0.0,0.0,61600.0,62600.0,61000.0,3670453.0,226615764300.0,560000.0,36476000000.0,4230453.0,263091764300.0,-29315.0,-546849.0,-248100.0,576164.0,-1937639900.0,-33654566500.0,-15229230000.0,35592206400.0
13/08/2026,61600.0,61800.0,-200.0,-0.00323625,61800.0,63000.0,61500.0,4265810.0,265881350400.0,0.0,0.0,4265810.0,265881350400.0,-286380.0,-217228.0,-103900.0,503608.0,-17904389701.0,-13526186700.0,-6410660000.0,31430576400.0
12/08/2026,61800.0,62000.0,-200.0,-0.00322581,61900.0,62500.0,61400.0,2761370.0,171298712300.0,60000.0,3732000000.0,2821370.0,175030712300.0,-689770.0,394833.0,308600.0,294937.0,-42886319700.0,24599087500.0,19188830000.0,18287232200.0
11/08/2026,62000.0,62100.0,-100.0,-0.00161031,62500.0,63300.0,61800.0,4486430.0,280409245500.0,0.0,0.0,4486430.0,280409245500.0,-1005301.0,38827.0,-542800.0,966474.0,-62824703000.0,2312037500.0,-33965700000.0,60512665500.0
10/08/2026,62100.0,62000.0,100.0,0.0016129,61600.0,62700.0,61600.0,3492900.0,217361051800.0,0.0,0.0,3492900.0,217361051800.0,-725744.0,-299682.0,-230930.0,1025426.0,-45157198600.0,-18612909200.0,-14359618000.0,63770107800.0
07/08/2026,62000.0,59000.0,3000.0,0.05084746,59000.0,63100.0,59000.0,13262368.0,823034035400.0,500000.0,31550000000.0,13762368.0,854584035400.0,-3411981.0,829667.0,-44200.0,2582314.0,-212373163299.0,51671493500.0,-2479810000.0,160701669800.0
06/08/2026,59000.0,58600.0,400.0,0.00682594,58700.0,59600.0,58600.0,3241025.0,191564931500.0,0.0,0.0,3241025.0,191564931500.0,400164.0,12474.0,-289000.0,-412638.0,23631349200.0,759871100.0,-17076020000.0,-24391220300.0
05/08/2026,58600.0,59500.0,-900.0,-0.01512605,59400.0,60100.0,58600.0,5298419.0,312388902200.0,500000.0,31800000000.0,5798419.0,344188902200.0,1350886.0,-126908.0,-47600.0,-1223978.0,79774148799.0,-7405797400.0,-2679250000.0,-72368351400.0
04/08/2026,59500.0,60300.0,-800.0,-0.013267,60400.0,60400.0,59000.0,5540657.0,329501615800.0,0.0,0.0,5540657.0,329501615800.0,1340088.0,603592.0,47020.0,-1943680.0,79650588300.0,35982124700.0,2722758000.0,-115632713000.0
03/08/2026,60300.0,60900.0,-600.0,-0.00985222,60900.0,61000.0,60000.0,6395248.0,385829741900.0,986400.0,59494971200.0,7381648.0,445324713100.0,-758900.0,832545.0,582000.0,-73645.0,-45733938201.0,50227759500.0,35188540000.0,-4493821300.0
31/07/2026,60900.0,61200.0,-300.0,-0.00490196,61200.0,61300.0,60100.0,4486012.0,271399769000.0,0.0,0.0,4486012.0,271399769000.0,-495001.0,-278773.0,-22300.0,773774.0,-30055192400.0,-16704291600.0,-1321480000.0,46759484000.0
30/07/2026,61200.0,60000.0,1200.0,0.02,60300.0,61400.0,59800.0,6956906.0,423882645900.0,0.0,0.0,6956906.0,423882645900.0,-2473204.0,-118974.0,-286900.0,2592178.0,-150756632199.0,-7114407200.0,-17386490000.0,157871039400.0
29/07/2026,60000.0,59600.0,400.0,0.00671141,59900.0,61000.0,59400.0,6214020.0,374001971600.0,0.0,0.0,6214020.0,374001971600.0,-453220.0,-123482.0,-458850.0,576702.0,-27296725600.0,-7436892900.0,-27565050000.0,34733618500.0
28/07/2026,59600.0,57900.0,1700.0,0.02936097,57700.0,59600.0,57700.0,5265624.0,310799516300.0,0.0,0.0,5265624.0,310799516300.0,-1593939.0,-618680.0,-230900.0,2212619.0,-94007237600.0,-36281359600.0,-13407090000.0,130288597200.0
27/07/2026,57900.0,58900.0,-1000.0,-0.01697793,59200.0,59800.0,57900.0,3682208.0,216627642000.0,0.0,0.0,3682208.0,216627642000.0,696027.0,-546273.0,-322500.0,-149754.0,40586695001.0,-31863467300.0,-18754830000.0,-8723227700.0
24/07/2026,58900.0,57800.0,1100.0,0.01903114,58500.0,59500.0,58300.0,4183478.0,246357300300.0,0.0,0.0,4183478.0,246357300300.0,280189.0,-681375.0,-313370.0,401186.0,16551908300.0,-40123989301.0,-18460554000.0,23572081000.0
23/07/2026,57800.0,59100.0,-1300.0,-0.02199662,59100.0,59100.0,56900.0,4834328.0,279182694500.0,0.0,0.0,4834328.0,279182694500.0,-62979.0,132150.0,177000.0,-69171.0,-3695984800.0,7570982800.0,10174500000.0,-3874998000.0
