NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,6900.0,7000.0,-100.0,-0.01428571,7000.0,7000.0,6900.0,4400.0,30481000.0,0.0,0.0,4400.0,30481000.0,0.0,0.0,0.0,-200.0,0.0,0.0,0.0,-1400000.0
28/08/2026,7000.0,7000.0,0.0,0.0,7000.0,7000.0,7000.0,200.0,1400000.0,0.0,0.0,200.0,1400000.0,-100.0,100.0,0.0,0.0,-700000.0,700000.0,0.0,0.0
27/08/2026,7000.0,7100.0,-100.0,-0.01408451,7100.0,7100.0,7000.0,2600.0,18229000.0,0.0,0.0,2600.0,18229000.0,-800.0,800.0,0.0,0.0,-5584000.0,5584000.0,0.0,0.0
26/08/2026,7100.0,7100.0,0.0,0.0,7000.0,7100.0,6900.0,3724.0,25781000.0,0.0,0.0,3724.0,25781000.0,-3502.0,3302.0,0.0,200.0,-24234000.0,22854000.0,0.0,1380000.0
25/08/2026,7100.0,7150.0,-50.0,-0.00699301,7150.0,7150.0,7010.0,4001.0,28403150.0,0.0,0.0,4001.0,28403150.0,-2400.0,2400.0,0.0,0.0,-17090000.0,17090000.0,0.0,0.0
24/08/2026,7150.0,7150.0,0.0,0.0,7150.0,7150.0,7150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,7150.0,7140.0,10.0,0.00140056,7150.0,7150.0,7150.0,1000.0,7150000.0,0.0,0.0,1000.0,7150000.0,-1000.0,1000.0,0.0,0.0,-7150000.0,7150000.0,0.0,0.0
20/08/2026,7140.0,7150.0,-10.0,-0.0013986,7140.0,7140.0,7140.0,1101.0,7861300.0,0.0,0.0,1101.0,7861300.0,-1000.0,1000.0,0.0,0.0,-7140000.0,7140000.0,0.0,0.0
19/08/2026,7150.0,7190.0,-40.0,-0.00556328,7190.0,7190.0,7150.0,2100.0,15019000.0,0.0,0.0,2100.0,15019000.0,-2000.0,2000.0,0.0,0.0,-14300000.0,14300000.0,0.0,0.0
18/08/2026,7190.0,7150.0,40.0,0.00559441,6920.0,7190.0,6910.0,802.0,5572300.0,0.0,0.0,802.0,5572300.0,-1.0,1.0,0.0,0.0,-7150.0,7150.0,0.0,0.0
17/08/2026,7150.0,7150.0,0.0,0.0,7150.0,7150.0,7150.0,7000.0,50050000.0,0.0,0.0,7000.0,50050000.0,4800.0,-4700.0,0.0,-100.0,34320000.0,-33605000.0,0.0,-715000.0
14/08/2026,7150.0,7150.0,0.0,0.0,7070.0,7150.0,7000.0,1806.0,12768770.0,0.0,0.0,1806.0,12768770.0,500.0,600.0,0.0,-1100.0,3521000.0,4200000.0,0.0,-7721000.0
13/08/2026,7150.0,7150.0,0.0,0.0,7120.0,7150.0,7120.0,3414.0,24407050.0,0.0,0.0,3414.0,24407050.0,3149.0,-3049.0,0.0,-100.0,22515350.0,-21803350.0,0.0,-712000.0
12/08/2026,7150.0,7150.0,0.0,0.0,7170.0,7170.0,7140.0,36101.0,258134150.0,0.0,0.0,36101.0,258134150.0,2199.0,-2299.0,0.0,100.0,15729851.0,-16443850.0,0.0,714000.0
11/08/2026,7150.0,7150.0,0.0,0.0,7300.0,7300.0,7110.0,22680.0,162087000.0,0.0,0.0,22680.0,162087000.0,-21.0,21.0,0.0,0.0,-60150.0,60150.0,0.0,0.0
10/08/2026,7150.0,7390.0,-240.0,-0.03247632,7590.0,7590.0,7150.0,69773.0,500844150.0,0.0,0.0,69773.0,500844150.0,25459.0,-18699.0,0.0,-6760.0,182718350.0,-134115630.0,0.0,-48602720.0
07/08/2026,7390.0,7400.0,-10.0,-0.00135135,7400.0,7400.0,7330.0,13206.0,97297900.0,0.0,0.0,13206.0,97297900.0,900.0,-800.0,0.0,-100.0,6635000.0,-5896000.0,0.0,-739000.0
06/08/2026,7400.0,7500.0,-100.0,-0.01333333,7420.0,7420.0,7400.0,13701.0,101499500.0,0.0,0.0,13701.0,101499500.0,1700.0,-1700.0,0.0,0.0,12612000.0,-12612000.0,0.0,0.0
05/08/2026,7500.0,7590.0,-90.0,-0.01185771,7500.0,7500.0,7490.0,14602.0,109514090.0,0.0,0.0,14602.0,109514090.0,-101.0,101.0,0.0,0.0,-757500.0,757500.0,0.0,0.0
04/08/2026,7590.0,7470.0,120.0,0.01606426,7590.0,7590.0,7590.0,112.0,848420.0,0.0,0.0,112.0,848420.0,-1.0,1.0,0.0,0.0,-7471.0,7470.0,0.0,0.0
03/08/2026,7470.0,7500.0,-30.0,-0.004,7550.0,7550.0,7460.0,11601.0,86915500.0,0.0,0.0,11601.0,86915500.0,1000.0,-900.0,0.0,-100.0,7516000.0,-6756000.0,0.0,-760000.0
31/07/2026,7500.0,7700.0,-200.0,-0.02597403,7600.0,7600.0,7480.0,6863.0,51531900.0,0.0,0.0,6863.0,51531900.0,-5000.0,5000.0,0.0,0.0,-37522000.0,37522000.0,0.0,0.0
30/07/2026,7700.0,7800.0,-100.0,-0.01282051,7820.0,7900.0,7700.0,504.0,3945640.0,0.0,0.0,504.0,3945640.0,-300.0,400.0,0.0,-100.0,-2353001.0,3143000.0,0.0,-790000.0
29/07/2026,7800.0,7650.0,150.0,0.01960784,7800.0,7800.0,7800.0,101.0,787650.0,0.0,0.0,101.0,787650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,7650.0,7510.0,140.0,0.01864181,7510.0,7650.0,7500.0,7100.0,54009000.0,0.0,0.0,7100.0,54009000.0,900.0,1100.0,0.0,-2000.0,6765000.0,8244000.0,0.0,-15009000.0
27/07/2026,7510.0,7720.0,-210.0,-0.02720207,7520.0,7520.0,7510.0,502.0,3771440.0,0.0,0.0,502.0,3771440.0,-400.0,400.0,0.0,0.0,-3004000.0,3004000.0,0.0,0.0
24/07/2026,7720.0,7740.0,-20.0,-0.00258398,7540.0,7780.0,7530.0,2100.0,15865000.0,0.0,0.0,2100.0,15865000.0,-1300.0,1300.0,0.0,0.0,-9815000.0,9815000.0,0.0,0.0
23/07/2026,7740.0,7750.0,-10.0,-0.00129032,7560.0,7740.0,7540.0,5000.0,37779000.0,0.0,0.0,5000.0,37779000.0,-4900.0,4900.0,0.0,0.0,-37005000.0,37005000.0,0.0,0.0
22/07/2026,7750.0,7880.0,-130.0,-0.01649746,7580.0,7790.0,7530.0,1400.0,10600000.0,0.0,0.0,1400.0,10600000.0,-1100.0,1000.0,0.0,100.0,-8305000.0,7547000.0,0.0,758000.0
21/07/2026,7880.0,7930.0,-50.0,-0.00630517,7880.0,7880.0,7880.0,2479.0,19504500.0,0.0,0.0,2479.0,19504500.0,-900.0,900.0,0.0,0.0,-7092000.0,7092000.0,0.0,0.0
20/07/2026,7930.0,7860.0,70.0,0.00890585,7960.0,7960.0,7570.0,2287.0,17564820.0,0.0,0.0,2287.0,17564820.0,-400.0,400.0,0.0,0.0,-3059000.0,3059000.0,0.0,0.0
17/07/2026,7860.0,7900.0,-40.0,-0.00506329,7860.0,7860.0,7860.0,100.0,786000.0,0.0,0.0,100.0,786000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/07/2026,7900.0,7860.0,40.0,0.00508906,7550.0,7900.0,7550.0,1811.0,14005260.0,0.0,0.0,1811.0,14005260.0,-900.0,900.0,0.0,0.0,-6846000.0,6846000.0,0.0,0.0
15/07/2026,7860.0,7850.0,10.0,0.00127389,7730.0,7860.0,7730.0,2200.0,17026000.0,0.0,0.0,2200.0,17026000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/07/2026,7850.0,7980.0,-130.0,-0.01629073,7690.0,7870.0,7690.0,9003.0,69391480.0,0.0,0.0,9003.0,69391480.0,-200.0,300.0,0.0,-100.0,-1570001.0,2350000.0,0.0,-780000.0
13/07/2026,7980.0,7970.0,10.0,0.00125471,7750.0,7980.0,7750.0,401.0,3132970.0,0.0,0.0,401.0,3132970.0,-200.0,200.0,0.0,0.0,-1552001.0,1552000.0,0.0,0.0
10/07/2026,7970.0,7980.0,-10.0,-0.00125313,7810.0,7970.0,7810.0,2200.0,17517000.0,0.0,0.0,2200.0,17517000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
