NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,11150.0,11000.0,150.0,0.01363636,11000.0,11200.0,10900.0,307466.0,3401182550.0,0.0,0.0,307466.0,3401182550.0,0.0,0.0,0.0,4100.0,0.0,0.0,0.0,44705000.0
28/08/2026,11000.0,11100.0,-100.0,-0.00900901,11100.0,11200.0,11000.0,240259.0,2658057500.0,0.0,0.0,240259.0,2658057500.0,-34615.0,59415.0,0.0,-24800.0,-381529650.0,657069650.0,0.0,-275540000.0
27/08/2026,11100.0,11150.0,-50.0,-0.0044843,11200.0,11200.0,11000.0,199284.0,2214195350.0,0.0,0.0,199284.0,2214195350.0,-12402.0,50302.0,0.0,-37900.0,-136594150.0,558664150.0,0.0,-422070000.0
26/08/2026,11150.0,11100.0,50.0,0.0045045,11500.0,11500.0,11050.0,315428.0,3526167200.0,0.0,0.0,315428.0,3526167200.0,30325.0,14875.0,0.0,-45200.0,348400450.0,158879550.0,0.0,-507280000.0
25/08/2026,11100.0,11250.0,-150.0,-0.01333333,11250.0,11350.0,11100.0,326165.0,3651693300.0,0.0,0.0,326165.0,3651693300.0,51722.0,-54622.0,0.0,2900.0,584773801.0,-617048800.0,0.0,32275000.0
24/08/2026,11250.0,11250.0,0.0,0.0,11300.0,11400.0,11200.0,528759.0,5960101250.0,0.0,0.0,528759.0,5960101250.0,170740.0,-175040.0,0.0,4300.0,1925019250.0,-1970939250.0,0.0,45920000.0
21/08/2026,11250.0,10900.0,350.0,0.03211009,10900.0,11250.0,10850.0,496955.0,5533977800.0,0.0,0.0,496955.0,5533977800.0,-104486.0,-7614.0,0.0,112100.0,-1164538000.0,-87717000.0,0.0,1252255000.0
20/08/2026,10900.0,10950.0,-50.0,-0.00456621,10900.0,11100.0,10900.0,193440.0,2120491450.0,0.0,0.0,193440.0,2120491450.0,-36901.0,55701.0,0.0,-18800.0,-401869450.0,608949450.0,0.0,-207080000.0
19/08/2026,10950.0,11100.0,-150.0,-0.01351351,11100.0,11200.0,10900.0,381984.0,4244063150.0,0.0,0.0,381984.0,4244063150.0,-65152.0,55452.0,0.0,9700.0,-721845850.0,612295850.0,0.0,109550000.0
18/08/2026,11100.0,11100.0,0.0,0.0,11150.0,11250.0,11100.0,350532.0,3903097700.0,0.0,0.0,350532.0,3903097700.0,-36278.0,4378.0,0.0,31900.0,-403387200.0,47487200.0,0.0,355900000.0
17/08/2026,11100.0,11050.0,50.0,0.00452489,11050.0,11150.0,11000.0,167112.0,1847197100.0,0.0,0.0,167112.0,1847197100.0,-17143.0,8643.0,0.0,8500.0,-189506650.0,95156650.0,0.0,94350000.0
14/08/2026,11050.0,10950.0,100.0,0.00913242,10950.0,11150.0,10900.0,362718.0,3993922150.0,0.0,0.0,362718.0,3993922150.0,-126266.0,96366.0,0.0,29900.0,-1391227600.0,1063497600.0,0.0,327730000.0
13/08/2026,10950.0,11150.0,-200.0,-0.01793722,11200.0,11400.0,10800.0,631001.0,6976740300.0,0.0,0.0,631001.0,6976740300.0,-6871.0,10471.0,0.0,-3600.0,-80328351.0,120783350.0,0.0,-40455000.0
12/08/2026,11150.0,11200.0,-50.0,-0.00446429,11150.0,11300.0,11150.0,327143.0,3665395550.0,0.0,0.0,327143.0,3665395550.0,8520.0,-24920.0,0.0,16400.0,94428600.0,-278468600.0,0.0,184040000.0
11/08/2026,11200.0,11250.0,-50.0,-0.00444444,11200.0,11300.0,11200.0,357028.0,4013613700.0,0.0,0.0,357028.0,4013613700.0,-44192.0,-21708.0,0.0,65900.0,-496416200.0,-244768800.0,0.0,741185000.0
10/08/2026,11250.0,11150.0,100.0,0.00896861,11300.0,11600.0,11150.0,525129.0,5963490400.0,0.0,0.0,525129.0,5963490400.0,-61348.0,93648.0,0.0,-32300.0,-691940250.0,1068345250.0,0.0,-376405000.0
07/08/2026,11150.0,11000.0,150.0,0.01363636,11000.0,11250.0,11000.0,401787.0,4477322650.0,0.0,0.0,401787.0,4477322650.0,67767.0,-61967.0,0.0,-5800.0,753860500.0,-687135500.0,0.0,-66725000.0
06/08/2026,11000.0,11000.0,0.0,0.0,11000.0,11300.0,10900.0,333973.0,3702245750.0,0.0,0.0,333973.0,3702245750.0,-22471.0,42271.0,0.0,-19800.0,-241535350.0,463705350.0,0.0,-222170000.0
05/08/2026,11000.0,11200.0,-200.0,-0.01785714,11150.0,11450.0,11000.0,348352.0,3880457150.0,0.0,0.0,348352.0,3880457150.0,-51185.0,100285.0,0.0,-49100.0,-565517050.0,1115337050.0,0.0,-549820000.0
04/08/2026,11200.0,10800.0,400.0,0.03703704,11000.0,11200.0,10800.0,510761.0,5600228050.0,0.0,0.0,510761.0,5600228050.0,-150606.0,101806.0,0.0,48800.0,-1657457201.0,1127887200.0,0.0,529570000.0
03/08/2026,10800.0,10850.0,-50.0,-0.00460829,10850.0,11100.0,10750.0,618847.0,6726490700.0,0.0,0.0,618847.0,6726490700.0,-156515.0,152415.0,0.0,4100.0,-1696248100.0,1654193100.0,0.0,42055000.0
31/07/2026,10850.0,11100.0,-250.0,-0.02252252,11400.0,11400.0,10750.0,503675.0,5511080750.0,0.0,0.0,503675.0,5511080750.0,-69656.0,29856.0,0.0,39800.0,-756780100.0,329515100.0,0.0,427265000.0
30/07/2026,11100.0,10400.0,700.0,0.06730769,10450.0,11100.0,10450.0,874546.0,9589209050.0,0.0,0.0,874546.0,9589209050.0,-56253.0,34353.0,0.0,21900.0,-609296600.0,370846600.0,0.0,238450000.0
29/07/2026,10400.0,10350.0,50.0,0.00483092,10500.0,10550.0,10400.0,301699.0,3150029900.0,0.0,0.0,301699.0,3150029900.0,-86981.0,84581.0,0.0,2400.0,-905680500.0,881480500.0,0.0,24200000.0
28/07/2026,10350.0,10300.0,50.0,0.00485437,10100.0,10500.0,10000.0,523155.0,5360295400.0,0.0,0.0,523155.0,5360295400.0,-37404.0,29504.0,0.0,7900.0,-385554750.0,300669750.0,0.0,84885000.0
27/07/2026,10300.0,10450.0,-150.0,-0.01435407,10450.0,10550.0,10300.0,195969.0,2044955450.0,0.0,0.0,195969.0,2044955450.0,-15169.0,29569.0,0.0,-14400.0,-158480900.0,309235900.0,0.0,-150755000.0
24/07/2026,10450.0,10650.0,-200.0,-0.01877934,10650.0,10650.0,10400.0,233174.0,2452189000.0,0.0,0.0,233174.0,2452189000.0,108552.0,-87752.0,0.0,-20800.0,1138171250.0,-917941250.0,0.0,-220230000.0
23/07/2026,10650.0,10450.0,200.0,0.01913876,10350.0,10700.0,10250.0,422039.0,4433031050.0,0.0,0.0,422039.0,4433031050.0,-25607.0,-64993.0,0.0,90600.0,-269747650.0,-679977350.0,0.0,949725000.0
22/07/2026,10450.0,10650.0,-200.0,-0.01877934,10700.0,10800.0,10450.0,305090.0,3226563050.0,0.0,0.0,305090.0,3226563050.0,-33807.0,77507.0,0.0,-43700.0,-355263101.0,821223100.0,0.0,-465960000.0
21/07/2026,10650.0,10700.0,-50.0,-0.0046729,10550.0,10800.0,10500.0,370436.0,3936162350.0,0.0,0.0,370436.0,3936162350.0,4243.0,-7839.0,0.0,3596.0,39690850.0,-78213050.0,0.0,38522200.0
20/07/2026,10700.0,11200.0,-500.0,-0.04464286,11250.0,11250.0,10650.0,491314.0,5338918150.0,0.0,0.0,491314.0,5338918150.0,-51682.0,54582.0,0.0,-2900.0,-575597300.0,608017300.0,0.0,-32420000.0
