NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,21000.0,21000.0,0.0,0.0,21000.0,21000.0,21000.0,4341.0,91161200.0,0.0,0.0,4341.0,91161200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,21000.0,21100.0,-100.0,-0.00473934,21600.0,21600.0,21000.0,9678.0,203415800.0,0.0,0.0,9678.0,203415800.0,-2839.0,3261.0,0.0,-422.0,-59612901.0,68567100.0,0.0,-8954200.0
27/08/2026,21100.0,21000.0,100.0,0.0047619,21000.0,21100.0,21000.0,324.0,6814000.0,0.0,0.0,324.0,6814000.0,176.0,-197.0,0.0,21.0,3696000.0,-4137000.0,0.0,441000.0
26/08/2026,21000.0,20800.0,200.0,0.00961538,21000.0,21000.0,21000.0,704.0,14786400.0,0.0,0.0,704.0,14786400.0,-104.0,104.0,0.0,0.0,-2186399.0,2186400.0,0.0,0.0
25/08/2026,20800.0,21100.0,-300.0,-0.01421801,20800.0,20800.0,20800.0,2308.0,48008800.0,0.0,0.0,2308.0,48008800.0,-1500.0,1400.0,0.0,100.0,-31200000.0,29120000.0,0.0,2080000.0
24/08/2026,21100.0,21000.0,100.0,0.0047619,21100.0,21100.0,21100.0,119.0,2524500.0,0.0,0.0,119.0,2524500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,21000.0,20850.0,150.0,0.00719424,21000.0,21000.0,21000.0,1768.0,37121100.0,0.0,0.0,1768.0,37121100.0,208.0,-208.0,0.0,0.0,4361100.0,-4361100.0,0.0,0.0
20/08/2026,20850.0,20850.0,0.0,0.0,20850.0,20850.0,20850.0,13.0,270900.0,0.0,0.0,13.0,270900.0,-10.0,10.0,0.0,0.0,-208501.0,208500.0,0.0,0.0
19/08/2026,20850.0,20800.0,50.0,0.00240385,20800.0,20850.0,20800.0,2219.0,46211100.0,0.0,0.0,2219.0,46211100.0,-200.0,200.0,0.0,0.0,-4165000.0,4165000.0,0.0,0.0
18/08/2026,20800.0,21000.0,-200.0,-0.00952381,20950.0,20950.0,20800.0,14526.0,303515200.0,0.0,0.0,14526.0,303515200.0,-3.0,3.0,0.0,0.0,-62700.0,62700.0,0.0,0.0
17/08/2026,21000.0,20900.0,100.0,0.00478469,21500.0,21500.0,20500.0,3492.0,73813550.0,0.0,0.0,3492.0,73813550.0,-305.0,405.0,0.0,-100.0,-6237500.0,8387500.0,0.0,-2150000.0
14/08/2026,20900.0,21000.0,-100.0,-0.0047619,20800.0,20900.0,20800.0,1232.0,25654800.0,0.0,0.0,1232.0,25654800.0,-500.0,500.0,0.0,0.0,-10410000.0,10410000.0,0.0,0.0
13/08/2026,21000.0,21200.0,-200.0,-0.00943396,21200.0,21200.0,21000.0,3831.0,80630100.0,0.0,0.0,3831.0,80630100.0,-3400.0,3300.0,0.0,100.0,-71520000.0,69420000.0,0.0,2100000.0
12/08/2026,21200.0,21500.0,-300.0,-0.01395349,21800.0,21800.0,21200.0,2757.0,58525500.0,0.0,0.0,2757.0,58525500.0,20.0,-20.0,0.0,0.0,430000.0,-430000.0,0.0,0.0
11/08/2026,21500.0,21500.0,0.0,0.0,21800.0,21800.0,21500.0,6421.0,138681850.0,0.0,0.0,6421.0,138681850.0,20.0,-20.0,0.0,0.0,430000.0,-430000.0,0.0,0.0
10/08/2026,21500.0,21000.0,500.0,0.02380952,21850.0,21850.0,21500.0,4912.0,106231600.0,0.0,0.0,4912.0,106231600.0,-2302.0,-598.0,0.0,2900.0,-49278600.0,-13036400.0,0.0,62315000.0
07/08/2026,21000.0,21000.0,0.0,0.0,21000.0,21000.0,21000.0,14887.0,312611550.0,0.0,0.0,14887.0,312611550.0,-3935.0,1035.0,0.0,2900.0,-82631500.0,21731500.0,0.0,60900000.0
06/08/2026,21000.0,21000.0,0.0,0.0,21000.0,21000.0,20800.0,15214.0,319454600.0,0.0,0.0,15214.0,319454600.0,-5202.0,5202.0,0.0,0.0,-109202001.0,109202000.0,0.0,0.0
05/08/2026,21000.0,20800.0,200.0,0.00961538,20850.0,21000.0,20850.0,5201.0,109206100.0,0.0,0.0,5201.0,109206100.0,-4999.0,4899.0,0.0,100.0,-104978900.0,102878900.0,0.0,2100000.0
04/08/2026,20800.0,20900.0,-100.0,-0.00478469,20950.0,21000.0,20800.0,5110.0,107012600.0,0.0,0.0,5110.0,107012600.0,-202.0,202.0,0.0,0.0,-4228600.0,4228600.0,0.0,0.0
03/08/2026,20900.0,20850.0,50.0,0.00239808,20850.0,21000.0,20850.0,1401.0,29366050.0,0.0,0.0,1401.0,29366050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,20850.0,20850.0,0.0,0.0,21200.0,21200.0,20850.0,1562.0,32818300.0,0.0,0.0,1562.0,32818300.0,600.0,-600.0,0.0,0.0,12720000.0,-12720000.0,0.0,0.0
30/07/2026,20850.0,21500.0,-650.0,-0.03023256,20800.0,20900.0,20800.0,11530.0,240206500.0,0.0,0.0,11530.0,240206500.0,-4295.0,4295.0,0.0,0.0,-89444500.0,89444500.0,0.0,0.0
29/07/2026,21500.0,21500.0,0.0,0.0,21500.0,21500.0,21500.0,9.0,193400.0,0.0,0.0,9.0,193400.0,8.0,-8.0,0.0,0.0,172000.0,-172000.0,0.0,0.0
28/07/2026,21500.0,20700.0,800.0,0.03864734,20700.0,21800.0,20700.0,3334.0,69203800.0,0.0,0.0,3334.0,69203800.0,-2930.0,2930.0,0.0,0.0,-60571000.0,60571000.0,0.0,0.0
27/07/2026,20700.0,20700.0,0.0,0.0,20700.0,20700.0,20700.0,3701.0,76611850.0,0.0,0.0,3701.0,76611850.0,-3100.0,3100.0,0.0,0.0,-64170000.0,64170000.0,0.0,0.0
24/07/2026,20700.0,21000.0,-300.0,-0.01428571,20800.0,20800.0,20500.0,5500.0,113720000.0,0.0,0.0,5500.0,113720000.0,-4200.0,4200.0,0.0,0.0,-86960000.0,86960000.0,0.0,0.0
