NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,1770.0,1780.0,-10.0,-0.00561798,1780.0,1780.0,1740.0,20785.0,36557540.0,0.0,0.0,20785.0,36557540.0,0.0,0.0,0.0,-2000.0,0.0,0.0,0.0,-3500000.0
28/08/2026,1780.0,1740.0,40.0,0.02298851,1750.0,1780.0,1740.0,156061.0,275769980.0,0.0,0.0,156061.0,275769980.0,-4800.0,4800.0,0.0,0.0,-8161000.0,8161000.0,0.0,0.0
27/08/2026,1740.0,1700.0,40.0,0.02352941,1740.0,1770.0,1700.0,350366.0,609227000.0,0.0,0.0,350366.0,609227000.0,-177225.0,177225.0,0.0,0.0,-308238561.0,308238560.0,0.0,0.0
26/08/2026,1700.0,1770.0,-70.0,-0.03954802,1770.0,1790.0,1700.0,163333.0,283685620.0,0.0,0.0,163333.0,283685620.0,-44906.0,44906.0,0.0,0.0,-76909240.0,76909240.0,0.0,0.0
25/08/2026,1770.0,1800.0,-30.0,-0.01666667,1800.0,1800.0,1740.0,223068.0,393178420.0,0.0,0.0,223068.0,393178420.0,-98267.0,98267.0,0.0,0.0,-173132110.0,173132110.0,0.0,0.0
24/08/2026,1800.0,1820.0,-20.0,-0.01098901,1820.0,1820.0,1760.0,186989.0,335613590.0,0.0,0.0,186989.0,335613590.0,54158.0,-54158.0,0.0,0.0,96630730.0,-96630730.0,0.0,0.0
21/08/2026,1820.0,1760.0,60.0,0.03409091,1700.0,1830.0,1700.0,516031.0,911125770.0,0.0,0.0,516031.0,911125770.0,-176262.0,176262.0,0.0,0.0,-309804500.0,309804500.0,0.0,0.0
20/08/2026,1760.0,1810.0,-50.0,-0.02762431,1820.0,1820.0,1740.0,269132.0,476402230.0,0.0,0.0,269132.0,476402230.0,80800.0,-80800.0,0.0,0.0,142662881.0,-142662880.0,0.0,0.0
19/08/2026,1810.0,1810.0,0.0,0.0,1820.0,1820.0,1780.0,171741.0,309588750.0,0.0,0.0,171741.0,309588750.0,18228.0,-18228.0,0.0,0.0,33233220.0,-33233220.0,0.0,0.0
18/08/2026,1810.0,1830.0,-20.0,-0.01092896,1780.0,1850.0,1780.0,184419.0,332476800.0,0.0,0.0,184419.0,332476800.0,41383.0,-41383.0,0.0,0.0,75112951.0,-75112950.0,0.0,0.0
17/08/2026,1830.0,1830.0,0.0,0.0,1870.0,1870.0,1790.0,164281.0,298551850.0,0.0,0.0,164281.0,298551850.0,-21489.0,25289.0,0.0,-3800.0,-39698220.0,46609220.0,0.0,-6911000.0
14/08/2026,1830.0,1920.0,-90.0,-0.046875,1900.0,1930.0,1830.0,283193.0,524215720.0,0.0,0.0,283193.0,524215720.0,-103120.0,103120.0,0.0,0.0,-191064760.0,191064760.0,0.0,0.0
13/08/2026,1920.0,1920.0,0.0,0.0,1930.0,1950.0,1900.0,167776.0,322061990.0,0.0,0.0,167776.0,322061990.0,-27892.0,27892.0,0.0,0.0,-53520820.0,53520820.0,0.0,0.0
