NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,68800.0,68100.0,700.0,0.010279,68200.0,69000.0,67600.0,2457526.0,168273532100.0,0.0,0.0,2457526.0,168273532100.0,0.0,0.0,3400.0,477756.0,0.0,0.0,234260000.0,32657044400.0
28/08/2026,68100.0,67500.0,600.0,0.00888889,66500.0,68600.0,66500.0,1899857.0,128565529300.0,0.0,0.0,1899857.0,128565529300.0,-405818.0,-192640.0,-295700.0,598458.0,-27887782799.0,-12616329600.0,-19658320000.0,40504112400.0
27/08/2026,67500.0,67800.0,-300.0,-0.00442478,67800.0,69000.0,67500.0,2057130.0,140243226400.0,0.0,0.0,2057130.0,140243226400.0,-148668.0,-226132.0,0.0,374800.0,-10046745100.0,-15430164900.0,0.0,25476910000.0
26/08/2026,67800.0,65100.0,2700.0,0.04147465,65400.0,68500.0,65300.0,2158965.0,144558665100.0,0.0,0.0,2158965.0,144558665100.0,-848848.0,91748.0,0.0,757100.0,-56612437200.0,6124747200.0,0.0,50487690000.0
25/08/2026,65100.0,64500.0,600.0,0.00930233,64600.0,66200.0,64000.0,1787915.0,116415184700.0,100000.0,6100000000.0,1887915.0,122515184700.0,-947739.0,617739.0,200000.0,330000.0,-61715030500.0,40253990500.0,12920000000.0,21461040000.0
24/08/2026,64500.0,65000.0,-500.0,-0.00769231,64900.0,65400.0,64000.0,2199841.0,142571266300.0,0.0,0.0,2199841.0,142571266300.0,717603.0,-479303.0,200.0,-238300.0,46439499100.0,-30893439100.0,13020000.0,-15546060000.0
21/08/2026,65000.0,63500.0,1500.0,0.02362205,63600.0,65000.0,63400.0,1907076.0,122101113500.0,0.0,0.0,1907076.0,122101113500.0,-416412.0,561612.0,-4400.0,-145200.0,-26596935100.0,35969815100.0,-283080000.0,-9372880000.0
20/08/2026,63500.0,62700.0,800.0,0.01275917,62600.0,63500.0,61800.0,1877036.0,117151107700.0,0.0,0.0,1877036.0,117151107700.0,-414470.0,283670.0,0.0,130800.0,-25985339000.0,17898739000.0,0.0,8086600000.0
19/08/2026,62700.0,62100.0,600.0,0.00966184,62000.0,63100.0,61700.0,2198208.0,136857000600.0,0.0,0.0,2198208.0,136857000600.0,178423.0,-251623.0,-4800.0,73200.0,11148052900.0,-15635752900.0,-300400000.0,4487700000.0
18/08/2026,62100.0,60700.0,1400.0,0.02306425,60600.0,62500.0,60400.0,1871052.0,115115350900.0,0.0,0.0,1871052.0,115115350900.0,-37046.0,-45554.0,0.0,82600.0,-2465398000.0,-2488182000.0,0.0,4953580000.0
17/08/2026,60700.0,60800.0,-100.0,-0.00164474,60800.0,60900.0,59700.0,2246786.0,135785600600.0,0.0,0.0,2246786.0,135785600600.0,666821.0,-696421.0,200.0,29600.0,40216984201.0,-41992974200.0,12100000.0,1775990000.0
14/08/2026,60800.0,60700.0,100.0,0.00164745,60700.0,61100.0,60000.0,2843749.0,172380978800.0,0.0,0.0,2843749.0,172380978800.0,359934.0,146266.0,0.0,-506200.0,21890626600.0,8834853400.0,0.0,-30725480000.0
13/08/2026,60700.0,59700.0,1000.0,0.01675042,59500.0,60900.0,59000.0,3638078.0,217850035200.0,0.0,0.0,3638078.0,217850035200.0,-524654.0,673254.0,-4500.0,-148600.0,-30956871000.0,40097411000.0,-271410000.0,-9140540000.0
12/08/2026,59700.0,60000.0,-300.0,-0.005,60000.0,60100.0,58500.0,3253421.0,193700609300.0,0.0,0.0,3253421.0,193700609300.0,421749.0,-466449.0,300.0,44700.0,25178284000.0,-27657164000.0,17850000.0,2478880000.0
