NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,76600.0,77600.0,-1000.0,-0.0128866,77000.0,77500.0,76500.0,571349.0,43904922200.0,0.0,0.0,571349.0,43904922200.0,-51800.0,0.0,43100.0,8700.0,-3971970000.0,0.0,3311420000.0,660550000.0
28/08/2026,77600.0,77500.0,100.0,0.00129032,77600.0,77600.0,76600.0,343037.0,26489746100.0,0.0,0.0,343037.0,26489746100.0,-95136.0,30036.0,14500.0,65100.0,-7360116100.0,2300666100.0,1109450000.0,5059450000.0
27/08/2026,77500.0,75200.0,2300.0,0.03058511,75500.0,78200.0,75500.0,622141.0,47749308800.0,0.0,0.0,622141.0,47749308800.0,-41264.0,-1036.0,-24700.0,42300.0,-3165150101.0,-77519900.0,-1889520000.0,3242670000.0
26/08/2026,75200.0,76500.0,-1300.0,-0.01699346,75600.0,76500.0,74900.0,736928.0,55563792400.0,0.0,0.0,736928.0,55563792400.0,60576.0,-29876.0,21700.0,-30700.0,4572283301.0,-2245783300.0,1643620000.0,-2326500000.0
25/08/2026,76500.0,76900.0,-400.0,-0.00520156,76000.0,77300.0,76000.0,752856.0,57604974200.0,0.0,0.0,752856.0,57604974200.0,34229.0,-77329.0,-26200.0,43100.0,2622904800.0,-5921214800.0,-2001130000.0,3298310000.0
24/08/2026,76900.0,76900.0,0.0,0.0,77200.0,77400.0,76400.0,606955.0,46663988600.0,0.0,0.0,606955.0,46663988600.0,56408.0,-70608.0,-20900.0,14200.0,4345213200.0,-5439383200.0,-1607560000.0,1094170000.0
21/08/2026,76900.0,75000.0,1900.0,0.02533333,74400.0,76900.0,74000.0,564825.0,42422158200.0,0.0,0.0,564825.0,42422158200.0,-43613.0,28313.0,11400.0,15300.0,-3251575100.0,2115405100.0,875840000.0,1136170000.0
20/08/2026,75000.0,74900.0,100.0,0.00133511,74900.0,75800.0,74600.0,484433.0,36382990700.0,0.0,0.0,484433.0,36382990700.0,-41467.0,49367.0,43000.0,-7900.0,-3121189500.0,3720249500.0,3246910000.0,-599060000.0
19/08/2026,74900.0,75000.0,-100.0,-0.00133333,75200.0,75200.0,74000.0,550678.0,40968127400.0,0.0,0.0,550678.0,40968127400.0,-13037.0,37337.0,16500.0,-24300.0,-949381300.0,2776981300.0,1233990000.0,-1827600000.0
18/08/2026,75000.0,75000.0,0.0,0.0,74100.0,76000.0,74100.0,542041.0,40613408100.0,0.0,0.0,542041.0,40613408100.0,-5633.0,-767.0,-19900.0,6400.0,-414053000.0,-60707000.0,-1489650000.0,474760000.0
17/08/2026,75000.0,74500.0,500.0,0.00671141,74000.0,75400.0,74000.0,516206.0,38598084200.0,0.0,0.0,516206.0,38598084200.0,-154677.0,24177.0,28600.0,130500.0,-11554760400.0,1808550400.0,2145380000.0,9746210000.0
14/08/2026,74500.0,77000.0,-2500.0,-0.03246753,77000.0,77000.0,74500.0,635426.0,48074514700.0,0.0,0.0,635426.0,48074514700.0,-89021.0,-30479.0,-20500.0,119500.0,-6699167100.0,-2322992900.0,-1538610000.0,9022160000.0
13/08/2026,77000.0,78400.0,-1400.0,-0.01785714,78900.0,78900.0,77000.0,521660.0,40571697700.0,0.0,0.0,521660.0,40571697700.0,-8862.0,5162.0,-15800.0,3700.0,-697763600.0,401863600.0,-1226250000.0,295900000.0
12/08/2026,78400.0,78400.0,0.0,0.0,78300.0,79000.0,77500.0,564234.0,44212623600.0,0.0,0.0,564234.0,44212623600.0,61517.0,-55617.0,38900.0,-5900.0,4814195200.0,-4349315200.0,3053280000.0,-464880000.0
11/08/2026,78400.0,78500.0,-100.0,-0.00127389,78500.0,78900.0,77400.0,668273.0,52014998600.0,0.0,0.0,668273.0,52014998600.0,-62901.0,-71699.0,6400.0,134600.0,-4842985900.0,-5599184100.0,503090000.0,10442170000.0
10/08/2026,78500.0,79000.0,-500.0,-0.00632911,79100.0,79100.0,77100.0,371221.0,28911851800.0,0.0,0.0,371221.0,28911851800.0,2847.0,-17147.0,17800.0,14300.0,246782700.0,-1339242700.0,1392960000.0,1092460000.0
07/08/2026,79000.0,80900.0,-1900.0,-0.02348578,80100.0,80200.0,79000.0,434115.0,34512016700.0,0.0,0.0,434115.0,34512016700.0,-20134.0,-17066.0,200.0,37200.0,-1561579000.0,-1376591000.0,15880000.0,2938170000.0
06/08/2026,80900.0,81000.0,-100.0,-0.00123457,80700.0,81000.0,79000.0,808139.0,64645461300.0,0.0,0.0,808139.0,64645461300.0,64654.0,-159354.0,-2600.0,94700.0,5150147799.0,-12799547800.0,-207350000.0,7649400000.0
05/08/2026,81000.0,81200.0,-200.0,-0.00246305,79800.0,81100.0,79500.0,503357.0,40467715500.0,0.0,0.0,503357.0,40467715500.0,123480.0,-170980.0,-25600.0,47500.0,9973889400.0,-13755599400.0,-2051700000.0,3781710000.0
04/08/2026,81200.0,81000.0,200.0,0.00246914,79500.0,81200.0,79000.0,670666.0,53678550600.0,0.0,0.0,670666.0,53678550600.0,-11650.0,-85150.0,-9000.0,96800.0,-1009307100.0,-6827882900.0,-721360000.0,7837190000.0
03/08/2026,81000.0,79600.0,1400.0,0.01758794,79000.0,81000.0,77600.0,608946.0,48057467200.0,0.0,0.0,608946.0,48057467200.0,-104102.0,-2078.0,24400.0,106180.0,-8365040200.0,-210923400.0,1917860000.0,8575963600.0
31/07/2026,79600.0,79500.0,100.0,0.00125786,80500.0,80500.0,77400.0,482038.0,38099924400.0,0.0,0.0,482038.0,38099924400.0,-76913.0,12613.0,-18500.0,64300.0,-6164737199.0,1042317200.0,-1447270000.0,5122420000.0
30/07/2026,79500.0,76900.0,2600.0,0.03381014,77000.0,79500.0,75900.0,647209.0,50255067800.0,0.0,0.0,647209.0,50255067800.0,-19205.0,-142795.0,-30000.0,162000.0,-1592975800.0,-11117374200.0,-2328340000.0,12710350000.0
29/07/2026,76900.0,74500.0,2400.0,0.03221477,73600.0,76900.0,73000.0,415175.0,30919068400.0,0.0,0.0,415175.0,30919068400.0,23240.0,-40940.0,-33300.0,17700.0,1708025600.0,-3023685600.0,-2461670000.0,1315660000.0
28/07/2026,74500.0,74000.0,500.0,0.00675676,74000.0,74500.0,72000.0,508169.0,37191960700.0,0.0,0.0,508169.0,37191960700.0,35195.0,-29895.0,-2900.0,-5300.0,2570774300.0,-2296354300.0,-213850000.0,-274420000.0
27/07/2026,74000.0,74500.0,-500.0,-0.00671141,74400.0,75700.0,72900.0,387107.0,28848246100.0,0.0,0.0,387107.0,28848246100.0,646.0,-8946.0,-5100.0,8300.0,53305700.0,-669375700.0,-382520000.0,616070000.0
24/07/2026,74500.0,74900.0,-400.0,-0.00534045,72800.0,74500.0,72200.0,755869.0,55147438600.0,0.0,0.0,755869.0,55147438600.0,-3028.0,-77872.0,-34100.0,80900.0,-270534600.0,-5786175400.0,-2472340000.0,6056710000.0
23/07/2026,74900.0,73500.0,1400.0,0.01904762,73500.0,74900.0,71500.0,713908.0,52108249800.0,0.0,0.0,713908.0,52108249800.0,-73281.0,381.0,6300.0,72900.0,-5393722800.0,-78907200.0,408440000.0,5472630000.0
22/07/2026,73500.0,77600.0,-4100.0,-0.05283505,76900.0,76900.0,73500.0,709124.0,53440828800.0,9000000.0,698400000000.0,9709124.0,751840828800.0,-46082.0,45282.0,34000.0,800.0,-3442865100.0,3415445100.0,2576180000.0,27420000.0
21/07/2026,77600.0,77600.0,0.0,0.0,77600.0,77900.0,75400.0,896546.0,68452585100.0,0.0,0.0,896546.0,68452585100.0,23233.0,-111433.0,13600.0,88200.0,1722939601.0,-8430129600.0,1028570000.0,6707190000.0
