NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,8760.0,8770.0,-10.0,-0.00114025,8770.0,8770.0,8710.0,2732.0,23835790.0,0.0,0.0,2732.0,23835790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,8770.0,8790.0,-20.0,-0.00227531,8780.0,8780.0,8700.0,1288.0,11292820.0,0.0,0.0,1288.0,11292820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,8790.0,8800.0,-10.0,-0.00113636,8800.0,8800.0,8500.0,13253.0,113916400.0,0.0,0.0,13253.0,113916400.0,-1600.0,1600.0,0.0,0.0,-13610000.0,13610000.0,0.0,0.0
27/08/2026,8800.0,8800.0,0.0,0.0,8800.0,8800.0,8800.0,1316.0,11580800.0,0.0,0.0,1316.0,11580800.0,-200.0,200.0,0.0,0.0,-1760000.0,1760000.0,0.0,0.0
26/08/2026,8800.0,9010.0,-210.0,-0.02330744,8800.0,8800.0,8750.0,27021.0,237569590.0,0.0,0.0,27021.0,237569590.0,2200.0,-2200.0,0.0,0.0,19334000.0,-19334000.0,0.0,0.0
25/08/2026,9010.0,9020.0,-10.0,-0.00110865,8800.0,9010.0,8750.0,3121.0,27666220.0,0.0,0.0,3121.0,27666220.0,2510.0,-2510.0,0.0,0.0,22255000.0,-22255000.0,0.0,0.0
24/08/2026,9020.0,9120.0,-100.0,-0.01096491,8700.0,9020.0,8700.0,2708.0,23740400.0,0.0,0.0,2708.0,23740400.0,-1700.0,1700.0,0.0,0.0,-14790000.0,14790000.0,0.0,0.0
21/08/2026,9120.0,8910.0,210.0,0.02356902,8910.0,9140.0,8610.0,2447.0,21574400.0,0.0,0.0,2447.0,21574400.0,-32.0,32.0,0.0,0.0,-285400.0,285400.0,0.0,0.0
20/08/2026,8910.0,8520.0,390.0,0.04577465,8440.0,8940.0,8440.0,39301.0,349094560.0,0.0,0.0,39301.0,349094560.0,-400.0,400.0,0.0,0.0,-3760000.0,3760000.0,0.0,0.0
19/08/2026,8520.0,8400.0,120.0,0.01428571,8450.0,8700.0,8450.0,10901.0,93099830.0,0.0,0.0,10901.0,93099830.0,5300.0,-5300.0,0.0,0.0,44939000.0,-44939000.0,0.0,0.0
18/08/2026,8400.0,8350.0,50.0,0.00598802,8780.0,8780.0,8400.0,1404.0,12067450.0,0.0,0.0,1404.0,12067450.0,699.0,-699.0,0.0,0.0,5891110.0,-5891110.0,0.0,0.0
17/08/2026,8350.0,8310.0,40.0,0.00481348,8840.0,8840.0,8350.0,744.0,6325120.0,0.0,0.0,744.0,6325120.0,589.0,-589.0,0.0,0.0,4961540.0,-4961540.0,0.0,0.0
14/08/2026,8310.0,8500.0,-190.0,-0.02235294,8500.0,8500.0,8310.0,5194.0,43196690.0,0.0,0.0,5194.0,43196690.0,3889.0,-3889.0,0.0,0.0,32314700.0,-32314700.0,0.0,0.0
13/08/2026,8500.0,8700.0,-200.0,-0.02298851,8560.0,8620.0,8500.0,111020.0,946844600.0,0.0,0.0,111020.0,946844600.0,-15600.0,15600.0,0.0,0.0,-133749000.0,133749000.0,0.0,0.0
12/08/2026,8700.0,9010.0,-310.0,-0.03440622,9000.0,9000.0,8700.0,18431.0,162107950.0,0.0,0.0,18431.0,162107950.0,-4189.0,4189.0,0.0,0.0,-36812820.0,36812820.0,0.0,0.0
11/08/2026,9010.0,9230.0,-220.0,-0.02383532,9290.0,9300.0,9010.0,8749.0,79689930.0,0.0,0.0,8749.0,79689930.0,-1810.0,1810.0,0.0,0.0,-16734901.0,16734900.0,0.0,0.0
10/08/2026,9230.0,9210.0,20.0,0.00217155,9230.0,9230.0,9110.0,2927.0,26917670.0,0.0,0.0,2927.0,26917670.0,-2200.0,2200.0,0.0,0.0,-20289001.0,20289000.0,0.0,0.0
07/08/2026,9210.0,9530.0,-320.0,-0.03357817,9500.0,9500.0,9210.0,4375.0,40606200.0,0.0,0.0,4375.0,40606200.0,-990.0,990.0,0.0,0.0,-9292301.0,9292300.0,0.0,0.0
06/08/2026,9530.0,9430.0,100.0,0.01060445,9700.0,9700.0,9030.0,5825.0,52984540.0,0.0,0.0,5825.0,52984540.0,3902.0,498.0,0.0,-4400.0,35249441.0,4683560.0,0.0,-39933000.0
05/08/2026,9430.0,9420.0,10.0,0.00106157,9430.0,9430.0,9420.0,9102.0,85820920.0,0.0,0.0,9102.0,85820920.0,-3500.0,5500.0,0.0,-2000.0,-32999000.0,51859000.0,0.0,-18860000.0
04/08/2026,9420.0,9550.0,-130.0,-0.01361257,9600.0,9600.0,9420.0,32729.0,312267250.0,0.0,0.0,32729.0,312267250.0,7380.0,-7380.0,0.0,0.0,70508800.0,-70508800.0,0.0,0.0
03/08/2026,9550.0,9770.0,-220.0,-0.02251791,10300.0,10300.0,9500.0,14422.0,140012290.0,0.0,0.0,14422.0,140012290.0,10100.0,-9700.0,0.0,-400.0,98281000.0,-94325000.0,0.0,-3956000.0
31/07/2026,9770.0,9400.0,370.0,0.0393617,10000.0,10000.0,9150.0,22414.0,212366910.0,0.0,0.0,22414.0,212366910.0,5799.0,-5799.0,0.0,0.0,54919100.0,-54919100.0,0.0,0.0
30/07/2026,9400.0,8790.0,610.0,0.06939704,8750.0,9400.0,8750.0,41839.0,386469100.0,0.0,0.0,41839.0,386469100.0,-7543.0,7543.0,0.0,0.0,-67225781.0,67225780.0,0.0,0.0
29/07/2026,8790.0,8800.0,-10.0,-0.00113636,8790.0,8790.0,8790.0,120.0,1055000.0,0.0,0.0,120.0,1055000.0,80.0,-80.0,0.0,0.0,703000.0,-703000.0,0.0,0.0
28/07/2026,8800.0,8800.0,0.0,0.0,8790.0,8800.0,8310.0,2502.0,21465580.0,0.0,0.0,2502.0,21465580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/07/2026,8800.0,8930.0,-130.0,-0.01455767,8940.0,8940.0,8800.0,1003.0,8880620.0,0.0,0.0,1003.0,8880620.0,500.0,-500.0,0.0,0.0,4440000.0,-4440000.0,0.0,0.0
24/07/2026,8930.0,8930.0,0.0,0.0,8930.0,8930.0,8930.0,84.0,750120.0,0.0,0.0,84.0,750120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/07/2026,8930.0,8450.0,480.0,0.05680473,8400.0,8930.0,8300.0,9553.0,80342310.0,0.0,0.0,9553.0,80342310.0,-4776.0,4776.0,0.0,0.0,-40065201.0,40065200.0,0.0,0.0
22/07/2026,8450.1,9450.0,-450.0,-0.04761905,8900.772,8900.772,8262.32,7670.0,69545560.0,0.0,0.0,7670.0,69545560.0,-2104.0,2104.0,0.0,0.0,-18916001.0,18916000.0,0.0,0.0
21/07/2026,8872.605,9640.0,-190.0,-0.01970954,9041.607,9041.607,8459.489,2301.0,21429500.0,0.0,0.0,2301.0,21429500.0,601.0,-601.0,0.0,0.0,5852500.0,-5852500.0,0.0,0.0
20/07/2026,9050.996,9500.0,140.0,0.01473684,8919.55,9276.332,8900.772,22073.0,212208500.0,0.0,0.0,22073.0,212208500.0,2400.0,-1200.0,0.0,-1200.0,23005000.0,-11149000.0,0.0,-11856000.0
17/07/2026,8919.55,9150.0,350.0,0.03825137,8966.495,8966.495,8910.161,3248.0,30854000.0,0.0,0.0,3248.0,30854000.0,2248.0,-2248.0,0.0,0.0,21363000.0,-21363000.0,0.0,0.0
16/07/2026,8590.935,9150.0,0.0,0.0,8543.99,8637.88,8543.99,7705.0,70306500.0,0.0,0.0,7705.0,70306500.0,605.0,-605.0,0.0,0.0,5514500.0,-5514500.0,0.0,0.0
15/07/2026,8590.935,9000.0,150.0,0.01666667,8450.1,8712.992,8403.155,17121.0,156034560.0,0.0,0.0,17121.0,156034560.0,1980.0,-1980.0,0.0,0.0,18229600.0,-18229600.0,0.0,0.0
14/07/2026,8450.1,9480.0,-480.0,-0.05063291,8459.489,8459.489,8403.155,7614.0,68546720.0,0.0,0.0,7614.0,68546720.0,-2201.0,2201.0,0.0,0.0,-19806820.0,19806820.0,0.0,0.0
13/07/2026,8900.772,9560.0,-80.0,-0.0083682,8900.772,8900.772,8900.772,102.0,967000.0,0.0,0.0,102.0,967000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/07/2026,8975.884,9570.0,-10.0,-0.00104493,8975.884,8975.884,8975.884,100.0,956000.0,0.0,0.0,100.0,956000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/07/2026,8985.273,9620.0,-50.0,-0.00519751,9013.44,9013.44,8543.99,14103.0,128723450.0,0.0,0.0,14103.0,128723450.0,-6300.0,6300.0,0.0,0.0,-57373000.0,57373000.0,0.0,0.0
08/07/2026,9032.218,9680.0,-60.0,-0.00619835,9079.163,9079.163,9032.218,243.0,2340510.0,0.0,0.0,243.0,2340510.0,0.0,-100.0,0.0,100.0,0.0,-967000.0,0.0,967000.0
07/07/2026,9088.552,9770.0,-90.0,-0.00921187,8637.88,9144.886,8534.601,41531.0,384432000.0,0.0,0.0,41531.0,384432000.0,31508.0,-31508.0,0.0,0.0,292315740.0,-292315740.0,0.0,0.0
