NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,25850.0,26250.0,-400.0,-0.0152381,26000.0,26000.0,25600.0,784383.0,20222939850.0,0.0,0.0,784383.0,20222939850.0,0.0,0.0,0.0,56455.0,0.0,0.0,0.0,1457421750.0
28/08/2026,26250.0,26000.0,250.0,0.00961538,25800.0,26300.0,25650.0,1385123.0,36058681000.0,0.0,0.0,1385123.0,36058681000.0,190606.0,-201995.0,0.0,11389.0,4943678100.0,-5236220600.0,0.0,292542500.0
27/08/2026,26000.0,25400.0,600.0,0.02362205,25400.0,26100.0,25250.0,1646166.0,42532588600.0,0.0,0.0,1646166.0,42532588600.0,215325.0,-231625.0,0.0,16300.0,5481001850.0,-5936771850.0,0.0,455770000.0
26/08/2026,25400.0,25300.0,100.0,0.00395257,25250.0,25500.0,25100.0,578814.0,14643141750.0,0.0,0.0,578814.0,14643141750.0,-38659.0,4959.0,0.0,33700.0,-981618850.0,131623850.0,0.0,849995000.0
25/08/2026,25300.0,25600.0,-300.0,-0.01171875,25600.0,25600.0,25200.0,969838.0,24610963450.0,0.0,0.0,969838.0,24610963450.0,-127252.0,23052.0,0.0,104200.0,-3223911400.0,576541400.0,0.0,2647370000.0
24/08/2026,25600.0,25550.0,50.0,0.00195695,25900.0,26050.0,25500.0,850374.0,21843514800.0,0.0,0.0,850374.0,21843514800.0,161980.0,-160980.0,400.0,-1000.0,4173124750.0,-4134914750.0,10260000.0,-38210000.0
21/08/2026,25550.0,24600.0,950.0,0.03861789,24600.0,25750.0,24550.0,1419646.0,35843970300.0,942000.0,23361600000.0,2361646.0,59205570300.0,-120521.0,18221.0,0.0,102300.0,-3007862900.0,448542900.0,0.0,2559320000.0
20/08/2026,24600.0,24700.0,-100.0,-0.00404858,24850.0,24900.0,24000.0,514267.0,12630989150.0,0.0,0.0,514267.0,12630989150.0,-33113.0,43213.0,0.0,-10100.0,-809186950.0,1058186950.0,0.0,-249000000.0
19/08/2026,24700.0,24800.0,-100.0,-0.00403226,24800.0,24800.0,24500.0,315574.0,7767095250.0,942000.0,23361600000.0,1257574.0,31128695250.0,-97951.0,96551.0,0.0,1400.0,-2408689350.0,2375074350.0,0.0,33615000.0
18/08/2026,24800.0,24850.0,-50.0,-0.00201207,24600.0,24950.0,24500.0,517265.0,12778834900.0,0.0,0.0,517265.0,12778834900.0,47427.0,-32727.0,0.0,-14700.0,1164383750.0,-799378750.0,0.0,-365005000.0
17/08/2026,24850.0,24650.0,200.0,0.00811359,24700.0,24850.0,24500.0,545635.0,13448579400.0,0.0,0.0,545635.0,13448579400.0,127994.0,-13894.0,400.0,-114100.0,3144714400.0,-330914400.0,9880000.0,-2813800000.0
