NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,11650.0,11400.0,250.0,0.02192982,11650.0,11650.0,11650.0,100.0,1165000.0,0.0,0.0,100.0,1165000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,11400.0,11300.0,100.0,0.00884956,11250.0,11400.0,11250.0,508.0,5745400.0,0.0,0.0,508.0,5745400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,11300.0,11350.0,-50.0,-0.00440529,11400.0,11400.0,10600.0,14770.0,158100500.0,0.0,0.0,14770.0,158100500.0,2000.0,-2000.0,0.0,0.0,22160000.0,-22160000.0,0.0,0.0
27/08/2026,11350.0,11500.0,-150.0,-0.01304348,11000.0,11350.0,11000.0,500.0,5565000.0,0.0,0.0,500.0,5565000.0,300.0,-300.0,0.0,0.0,3295000.0,-3295000.0,0.0,0.0
26/08/2026,11500.0,11500.0,0.0,0.0,11600.0,11900.0,11050.0,3600.0,41120000.0,0.0,0.0,3600.0,41120000.0,2500.0,-2500.0,0.0,0.0,28240000.0,-28240000.0,0.0,0.0
25/08/2026,11500.0,11650.0,-150.0,-0.01287554,11150.0,11550.0,10900.0,3270.0,36322000.0,0.0,0.0,3270.0,36322000.0,-400.0,400.0,0.0,0.0,-4685000.0,4685000.0,0.0,0.0
24/08/2026,11650.0,11650.0,0.0,0.0,11650.0,11650.0,11650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,11650.0,11700.0,-50.0,-0.0042735,11500.0,11650.0,11500.0,500.0,5780000.0,0.0,0.0,500.0,5780000.0,-300.0,300.0,0.0,0.0,-3480000.0,3480000.0,0.0,0.0
20/08/2026,11700.0,11800.0,-100.0,-0.00847458,11400.0,11700.0,11000.0,5300.0,59055000.0,0.0,0.0,5300.0,59055000.0,-2100.0,2000.0,0.0,100.0,-23840000.0,22700000.0,0.0,1140000.0
19/08/2026,11800.0,11800.0,0.0,0.0,11800.0,11800.0,11800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,11800.0,11800.0,0.0,0.0,11800.0,11800.0,11800.0,300.0,3540000.0,0.0,0.0,300.0,3540000.0,-200.0,200.0,0.0,0.0,-2360000.0,2360000.0,0.0,0.0
17/08/2026,11800.0,11900.0,-100.0,-0.00840336,11800.0,11800.0,11800.0,100001.0,1180011350.0,0.0,0.0,100001.0,1180011350.0,100000.0,-100000.0,0.0,0.0,1180000000.0,-1180000000.0,0.0,0.0
14/08/2026,11900.0,11900.0,0.0,0.0,11900.0,11900.0,11900.0,200.0,2380000.0,0.0,0.0,200.0,2380000.0,-200.0,200.0,0.0,0.0,-2380000.0,2380000.0,0.0,0.0
13/08/2026,11900.0,11650.0,250.0,0.02145923,11900.0,11900.0,11900.0,100.0,1190000.0,0.0,0.0,100.0,1190000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,11650.0,11650.0,0.0,0.0,11650.0,11650.0,11650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,11650.0,11850.0,-200.0,-0.01687764,11500.0,11800.0,11500.0,100400.0,1174660000.0,0.0,0.0,100400.0,1174660000.0,0.0,0.0,0.0,0.0,-30000.0,30000.0,0.0,0.0
10/08/2026,11850.0,11700.0,150.0,0.01282051,11950.0,11950.0,11850.0,620.0,7359000.0,0.0,0.0,620.0,7359000.0,-300.0,300.0,0.0,0.0,-3565000.0,3565000.0,0.0,0.0
07/08/2026,11700.0,11800.0,-100.0,-0.00847458,11700.0,11750.0,11500.0,6800.0,79415000.0,0.0,0.0,6800.0,79415000.0,-1400.0,1400.0,0.0,0.0,-16385000.0,16385000.0,0.0,0.0
06/08/2026,11800.0,11900.0,-100.0,-0.00840336,11450.0,11850.0,11450.0,1302.0,15298000.0,0.0,0.0,1302.0,15298000.0,-800.0,800.0,0.0,0.0,-9480000.0,9480000.0,0.0,0.0
