NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,41450.0,41650.0,-200.0,-0.00480192,41450.0,41500.0,41450.0,2908.0,120553200.0,0.0,0.0,2908.0,120553200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,41650.0,41500.0,150.0,0.00361446,41500.0,41650.0,41100.0,14100.0,582775000.0,0.0,0.0,14100.0,582775000.0,-10400.0,10400.0,0.0,0.0,-429585000.0,429585000.0,0.0,0.0
27/08/2026,41500.0,41500.0,0.0,0.0,41500.0,41500.0,41450.0,700.0,29045000.0,0.0,0.0,700.0,29045000.0,100.0,-100.0,0.0,0.0,4150000.0,-4150000.0,0.0,0.0
26/08/2026,41500.0,41550.0,-50.0,-0.00120337,41500.0,41650.0,41500.0,9508.0,395042400.0,0.0,0.0,9508.0,395042400.0,1000.0,-1000.0,0.0,0.0,41565000.0,-41565000.0,0.0,0.0
25/08/2026,41550.0,41300.0,250.0,0.00605327,41200.0,41650.0,41200.0,8220.0,340248000.0,0.0,0.0,8220.0,340248000.0,-1190.0,1200.0,0.0,-10.0,-48462000.0,48875000.0,0.0,-413000.0
24/08/2026,41300.0,41700.0,-400.0,-0.00959233,41650.0,41650.0,41300.0,8301.0,344441800.0,0.0,0.0,8301.0,344441800.0,1500.0,-1600.0,0.0,100.0,62530000.0,-66685000.0,0.0,4155000.0
21/08/2026,41700.0,41650.0,50.0,0.00120048,41650.0,41700.0,41600.0,1401.0,58361750.0,0.0,0.0,1401.0,58361750.0,1000.0,-1000.0,0.0,0.0,41655000.0,-41655000.0,0.0,0.0
20/08/2026,41650.0,41450.0,200.0,0.00482509,41650.0,41650.0,41200.0,13703.0,564704200.0,0.0,0.0,13703.0,564704200.0,-5800.0,5700.0,0.0,100.0,-238870001.0,234750000.0,0.0,4120000.0
19/08/2026,41450.0,41550.0,-100.0,-0.00240674,41500.0,41500.0,41200.0,8156.0,336660900.0,0.0,0.0,8156.0,336660900.0,692.0,-592.0,0.0,-100.0,28913750.0,-24768750.0,0.0,-4145000.0
18/08/2026,41550.0,41500.0,50.0,0.00120482,41500.0,41550.0,41500.0,3128.0,129821550.0,0.0,0.0,3128.0,129821550.0,1828.0,-1700.0,0.0,-128.0,75866550.0,-70555000.0,0.0,-5311550.0
