NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,19750.0,19750.0,0.0,0.0,19750.0,19750.0,19750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,19750.0,18550.0,1200.0,0.06469003,19800.0,19800.0,19750.0,510.0,10093000.0,0.0,0.0,510.0,10093000.0,-10.0,10.0,0.0,0.0,-198000.0,198000.0,0.0,0.0
26/08/2026,18550.0,18550.0,0.0,0.0,18550.0,18550.0,18550.0,30.0,556500.0,0.0,0.0,30.0,556500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,18550.0,18500.0,50.0,0.0027027,18550.0,18600.0,18550.0,2705.0,50202750.0,0.0,0.0,2705.0,50202750.0,1000.0,-1000.0,0.0,0.0,18525000.0,-18525000.0,0.0,0.0
24/08/2026,18500.0,18400.0,100.0,0.00543478,18500.0,18500.0,18500.0,4111.0,76053500.0,0.0,0.0,4111.0,76053500.0,90.0,-90.0,0.0,0.0,1665000.0,-1665000.0,0.0,0.0
21/08/2026,18400.0,18300.0,100.0,0.00546448,18400.0,18400.0,18400.0,224.0,4121600.0,0.0,0.0,224.0,4121600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,18300.0,18750.0,-450.0,-0.024,18100.0,18300.0,18100.0,7070.0,128943400.0,0.0,0.0,7070.0,128943400.0,-30.0,30.0,0.0,0.0,-581600.0,581600.0,0.0,0.0
19/08/2026,18750.0,18750.0,0.0,0.0,18750.0,18750.0,18750.0,4000.0,75000000.0,0.0,0.0,4000.0,75000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,18750.0,18750.0,0.0,0.0,17650.0,18750.0,17650.0,1822.0,34057450.0,0.0,0.0,1822.0,34057450.0,100.0,-100.0,0.0,0.0,1851350.0,-1851350.0,0.0,0.0
17/08/2026,18750.0,18700.0,50.0,0.0026738,18750.0,18750.0,18750.0,2010.0,37698000.0,0.0,0.0,2010.0,37698000.0,690.0,-690.0,0.0,0.0,12927000.0,-12927000.0,0.0,0.0
14/08/2026,18700.0,19850.0,-1150.0,-0.05793451,20950.0,20950.0,18700.0,1800.0,34000000.0,0.0,0.0,1800.0,34000000.0,500.0,-500.0,0.0,0.0,9350000.0,-9350000.0,0.0,0.0
13/08/2026,19850.0,19000.0,850.0,0.04473684,18350.0,19850.0,18350.0,307.0,5762900.0,0.0,0.0,307.0,5762900.0,-100.0,100.0,0.0,0.0,-1835000.0,1835000.0,0.0,0.0
12/08/2026,19000.0,19450.0,-450.0,-0.02313625,19750.0,19750.0,19000.0,3624.0,69133750.0,0.0,0.0,3624.0,69133750.0,520.0,-520.0,0.0,0.0,9866150.0,-9866150.0,0.0,0.0
11/08/2026,19450.0,19000.0,450.0,0.02368421,17800.0,19450.0,17800.0,3211.0,59146000.0,0.0,0.0,3211.0,59146000.0,-510.0,510.0,0.0,0.0,-9353000.0,9353000.0,0.0,0.0
10/08/2026,19000.0,19600.0,-600.0,-0.03061224,18300.0,20250.0,18250.0,3321.0,62523600.0,0.0,0.0,3321.0,62523600.0,880.0,-880.0,0.0,0.0,17426000.0,-17426000.0,0.0,0.0
07/08/2026,19600.0,18350.0,1250.0,0.06811989,19550.0,19600.0,19550.0,2501.0,48968350.0,0.0,0.0,2501.0,48968350.0,1000.0,-1000.0,0.0,0.0,19600000.0,-19600000.0,0.0,0.0
06/08/2026,18350.0,17150.0,1200.0,0.06997085,18350.0,18350.0,17900.0,4201.0,75423350.0,0.0,0.0,4201.0,75423350.0,-2300.0,2300.0,0.0,0.0,-41140000.0,41140000.0,0.0,0.0
05/08/2026,17150.0,17900.0,-750.0,-0.04189944,17150.0,17150.0,17150.0,100.0,1715000.0,0.0,0.0,100.0,1715000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/08/2026,17900.0,17100.0,800.0,0.04678363,16150.0,18250.0,16150.0,4710.0,83491350.0,0.0,0.0,4710.0,83491350.0,1510.0,-1510.0,0.0,0.0,27536350.0,-27536350.0,0.0,0.0
