NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,10600.0,10550.0,50.0,0.00473934,10600.0,10650.0,10550.0,44850.0,474883200.0,0.0,0.0,44850.0,474883200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,10550.0,10400.0,150.0,0.01442308,10450.0,10550.0,10450.0,44695.0,469277350.0,0.0,0.0,44695.0,469277350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,10400.0,10400.0,0.0,0.0,10400.0,10500.0,10400.0,27721.0,289594400.0,0.0,0.0,27721.0,289594400.0,3089.0,-3089.0,0.0,0.0,32345050.0,-32345050.0,0.0,0.0
27/08/2026,10400.0,10450.0,-50.0,-0.00478469,10450.0,10450.0,10400.0,27508.0,286568600.0,0.0,0.0,27508.0,286568600.0,-2156.0,2156.0,0.0,0.0,-22405200.0,22405200.0,0.0,0.0
26/08/2026,10450.0,10450.0,0.0,0.0,10450.0,10450.0,10400.0,28131.0,293510400.0,0.0,0.0,28131.0,293510400.0,-1709.0,1709.0,0.0,0.0,-17903900.0,17903900.0,0.0,0.0
25/08/2026,10450.0,10450.0,0.0,0.0,10400.0,10500.0,10400.0,35788.0,372981750.0,0.0,0.0,35788.0,372981750.0,12372.0,-12372.0,0.0,0.0,128952250.0,-128952250.0,0.0,0.0
24/08/2026,10450.0,10500.0,-50.0,-0.0047619,10400.0,10550.0,10400.0,44655.0,467790450.0,0.0,0.0,44655.0,467790450.0,6100.0,-6100.0,0.0,0.0,64415000.0,-64415000.0,0.0,0.0
21/08/2026,10500.0,10400.0,100.0,0.00961538,10400.0,10550.0,10350.0,83459.0,870723600.0,0.0,0.0,83459.0,870723600.0,-43400.0,43400.0,0.0,0.0,-453750000.0,453750000.0,0.0,0.0
20/08/2026,10400.0,10450.0,-50.0,-0.00478469,10450.0,10500.0,10350.0,49665.0,517334150.0,0.0,0.0,49665.0,517334150.0,-7000.0,7000.0,0.0,0.0,-72860000.0,72860000.0,0.0,0.0
19/08/2026,10450.0,10400.0,50.0,0.00480769,10450.0,10450.0,10350.0,49103.0,511156200.0,0.0,0.0,49103.0,511156200.0,-4300.0,4300.0,0.0,0.0,-44680000.0,44680000.0,0.0,0.0
18/08/2026,10400.0,10400.0,0.0,0.0,10400.0,10450.0,10350.0,27577.0,287010900.0,0.0,0.0,27577.0,287010900.0,9823.0,-9823.0,0.0,0.0,102004100.0,-102004100.0,0.0,0.0
17/08/2026,10400.0,10600.0,-200.0,-0.01886792,10550.0,10550.0,10400.0,17021.0,177902600.0,0.0,0.0,17021.0,177902600.0,3100.0,-3100.0,0.0,0.0,32575000.0,-32575000.0,0.0,0.0
14/08/2026,10600.0,10600.0,0.0,0.0,10700.0,10700.0,10300.0,121392.0,1272173300.0,0.0,0.0,121392.0,1272173300.0,-701.0,24601.0,0.0,-23900.0,-11325600.0,258635600.0,0.0,-247310000.0
13/08/2026,10600.0,10650.0,-50.0,-0.00469484,10650.0,10650.0,10500.0,33951.0,359050700.0,0.0,0.0,33951.0,359050700.0,-4735.0,4735.0,0.0,0.0,-50065950.0,50065950.0,0.0,0.0
12/08/2026,10650.0,10750.0,-100.0,-0.00930233,10650.0,10700.0,10600.0,49804.0,529953050.0,0.0,0.0,49804.0,529953050.0,-891.0,991.0,0.0,-100.0,-9613700.0,10673700.0,0.0,-1060000.0
