NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,52200.0,53500.0,-1300.0,-0.02429907,53500.0,53500.0,52200.0,361399.0,19055172900.0,555200.0,31757440000.0,916599.0,50812612900.0,0.0,0.0,-5400.0,17700.0,0.0,0.0,-281880000.0,933420000.0
28/08/2026,53500.0,53600.0,-100.0,-0.00186567,53700.0,54900.0,53500.0,430676.0,23220267200.0,624000.0,35755200000.0,1054676.0,58975467200.0,29724.0,-60524.0,-38700.0,30800.0,1594187400.0,-3256047400.0,-2070690000.0,1661860000.0
27/08/2026,53600.0,54100.0,-500.0,-0.00924214,54000.0,54200.0,53600.0,184405.0,9923203300.0,0.0,0.0,184405.0,9923203300.0,16318.0,982.0,0.0,-17300.0,875290900.0,54039100.0,0.0,-929330000.0
26/08/2026,54100.0,53600.0,500.0,0.00932836,53600.0,54700.0,53500.0,395737.0,21426559600.0,624000.0,35755200000.0,1019737.0,57181759600.0,-40174.0,25874.0,64400.0,14300.0,-2178871700.0,1404191700.0,3497830000.0,774680000.0
25/08/2026,53600.0,54200.0,-600.0,-0.01107011,54000.0,54500.0,53500.0,387643.0,20895591700.0,0.0,0.0,387643.0,20895591700.0,-22881.0,39117.0,49790.0,-16236.0,-1235107299.0,2107547300.0,2688640000.0,-872440000.0
24/08/2026,54200.0,54600.0,-400.0,-0.00732601,55000.0,55500.0,53800.0,710343.0,38628538400.0,0.0,0.0,710343.0,38628538400.0,16213.0,-3489.0,18300.0,-12724.0,901343300.0,-206475300.0,989960000.0,-694868000.0
21/08/2026,54600.0,55200.0,-600.0,-0.01086957,55200.0,55200.0,53300.0,675168.0,36579664400.0,0.0,0.0,675168.0,36579664400.0,187494.0,-94994.0,1200.0,-92500.0,10171639601.0,-5189079600.0,65000000.0,-4982560000.0
20/08/2026,55200.0,56800.0,-1600.0,-0.02816901,57200.0,58100.0,54100.0,1799917.0,100206054600.0,425503.0,24721724300.0,2225420.0,124927778900.0,108811.0,-113111.0,-5300.0,4300.0,5875191000.0,-6070161000.0,-307400000.0,194970000.0
19/08/2026,56800.0,56000.0,800.0,0.01428571,56200.0,57200.0,55000.0,710295.0,39932474000.0,127900.0,7661210000.0,838195.0,47593684000.0,20238.0,20962.0,0.0,-41200.0,1090601500.0,1209428500.0,0.0,-2300030000.0
18/08/2026,56000.0,54800.0,1200.0,0.02189781,55000.0,57900.0,54000.0,1401875.0,78504442700.0,425503.0,24679174000.0,1827378.0,103183616700.0,32944.0,-135065.0,-100000.0,102121.0,1842247000.0,-7632466700.0,-5653040000.0,5790219700.0
