NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,10450.0,10450.0,0.0,0.0,10450.0,10450.0,10450.0,200.0,2090000.0,0.0,0.0,200.0,2090000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,10450.0,10450.0,0.0,0.0,10450.0,10450.0,10450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,10450.0,9800.0,650.0,0.06632653,9770.0,10450.0,9770.0,3200.0,31356000.0,0.0,0.0,3200.0,31356000.0,2500.0,-2500.0,0.0,0.0,24437000.0,-24437000.0,0.0,0.0
25/08/2026,9800.0,9800.0,0.0,0.0,9800.0,9800.0,9800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,9800.0,9500.0,300.0,0.03157895,9500.0,9800.0,9500.0,1225.0,11667500.0,0.0,0.0,1225.0,11667500.0,90.0,-90.0,0.0,0.0,885000.0,-885000.0,0.0,0.0
21/08/2026,9500.0,9700.0,-200.0,-0.02061856,9500.0,9500.0,9500.0,200.0,1900000.0,0.0,0.0,200.0,1900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,9700.0,9700.0,0.0,0.0,9700.0,9700.0,9700.0,100.0,970000.0,0.0,0.0,100.0,970000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,9700.0,9700.0,0.0,0.0,9700.0,9700.0,9700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,9700.0,9700.0,0.0,0.0,9700.0,9700.0,9700.0,100.0,970000.0,0.0,0.0,100.0,970000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,9700.0,9700.0,0.0,0.0,9700.0,9700.0,9700.0,200.0,1940000.0,0.0,0.0,200.0,1940000.0,100.0,-100.0,0.0,0.0,970000.0,-970000.0,0.0,0.0
