symbol,score,oos_ic,train_ic,train_oos_gap,hit_rate_oos,hit_rate_train,n_signals,chosen_alpha,a,b,c,d,alpha_is_high
AAA,0.49438199874598915,0.3591990124699791,0.5873348669948428,0.22813585452486373,0.4523809523809524,0.70995670995671,42,1000.0,20,120,55,30,True
AAM,0.3602453895963415,0.31311687336511884,0.47942349274151447,0.16630661937639563,0.8181818181818182,0.6366279069767442,11,1000.0,80,20,50,25,True
AAT,0.3287486355793718,0.24453638544955988,0.45783857008050494,0.21330218463094505,0.11764705882352941,0.6150943396226415,17,1000.0,170,260,50,25,True
ABR,0.29222980773227153,0.4994659365424267,0.5049279676065407,0.00546203106411397,0.6451612903225806,0.5689655172413793,31,1000.0,70,110,60,15,True
ABS,0.5112158402059582,0.4720088454183429,0.5239954828678368,0.05198663744949389,0.55,0.7450980392156863,20,1000.0,160,20,35,25,True
ABT,0.47005876041563555,0.40657425372955236,0.594915014208559,0.1883407604790066,0.2962962962962963,0.6876006441223832,54,1000.0,210,40,55,5,True
ACB,0.4475477465902415,0.29793713149697054,0.5350099021459105,0.23707277064893995,0.3333333333333333,0.6907216494845361,15,1000.0,40,20,15,40,True
ACC,0.4109332194076271,0.40705263731162095,0.5292102141579714,0.12215757684635048,0.19444444444444445,0.6609756097560976,36,432.87612810830615,210,240,30,40,False
ACG,0.28760516535675684,0.3129758803747384,0.41679274511246067,0.10381686473772228,0.25,0.5968109339407744,24,1000.0,60,240,25,25,True
ACL,0.41840086977212687,0.5050900465308561,0.5043030224716049,-0.0007870240592512401,0.4406779661016949,0.6751269035532995,59,1000.0,120,240,45,25,True
ADG,0.4020150501672241,0.46993728282221925,0.6141753345809492,0.14423805175872995,0.35714285714285715,0.6287625418060201,28,35.11191734215131,20,250,15,30,False
ADP,0.46874540555676975,0.4462997121318637,0.572463332302816,0.12616362017095228,0.6666666666666666,0.6936790923824959,45,187.3817422860385,300,90,15,10,False
ADS,0.509727406660734,0.5379623943742656,0.5450422008623617,0.00707980648809603,0.5277777777777778,0.7368421052631579,36,1000.0,200,20,25,20,True
AFX,0.3026600252939112,0.48958812537537716,0.3825827242782898,-0.10700540109708734,0.21739130434782608,0.6189111747851003,46,432.87612810830615,170,180,15,30,False
AGG,0.4767681929613012,0.43739426970655165,0.5237451950469311,0.08635092534037941,0.42857142857142855,0.7164750957854407,21,1000.0,110,210,45,35,True
AGR,0.47060695040029704,0.6418090362475697,0.5096192278525945,-0.13218980839497518,0.5,0.7160493827160493,6,1000.0,80,200,60,40,True
ANT,0.33438209886013576,0.6307041154932546,0.46080838030960836,-0.1698957351836462,0.625,0.618798955613577,8,187.3817422860385,170,280,35,10,False
ANV,0.40743855094996934,0.5635477988937754,0.5380872951569502,-0.02546050373682518,0.25,0.6539196940726577,16,1000.0,110,70,60,40,True
APG,0.40190961728828956,0.35312811179463005,0.5493836212993466,0.19625550950471654,0.5,0.7046511627906977,0,1000.0,170,120,55,15,True
APH,0.4769949969543021,0.41766341008226454,0.5398089209571837,0.12214551087491915,0.68,0.7113095238095238,25,1000.0,90,200,55,25,True
ASG,0.45139710948555517,0.3025288268496106,0.5394048164564333,0.23687598960682277,0.3333333333333333,0.6936936936936937,27,1000.0,190,260,15,30,True
ASM,0.5632101640810158,0.583316357675597,0.5941464703744593,0.01083011269886236,0.5897435897435898,0.7650429799426934,39,1000.0,260,70,40,5,True
ASP,0.3384862168958211,0.5026849742958128,0.5499325025919753,0.04724752829616252,0.7454545454545455,0.5925110132158591,55,1000.0,90,270,55,40,True
AST,0.3776268097634709,0.5666632818003999,0.5382955425242099,-0.028367739276190074,1.0,0.6317411402157165,6,1000.0,200,120,45,15,True
BAF,0.4303120626134062,0.7315075313466346,0.541940660768586,-0.18956687057804855,0.7272727272727273,0.6721804511278195,22,1000.0,70,60,30,35,True
BCE,0.41849989640675583,0.4821913904223731,0.5146136506844997,0.032422260262126634,0.34285714285714286,0.6717391304347826,35,1000.0,250,110,60,30,True
BCM,0.40574734437202203,0.3002765144700258,0.4741971763482001,0.1739206618781743,0.3076923076923077,0.6747252747252748,52,1000.0,140,290,50,15,True
BFC,0.4660667244249104,0.4485528326110989,0.5850960563452947,0.1365432237341958,0.21428571428571427,0.6871069182389937,42,432.87612810830615,200,100,40,40,False
BHN,0.44384225340487515,0.4322690659286002,0.5635827300414888,0.13131366411288864,0.5862068965517241,0.6787878787878788,29,1000.0,290,40,60,40,True
BIC,0.3667476597083894,0.6896871927445103,0.46121189028682497,-0.22847530245768533,0.18,0.647887323943662,50,1000.0,230,20,55,40,True
BID,0.430335303008887,0.3666931630802899,0.5306664695396612,0.16397330645937136,0.5,0.676829268292683,52,1000.0,110,20,25,5,True
BKG,0.4300031069567022,0.3538595244719113,0.4963986124621781,0.14253908799026677,0.03333333333333333,0.6866197183098591,30,1000.0,210,110,40,10,True
BMC,0.3560855821471365,0.48910752959422554,0.48235504447675204,-0.006752485117473506,0.2702702702702703,0.6297029702970297,37,1000.0,290,20,15,20,True
BMI,0.4229296948936454,0.6175028825212948,0.5289755117038494,-0.08852737081744544,0.7142857142857143,0.6711111111111111,7,1000.0,160,20,45,35,True
BMP,0.3422184291225711,0.41309027781346846,0.5206088590039427,0.10751858119047425,0.41818181818181815,0.6057441253263708,55,1000.0,110,70,30,35,True
BRC,0.4007911531898127,0.3162932585538129,0.5454732617805379,0.229180003226725,0.56,0.6486928104575164,25,1000.0,140,30,20,35,True
BSI,0.41384353714309646,0.33942859205761167,0.5074271396536938,0.16799854759608213,0.4166666666666667,0.6694772344013491,60,1000.0,30,70,50,40,True
BSR,0.47636597938144326,0.3751036844785011,0.6080452060209451,0.23294152154244402,0.4576271186440678,0.6907216494845361,59,187.3817422860385,130,110,50,5,False
BTP,0.37834621485413217,0.30000639106656085,0.5496749954915559,0.249668604424995,0.0,0.6276595744680851,10,1000.0,40,40,15,15,True
BTT,0.2709884704743448,0.47555729921951123,0.5079434205825886,0.032386121363077336,0.3157894736842105,0.5514184397163121,57,1000.0,130,30,60,15,True
BVB,0.3674490824678483,0.2846488053348252,0.5043715923715923,0.21972278703676718,0.6551724137931034,0.6340057636887608,29,1000.0,220,30,15,5,True
BVH,0.45120215535848746,0.38522358569079795,0.5615515005551126,0.17632791486431465,0.36363636363636365,0.6831345826235093,44,1000.0,80,30,30,15,True
BWE,0.38770583496381483,0.5327110718482118,0.5296685565280195,-0.003042515320192285,0.875,0.6431159420289855,16,1000.0,140,290,50,30,True
C32,0.2982088709992635,0.5020553031929249,0.44702852870151355,-0.05502677449141136,0.36363636363636365,0.5948717948717949,44,1000.0,70,20,15,35,True
C47,0.4323419809481501,0.30355521367697047,0.5332389729889317,0.22968375931196128,0.23728813559322035,0.6762886597938145,59,1000.0,100,300,35,15,True
CCI,0.4710187656204721,0.4263628495030933,0.5397949946653839,0.11343214516229067,0.6875,0.7063339731285988,16,1000.0,230,70,30,5,True
CCL,0.4186943949552212,0.6569005313276329,0.5588229917933394,-0.09807753953429355,0.875,0.6563876651982379,8,1000.0,90,160,35,20,True
CDC,0.16920302494302977,0.2408008111526966,0.414335972542015,0.17353516138931838,0.5,0.5333333333333333,60,1000.0,150,20,55,30,True
CHP,0.4731851356243909,0.5306917192881372,0.5834734383219432,0.05278171903380602,0.85,0.696923076923077,20,432.87612810830615,290,160,25,30,False
CIG,0.3946201249974202,0.29147294168304166,0.5027348103101444,0.21126186862710278,0.391304347826087,0.6550218340611353,46,1000.0,240,40,30,35,True
CII,0.44914441911136155,0.6215709506181355,0.5326824763498326,-0.08888847426830293,0.5263157894736842,0.6904761904761905,38,1000.0,60,80,40,40,True
CKG,0.42420782362660087,0.5879567144338937,0.5641576187679944,-0.023799095665899328,0.2,0.6592039800995025,40,1000.0,110,20,55,25,True
CLC,0.40922567809611055,0.45729948717486135,0.5954515594889879,0.13815207231412652,0.68,0.6395348837209303,50,1000.0,150,20,60,15,True
CLL,0.40118234930669583,0.44475124923301057,0.5136358020890788,0.0688845528560682,0.3333333333333333,0.6600719424460432,6,1000.0,300,50,50,10,True
CMG,0.3992579354870717,0.33673513878509365,0.5126629404789317,0.17592780169383804,0.09090909090909091,0.6555772994129159,11,1000.0,120,200,55,30,True
CMV,0.4109547935660663,0.5959311440975008,0.5885883368100515,-0.007342807287449293,0.375,0.6406570841889117,16,1000.0,110,120,35,20,True
CMX,0.4951987805627916,0.4973416801526359,0.5022658193315075,0.004924139178871578,0.5,0.7389937106918238,26,1000.0,240,300,40,15,True
CNG,0.3745449059685186,0.24292878038640842,0.47480173328782876,0.23187295290142035,0.5,0.6486486486486487,32,1000.0,20,50,30,5,True
COM,0.45212692378448255,0.5662626743798912,0.5699006427945396,0.0036379684146483626,1.0,0.6805555555555556,7,432.87612810830615,50,90,50,25,False
CRC,0.4037980610189772,0.5411204733060436,0.5835255022796317,0.04240502897358811,0.5,0.6951219512195121,1,1000.0,100,30,30,25,True
CRE,0.5302474603111273,0.33881590506833803,0.5780550914557847,0.23923918638744668,0.2037037037037037,0.7429378531073446,54,1000.0,240,140,40,20,True
CSM,0.37145467057382775,0.28919633152245694,0.47521836334813466,0.18602203182567772,0.8333333333333334,0.6458852867830424,6,1000.0,250,70,30,5,True
CSV,0.43020998719708164,0.44178133454257273,0.4959054027753127,0.054124068232739964,0.3142857142857143,0.6869565217391305,35,1000.0,300,30,30,30,True
CTD,0.4362818437185494,0.6422111550191432,0.4883679831565558,-0.1538431718625874,0.4,0.6945288753799392,40,1000.0,190,30,45,10,True
CTF,0.33278784731853717,0.3031786823128827,0.45392204318609825,0.15074336087321555,0.5208333333333334,0.622,48,1000.0,230,280,55,15,True
CTG,0.4411020926173649,0.32976484727224975,0.5207863597736002,0.19102151250135047,0.8181818181818182,0.6892265193370166,11,1000.0,40,220,45,35,True
CTI,0.5413222459360975,0.6286906722771485,0.5755194702619304,-0.05317120201521808,1.0,0.7530120481927711,6,432.87612810830615,260,140,25,15,False
CTR,0.47525673233260896,0.367402829533408,0.5897308138823699,0.2223279843489619,0.3333333333333333,0.6932203389830508,54,1000.0,70,30,50,30,True
CTS,0.4727626530215126,0.5810500611002634,0.5452461847925875,-0.0358038763076759,0.5294117647058824,0.7059701492537314,51,1000.0,160,140,15,25,True
CVT,0.4942406280990074,0.6132649938137668,0.6406913109881567,0.027426317174389925,0.5116279069767442,0.7073732718894009,43,187.3817422860385,120,290,50,25,False
D2D,0.5493789144050104,0.3899026041327424,0.6146506279621843,0.22474802382944187,0.22727272727272727,0.7515657620041754,22,1000.0,90,20,60,20,True
DAH,0.39554963241022073,0.40951155063918704,0.4301240810255516,0.02061253038636457,0.03333333333333333,0.68,30,1000.0,260,300,60,40,True
DAT,0.2715588020223137,0.25129447901858587,0.4229377027302028,0.17164322371161694,0.5,0.5790697674418605,16,1000.0,90,80,15,10,True
DBC,0.42640805799841225,0.2555824823477932,0.4983464659353652,0.242763983587572,0.21428571428571427,0.6829745596868885,56,1000.0,300,30,25,20,True
DBD,0.42214613785664334,0.27626349437124825,0.5091186420547974,0.23285514768354915,0.6153846153846154,0.6778761061946903,13,1000.0,240,250,45,40,True
DBT,0.38258938122215186,0.49511200875902983,0.5495938619112102,0.05448185315218035,0.5660377358490566,0.6319444444444444,53,1000.0,200,260,35,20,True
DC4,0.42580802603036877,0.5205152666735978,0.6379241715252191,0.11740890485162125,0.3541666666666667,0.648590021691974,48,187.3817422860385,80,20,40,25,False
DCL,0.33497886890568584,0.21505117785679378,0.45720401310729497,0.24215283525050119,0.0,0.6205533596837944,9,1000.0,160,210,60,30,True
DCM,0.4519301729347042,0.4722424216869807,0.5214959076566875,0.0492534859697068,0.26666666666666666,0.696526508226691,30,1000.0,20,220,60,10,True
DGC,0.5125643097722355,0.32179991641169203,0.5453138266958337,0.2235139102841417,0.5,0.8144927536231884,0,1000.0,300,20,15,20,True
DGW,0.4792888607514248,0.544316939287608,0.5277050001114103,-0.016611939176197743,0.7619047619047619,0.7172557172557172,21,1000.0,30,80,40,40,True
DHA,0.42261696299278795,0.5101176173875347,0.5809778367302714,0.07086021934273667,0.8888888888888888,0.6524701873935264,18,1000.0,60,80,15,35,True
